run_id,t,node,demand,ls,curtailment
29,176,NL0 25,261.80282880036805,0.0,63.72556398026329
29,177,NL0 0,892.7237149879707,0.0,88.44460581364922
29,177,NL0 14,147.69145589576627,0.0,71.7071630329358
29,177,NL0 25,266.62451185332304,0.0,212.62451185332299
29,178,NL0 25,262.23049616023735,0.0,89.55671428358026
46,176,NL0 15,444.5135533526541,0.0,34.013826679441074
46,176,NL0 25,261.80282880036805,0.0,184.37860117505534
46,177,NL0 11,581.6492931254834,0.0,7.923301236760966
46,177,NL0 15,452.70026194106146,0.0,452.70026194106146
46,177,NL0 25,266.62451185332304,0.0,189.20028422801028
46,178,NL0 15,445.2396873622045,0.0,131.05292945895513
46,178,NL0 25,262.23049616023735,0.0,169.0875677702913
