run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,lambda_c_z1,lambda_c_z2,lambda_c_z3,c_NL0 0 coal,c_NL0 1 coal,c_NL0 10 coal
1,unit_pos,OPTIMAL,0.15600013732910156,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,146.6666666666667,691.0166666666669,0.0,-23.129978365504357,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
2,unit_pos,OPTIMAL,0.05099987983703613,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
3,unit_pos,OPTIMAL,0.006000041961669922,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
4,unit_neg,OPTIMAL,0.0,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752178,11.564989182752178,0.0,155.55555555555554,144.44444444444446
5,unit_neg,OPTIMAL,0.009000062942504883,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
6,unit_neg,OPTIMAL,0.002000093460083008,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
7,random,OPTIMAL,0.12599992752075195,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
8,random,OPTIMAL,0.02500009536743164,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
9,random,OPTIMAL,0.03299999237060547,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
10,random,OPTIMAL,0.003999948501586914,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
11,random,OPTIMAL,0.008999824523925781,0.0,300.0,6596.746754825654,5.0,0.0,OPTIMAL,130.0,649.3499999999999,0.0,0.0,11.564989182752065,11.564989182752065,0.0,155.55555555555554,144.44444444444446
