run_id,generator,type,bus,gen_zone,target_zone,cm_offer,lambda_c_z,mu_cm_bud,mu_mec_z
1,NL0 0 coal,investable,NL0 0,1,1,0.0,-23.129978365504357,0.0,0.0
1,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
1,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
1,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,-23.129978365504357,0.0,0.0
1,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
1,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
2,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
2,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
2,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
2,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
2,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
2,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
3,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
3,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
3,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
3,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
3,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
3,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
4,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
4,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752178,11.564989182752178,11.564989182752178
4,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752178,11.564989182752178,11.564989182752178
4,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
4,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752178,11.564989182752178,11.564989182752178
4,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752178,11.564989182752178,11.564989182752178
5,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
5,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
5,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
5,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
5,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
5,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
6,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
6,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
6,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
6,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
6,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
6,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
7,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
7,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
7,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
7,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
7,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
7,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
8,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
8,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
8,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
8,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
8,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
8,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
9,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
9,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
9,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
9,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
9,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
9,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
10,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
10,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
10,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
10,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
10,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
10,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
11,NL0 0 coal,investable,NL0 0,1,1,0.0,0.0,0.0,0.0
11,NL0 1 coal,investable,NL0 1,2,2,155.55555555555554,11.564989182752065,11.564989182752065,11.564989182752065
11,NL0 10 coal,investable,NL0 10,3,3,144.44444444444446,11.564989182752065,11.564989182752065,11.564989182752065
11,NL0 0 0 solar,legacy,NL0 0,1,1,0.0,0.0,0.0,0.0
11,NL0 1 0 solar,legacy,NL0 1,2,2,0.0,11.564989182752065,11.564989182752065,11.564989182752065
11,NL0 10 0 solar,legacy,NL0 10,3,3,0.0,11.564989182752065,11.564989182752065,11.564989182752065
