periods,weights,selected_periods
1,63.1963085732486,true
151,29.45828347935284,true
196,45.84491814300856,true
229,28.493527833312164,true
249,54.638314638827964,true
263,26.148130609663696,true
270,54.31184097801861,true
348,62.90867586512136,true
