period,time_step,CF_NL0_10_0_onwind,CF_NL0_7_0_onwind,CF_NL0_6_0_solar,CF_NL0_24_0_solar,CF_NL0_19_0_onwind,CF_NL0_30_0_solar,CF_NL0_23_0_solar,CF_NL0_12_0_solar,CF_NL0_14_0_onwind,CF_NL0_7_0_offwind_ac,CF_NL0_14_0_solar,Load,CF_NL0_31_0_offwind_ac,CF_NL0_3_0_onwind,CF_NL0_15_0_onwind,CF_NL0_27_0_onwind,CF_NL0_19_0_solar,CF_NL0_2_0_solar,CF_NL0_15_0_solar,CF_NL0_27_0_solar,CF_NL0_25_0_solar,CF_NL0_11_0_solar,CF_NL0_21_0_solar,CF_NL0_21_0_onwind,CF_NL0_24_0_onwind,CF_NL0_7_0_solar,CF_NL0_31_0_solar,CF_NL0_3_0_solar,CF_NL0_18_0_solar,CF_NL0_13_0_onwind,CF_NL0_30_0_onwind,CF_NL0_2_0_onwind,CF_NL0_4_0_solar,CF_NL0_12_0_onwind,CF_NL0_17_0_onwind,CF_NL0_31_0_onwind,CF_NL0_8_0_onwind,CF_NL0_6_0_onwind,CF_NL0_9_0_solar,CF_NL0_10_0_solar,CF_NL0_17_0_solar,CF_NL0_22_0_solar,CF_NL0_26_0_solar,CF_NL0_23_0_onwind,CF_NL0_1_0_onwind,CF_NL0_9_0_onwind,CF_NL0_27_0_offwind_ac,CF_NL0_20_0_solar,CF_NL0_16_0_solar,CF_NL0_22_0_onwind,CF_NL0_5_0_onwind,CF_NL0_20_0_onwind,CF_NL0_11_0_onwind,CF_NL0_0_0_solar,CF_NL0_1_0_solar,CF_NL0_0_0_onwind,CF_NL0_28_0_solar,CF_NL0_4_0_onwind,CF_NL0_20_0_offwind_ac,CF_NL0_32_0_offwind_ac,CF_NL0_8_0_solar,CF_NL0_5_0_solar,CF_NL0_13_0_solar
1,1,0.9999999999999998,1.0000000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9742.419998168945,0.8855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.8855000000000002,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8855,0.8854999999999998,0.0,0.0,0.0
1,2,0.9999999999999998,1.0000000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9553.945014953613,0.8855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.8855000000000002,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8855,0.8854999999999998,0.0,0.0,0.0
1,3,0.9999999999999998,1.0000000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9296.329986572266,0.8855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.8855000000000002,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8855,0.8854999999999998,0.0,0.0,0.0
1,4,0.9999999999999998,1.0000000000000002,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9135.812507629395,0.8855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,1.0,0.8855000000000002,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8855,0.8854999999999998,0.0,0.0,0.0
1,5,0.9999999999999998,0.9999178059897957,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9080.450012207031,0.8855,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9999958955934161,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9997351229509583,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999999,0.99989265037154,0.8855000000000002,0.0,0.0,0.9998782923434102,0.9996286898918112,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.8855,0.8854999999999998,0.0,0.0,0.0
1,6,0.9999999999999998,0.9964735374089182,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9176.247512817383,0.8855,0.9995325636939837,0.9999849900478504,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9987350024138776,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,1.0,0.9994171123440135,0.9934927126729942,0.0,0.0,0.0,0.0,0.0,0.9999840987614836,0.998731978115369,0.9952862844094441,0.8855000000000002,0.0,0.0,0.9956691245928392,0.9895036904482485,1.0,0.9991054048810438,0.0,0.0,0.9998041511797403,0.0,1.0,0.8855,0.8854999999999998,0.0,0.0,0.0
1,7,0.9999999999999998,0.9921865049504563,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9417.830017089844,0.8855,0.9986746758702871,0.9996711824381435,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.9968895113201782,1.0,0.9999995688390362,0.0,0.9999999999999999,0.9999999999999999,1.0,0.997766364347305,0.9835308742337389,0.0,0.0,0.0,0.0,0.0,0.9994239496155993,0.9926716908777818,0.9825043274179195,0.8855000000000002,0.0,0.0,0.9909327867025677,0.9809931858870548,0.9999941655843491,0.9966130456350514,0.0,0.0,0.9990586245829487,0.0,0.9999867747774246,0.8855,0.8854999999999998,0.0,0.0,0.0
1,8,0.9999998573842791,0.9899183745944271,0.0,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,9719.552513122559,0.8855,0.993444958156538,0.9980917054843232,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9993920487524358,0.9988030082020775,0.0,0.0,0.0,0.0,0.9837352396281108,0.9997817936001336,0.999998226211007,0.0,0.9999999999999999,0.9999803307916177,1.0,0.9844552256420406,0.9806422066661529,0.0,0.0,0.0,0.0,0.0,0.9987156161169792,0.985673486464946,0.9724242452144753,0.8855000000000002,0.0,0.0,0.9776925665596241,0.9728089171290121,0.9994344877363261,0.9914834440798329,0.0,0.0,0.9912643852223453,0.0,0.9998679149243044,0.8855,0.8854999999999998,0.0,0.0,0.0
1,9,0.999999163177211,0.9945665696962178,0.017483663578779014,0.0,1.0,0.0,0.0,0.0,0.9999999999999999,0.8854999999999997,0.0,10049.952491760254,0.8855,0.9968208670625973,0.9847178220884982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996511450264844,0.9955737803494364,0.0,0.0,0.0,0.0,0.9766500981523183,1.0,0.9994387732176013,0.0,0.9999999999999999,0.9998845874653746,1.0,0.9900397141683843,0.9809939720635892,0.02918438335760854,0.0,0.0,0.0,0.0,0.9998885359746342,0.9708373178943238,0.9719732746635102,0.8855000000000002,0.0,0.0,0.980688171027144,0.9744637685230857,0.9965452508333805,0.9750855657470359,0.0,0.0,0.9906077453556154,0.0,0.9972285143406194,0.8855,0.8854999999999998,0.0,0.027135525699966793,0.0
1,10,0.9999999999999998,0.990955524503751,0.09253213055082071,0.09875069667437751,0.9994425631199059,0.15300219910850538,0.1533921659795627,0.07331696882252546,0.9999999999999999,0.8854999999999997,0.11837494577757127,10083.84001159668,0.8855,0.9951632916074364,0.9817811029932941,1.0,0.055174128633986234,0.07182081727599898,0.14982615229648286,0.19822530847007258,0.07907156779025445,0.116617217603157,0.10685091894669806,0.9995219423118901,0.9973138602127136,0.20354516585677793,0.06776475032786942,0.14010045320887032,0.11748869787506641,0.9775599613425405,1.0,0.9966758755859301,0.0888640032493245,0.9999758808814265,0.9999999999999999,1.0,0.9858975303476154,0.9822227001245833,0.11072390311965055,0.1598360663260127,0.11264902081604149,0.17271319923903683,0.0858603920569832,0.9994038378319432,0.9660441383432413,0.9714967614160646,0.8855000000000002,0.09160193797824752,0.10830822837510004,0.9751984850157225,0.971473288924899,0.99784731613822,0.9556874263178415,0.10326936025915404,0.12065097306009176,0.9896082156309857,0.09398466985875596,0.9973149007801458,0.8855,0.8854999999999998,0.11457193944537603,0.14953995143700388,0.14972951467945989
