run_id,zone_a,zone_b,bound,f_ab,phi_lo,phi_hi,at_bound
1,1,2,0.0,0.0,5.5,0.0,upper
1,1,3,0.0,0.0,10.0,0.0,upper
1,2,3,0.0,0.0,4.5,0.0,upper
2,1,2,0.0,0.0,5.5,0.0,upper
2,1,3,0.0,0.0,10.0,0.0,upper
2,2,3,0.0,0.0,4.5,0.0,upper
3,1,2,0.0,0.0,5.5,0.0,upper
3,1,3,0.0,0.0,10.0,0.0,upper
3,2,3,0.0,0.0,4.5,0.0,upper
4,1,2,0.0,0.0,5.5,0.0,upper
4,1,3,0.0,0.0,10.0,0.0,upper
4,2,3,0.0,0.0,4.5,0.0,upper
5,1,2,0.0,0.0,5.5,0.0,upper
5,1,3,0.0,0.0,10.0,0.0,upper
5,2,3,0.0,0.0,4.5,0.0,upper
6,1,2,0.0,0.0,5.5,0.0,upper
6,1,3,0.0,0.0,10.0,0.0,upper
6,2,3,0.0,0.0,4.5,0.0,upper
