run_id,zone,d_c_z,net_import,req_z,c_dem,lambda_c_z,nu_c,rho
29,1,7227.746702524866,-38.45329747720052,7266.200000002066,7266.2,5975.333557227095,5975.333557227095,0.0
29,2,2560.309318529239,-2338.890358959538,4899.1996774887775,4899.199677488795,5975.333557227095,5975.333557227095,0.0
29,3,7001.104754159029,2377.3436564367385,4623.76109772229,4623.761097722284,11368.885316583413,11368.885316583413,0.0
46,1,7227.746702524866,-38.4532974759004,7266.2000000007665,7266.2,5975.333557227755,5975.333557227056,0.0
46,2,2560.309318529239,-2338.890158956618,4899.199477485858,4899.199477486291,5975.3335572275555,5975.333557228436,0.0
46,3,7001.104754159029,2377.3434564325185,4623.761297726511,4623.761297726512,11368.885316584392,11368.885316584392,0.0
