run_id,t,D_max,lambda_e,ls,total_gen
29,1,9742.419998168945,0.015,0.0,9742.419998168893
29,2,9553.945014953613,0.015,0.0,9553.945014953613
29,3,9296.329986572266,0.015,0.0,9296.329986572266
29,4,9135.812507629395,0.015,0.0,9135.812507629396
29,5,9080.450012207031,0.015,0.0,9080.45001220703
29,6,9176.247512817383,0.015,0.0,9176.247512817383
29,7,9417.830017089844,0.015,0.0,9417.830017089844
29,8,9719.552513122559,0.015,0.0,9719.552513122559
29,9,10049.952491760254,0.015,0.0,10049.95249176025
29,10,10083.84001159668,0.015,0.0,10083.840011596627
29,11,10059.717491149902,0.015,0.0,10059.717491149897
29,12,10393.025001525879,0.015,0.0,10393.02500152582
29,13,10476.194984436035,0.015,0.0,10476.194984436037
29,14,11034.362495422363,19.979914529914588,0.0,11034.362495422434
29,15,11403.747497558594,27.322803680981593,0.0,11403.747497558206
29,16,11795.32250213623,43.27286666666667,0.0,11795.322502136245
29,17,12609.349998474121,43.27286666666667,0.0,12609.349998474143
29,18,12622.34748840332,43.27286666666667,0.0,12622.347488403353
29,19,12348.130012512207,43.27286666666667,0.0,12348.130012512232
29,20,12026.292495727539,43.27286666666667,0.0,12026.292495727539
29,21,11548.737503051758,43.27286666666667,0.0,11548.737503051756
29,22,10981.512496948242,43.2728666666667,0.0,10981.51249694824
29,23,10403.775001525879,43.272866666666665,0.0,10403.775001525875
29,24,10044.457496643066,43.27286666666667,0.0,10044.457496643068
29,25,10156.837493896484,43.27286666666667,0.0,10156.837493896486
29,26,9998.880012512207,43.272866666666665,0.0,9998.880012512203
29,27,10042.145004272461,43.27286666666667,0.0,10042.14500427247
29,28,10234.819984436035,43.67293953104918,0.0,10234.819984435078
29,29,10862.225021362305,43.67293953104921,0.0,10862.225021359065
29,30,11932.387496948242,43.67293953104921,0.0,11932.387496948024
29,31,12663.849983215332,43.67293953104931,0.0,12663.849983209204
29,32,12868.477493286133,43.272866666666665,0.0,12868.477493286118
29,33,12886.079978942871,43.272866666666665,0.0,12886.079978942875
