run_id,sys_avail,sys_req,sys_slack,zone,req_z,net_import,zone_avail,zone_offers,zone_slack,lambda_c_z,nu_c_z
1,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
1,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
1,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
2,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
2,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
2,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
3,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
3,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
3,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
4,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
4,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
4,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
5,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
5,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
5,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
6,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
6,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
6,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
7,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
7,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
7,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
8,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
8,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
8,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
9,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
9,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
9,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
10,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
10,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
10,16789.16077521313,16722.707602851122,66.45317236200935,3,7001.104754159029,0.0,7001.104754159029,7001.104754159029,0.0,53935.51759344085,53935.51759344085
11,16789.16077521313,16722.707602851122,66.45317236200935,1,7227.746702524866,0.0,7227.746702524866,7227.746702524866,0.0,59329.069352818755,59329.069352818755
11,16789.16077521313,16722.707602851122,66.45317236200935,2,2560.309318529239,0.0,2560.309318529239,2560.309318529239,0.0,48541.9658340839,48541.9658340839
