run_id,t,line,market_flow,final_flow,Fmax,market_utilization,final_utilization,market_overload,market_violated,final_feasible
1,1,0,28.82381991306427,5.0,5.0,5.764763982612854,1.0,23.82381991306427,true,true
1,1,1,-31.89046580122144,-10.0,10.0,3.189046580122144,1.0,21.89046580122144,true,true
1,1,2,14.033322944078606,-2.033708772152502,5.0,2.806664588815721,0.40674175443050037,9.033322944078606,true,true
1,2,0,-8.597449732689856,-5.0,5.0,1.7194899465379714,1.0,3.5974497326898565,true,true
1,2,1,11.581121695881588,8.715288471066632,10.0,1.1581121695881589,0.8715288471066632,1.5811216958815884,true,true
1,2,2,-2.1168359815958366,0.7489972432191205,5.0,0.4233671963191673,0.1497994486438241,0.0,false,true
1,3,0,3.8266105746654366,0.48201909784171526,5.0,0.7653221149330873,0.09640381956834305,0.0,false,true
1,3,1,2.5766105746654366,4.232019097841715,10.0,0.25766105746654366,0.42320190978417155,0.0,false,true
1,3,2,8.673389425334593,5.0,5.0,1.7346778850669184,1.0,3.6733894253345927,true,true
2,1,0,28.82381991306427,5.0,5.0,5.764763982612854,1.0,23.82381991306427,true,true
2,1,1,-31.89046580122144,-10.0,10.0,3.189046580122144,1.0,21.89046580122144,true,true
2,1,2,14.033322944078606,-2.033708772152502,5.0,2.806664588815721,0.40674175443050037,9.033322944078606,true,true
2,2,0,-8.597449732689856,-5.0,5.0,1.7194899465379714,1.0,3.5974497326898565,true,true
2,2,1,11.581121695881588,8.715288471066632,10.0,1.1581121695881589,0.8715288471066632,1.5811216958815884,true,true
2,2,2,-2.1168359815958366,0.7489972432191205,5.0,0.4233671963191673,0.1497994486438241,0.0,false,true
2,3,0,3.8266105746654366,0.48201909784171526,5.0,0.7653221149330873,0.09640381956834305,0.0,false,true
2,3,1,2.5766105746654366,4.232019097841715,10.0,0.25766105746654366,0.42320190978417155,0.0,false,true
2,3,2,8.673389425334593,5.0,5.0,1.7346778850669184,1.0,3.6733894253345927,true,true
3,1,0,28.82381991306427,5.0,5.0,5.764763982612854,1.0,23.82381991306427,true,true
3,1,1,-31.89046580122144,-10.0,10.0,3.189046580122144,1.0,21.89046580122144,true,true
3,1,2,14.033322944078606,-2.033708772152502,5.0,2.806664588815721,0.40674175443050037,9.033322944078606,true,true
3,2,0,-8.597449732689856,-5.0,5.0,1.7194899465379714,1.0,3.5974497326898565,true,true
3,2,1,11.581121695881588,8.715288471066632,10.0,1.1581121695881589,0.8715288471066632,1.5811216958815884,true,true
3,2,2,-2.1168359815958366,0.7489972432191205,5.0,0.4233671963191673,0.1497994486438241,0.0,false,true
3,3,0,3.8266105746654366,0.48201909784171526,5.0,0.7653221149330873,0.09640381956834305,0.0,false,true
3,3,1,2.5766105746654366,4.232019097841715,10.0,0.25766105746654366,0.42320190978417155,0.0,false,true
3,3,2,8.673389425334593,5.0,5.0,1.7346778850669184,1.0,3.6733894253345927,true,true
4,1,0,28.82381991306427,5.0,5.0,5.764763982612854,1.0,23.82381991306427,true,true
4,1,1,-31.89046580122144,-10.0,10.0,3.189046580122144,1.0,21.89046580122144,true,true
4,1,2,14.033322944078606,-2.033708772152502,5.0,2.806664588815721,0.40674175443050037,9.033322944078606,true,true
4,2,0,-8.597449732689856,-5.0,5.0,1.7194899465379714,1.0,3.5974497326898565,true,true
4,2,1,11.581121695881588,8.715288471066632,10.0,1.1581121695881589,0.8715288471066632,1.5811216958815884,true,true
4,2,2,-2.1168359815958366,0.7489972432191205,5.0,0.4233671963191673,0.1497994486438241,0.0,false,true
4,3,0,3.8266105746654366,0.48201909784171526,5.0,0.7653221149330873,0.09640381956834305,0.0,false,true
4,3,1,2.5766105746654366,4.232019097841715,10.0,0.25766105746654366,0.42320190978417155,0.0,false,true
4,3,2,8.673389425334593,5.0,5.0,1.7346778850669184,1.0,3.6733894253345927,true,true
5,1,0,28.82381991306427,5.0,5.0,5.764763982612854,1.0,23.82381991306427,true,true
5,1,1,-31.89046580122144,-10.0,10.0,3.189046580122144,1.0,21.89046580122144,true,true
5,1,2,14.033322944078606,-2.033708772152502,5.0,2.806664588815721,0.40674175443050037,9.033322944078606,true,true
5,2,0,-8.597449732689856,-5.0,5.0,1.7194899465379714,1.0,3.5974497326898565,true,true
5,2,1,11.581121695881588,8.715288471066632,10.0,1.1581121695881589,0.8715288471066632,1.5811216958815884,true,true
5,2,2,-2.1168359815958366,0.7489972432191205,5.0,0.4233671963191673,0.1497994486438241,0.0,false,true
5,3,0,3.8266105746654366,0.48201909784171526,5.0,0.7653221149330873,0.09640381956834305,0.0,false,true
5,3,1,2.5766105746654366,4.232019097841715,10.0,0.25766105746654366,0.42320190978417155,0.0,false,true
5,3,2,8.673389425334593,5.0,5.0,1.7346778850669184,1.0,3.6733894253345927,true,true
6,1,0,28.82381991306427,5.0,5.0,5.764763982612854,1.0,23.82381991306427,true,true
6,1,1,-31.89046580122144,-10.0,10.0,3.189046580122144,1.0,21.89046580122144,true,true
6,1,2,14.033322944078606,-2.033708772152502,5.0,2.806664588815721,0.40674175443050037,9.033322944078606,true,true
6,2,0,-8.597449732689856,-5.0,5.0,1.7194899465379714,1.0,3.5974497326898565,true,true
6,2,1,11.581121695881588,8.715288471066632,10.0,1.1581121695881589,0.8715288471066632,1.5811216958815884,true,true
6,2,2,-2.1168359815958366,0.7489972432191205,5.0,0.4233671963191673,0.1497994486438241,0.0,false,true
6,3,0,3.8266105746654366,0.48201909784171526,5.0,0.7653221149330873,0.09640381956834305,0.0,false,true
6,3,1,2.5766105746654366,4.232019097841715,10.0,0.25766105746654366,0.42320190978417155,0.0,false,true
6,3,2,8.673389425334593,5.0,5.0,1.7346778850669184,1.0,3.6733894253345927,true,true
