run_id,t,node,demand,ls,curtailment
1,176,NL0 25,261.80282880036805,0.0,93.21174602196663
1,177,NL0 0,892.7237149879707,0.0,32.274919704825635
1,177,NL0 15,452.70026194106146,0.0,127.87685464894133
1,177,NL0 25,266.62451185332304,0.0,212.62451185332296
1,178,NL0 25,262.23049616023735,0.0,119.03251862065048
2,176,NL0 25,261.80282880036805,0.0,63.725566009561746
2,177,NL0 0,892.7237149879707,0.0,88.44461118801777
2,177,NL0 14,147.69145589576627,0.0,71.70716311502446
2,177,NL0 25,266.62451185332304,0.0,212.62451185332296
2,178,NL0 25,262.23049616023735,0.0,89.55671630841893
3,176,NL0 25,261.80282880036805,0.0,63.72556603337717
3,177,NL0 0,892.7237149879707,0.0,88.4446112536123
3,177,NL0 14,147.69145589576627,0.0,71.70716309990775
3,177,NL0 25,266.62451185332304,0.0,212.62451185332296
3,178,NL0 25,262.23049616023735,0.0,89.55671633230031
4,176,NL0 25,261.80282880036805,0.0,93.21174600352798
4,177,NL0 0,892.7237149879707,0.0,32.274919643528534
4,177,NL0 15,452.70026194106146,0.0,127.87685465962524
4,177,NL0 25,266.62451185332304,0.0,212.6245118533228
4,178,NL0 25,262.23049616023735,0.0,119.03251860221198
5,176,NL0 25,261.80282880036805,0.0,63.72556421530436
5,177,NL0 0,892.7237149879707,0.0,88.44460631391948
5,177,NL0 14,147.69145589576627,0.0,71.70716374778488
5,177,NL0 25,266.62451185332304,0.0,212.62451185332296
5,178,NL0 25,262.23049616023735,0.0,89.55671450856016
6,176,NL0 25,261.80282880036805,0.0,93.2117460034619
6,177,NL0 0,892.7237149879707,0.0,32.27491964330895
6,177,NL0 15,452.70026194106146,0.0,127.87685465966344
6,177,NL0 25,266.62451185332304,0.0,212.62451185332284
6,178,NL0 25,262.23049616023735,0.0,119.0325186021459
7,176,NL0 15,444.5135533526541,0.0,107.8664299820961
7,176,NL0 25,261.80282880036805,0.0,207.80282880036805
7,177,NL0 11,581.6492931254834,0.0,94.6117167218397
7,177,NL0 15,452.70026194106146,0.0,452.70026194106146
7,177,NL0 25,266.62451185332304,0.0,212.62451185332276
7,178,NL0 15,445.2396873622045,0.0,208.08760382203837
7,178,NL0 25,262.23049616023735,0.0,192.51179539560422
7,179,NL0 25,256.0841525061728,0.0,13.496882862365055
8,176,NL0 25,261.80282880036805,0.0,191.8719630253674
8,177,NL0 15,452.70026194106146,0.0,388.8935326960198
8,177,NL0 25,266.62451185332304,0.0,212.62451185332293
8,178,NL0 15,445.2396873622045,0.0,59.44931690804583
8,178,NL0 25,262.23049616023735,0.0,192.51179539560408
9,176,NL0 15,444.5135533526541,0.0,107.86642998209604
9,176,NL0 25,261.80282880036805,0.0,207.80282880036816
9,177,NL0 11,581.6492931254834,0.0,94.61171672183934
9,177,NL0 15,452.70026194106146,0.0,452.70026194106146
9,177,NL0 25,266.62451185332304,0.0,212.62451185332293
9,178,NL0 15,445.2396873622045,0.0,208.08760382203855
9,178,NL0 25,262.23049616023735,0.0,192.51179539560405
9,179,NL0 25,256.0841525061728,0.0,13.496882862365368
10,176,NL0 0,876.5795473808435,0.0,183.39594883733045
10,176,NL0 14,145.02057846964792,0.0,2.761869033249064
10,176,NL0 25,261.80282880036805,0.0,207.80282880036813
10,177,NL0 0,892.7237149879707,0.0,342.1688794353763
10,177,NL0 13,1047.5459057438954,0.0,107.76692155592708
10,177,NL0 25,266.62451185332304,0.0,212.62451185332282
10,177,NL0 4,212.6767485248588,0.0,212.6767485248588
10,178,NL0 0,878.0114817203674,0.0,185.1501907316113
10,178,NL0 15,445.2396873622045,0.0,95.81153386403314
10,178,NL0 25,262.23049616023735,0.0,192.51179539560434
10,179,NL0 25,256.0841525061728,0.0,38.54243972842545
11,176,NL0 25,261.80282880036805,0.0,63.72556600954253
11,177,NL0 0,892.7237149879707,0.0,88.44461118796559
11,177,NL0 14,147.69145589576627,0.0,71.70716311503114
11,177,NL0 25,266.62451185332304,0.0,212.62451185332296
11,178,NL0 25,262.23049616023735,0.0,89.55671630839966
12,176,NL0 0,876.5795473808435,0.0,73.64190449931561
12,176,NL0 14,145.02057846964792,0.0,17.010207768966175
12,176,NL0 25,261.80282880036805,0.0,207.80282880036793
12,177,NL0 0,892.7237149879707,0.0,556.1126365899422
12,177,NL0 14,147.69145589576627,0.0,10.994207323922739
12,177,NL0 25,266.62451185332304,0.0,212.62451185332299
12,178,NL0 0,878.0114817203674,0.0,185.15019073164422
12,178,NL0 15,445.2396873622045,0.0,0.30582826170274835
12,178,NL0 25,262.23049616023735,0.0,192.51179539560417
13,176,NL0 25,261.80282880036805,0.0,63.72556600957003
13,177,NL0 0,892.7237149879707,0.0,88.44461118804023
13,177,NL0 14,147.69145589576627,0.0,71.70716311502143
13,177,NL0 25,266.62451185332304,0.0,212.62451185332296
13,178,NL0 25,262.23049616023735,0.0,89.55671630842724
14,176,NL0 0,876.5795473808435,0.0,183.39594883736498
14,176,NL0 14,145.02057846964792,0.0,2.761869033249069
14,177,NL0 0,892.7237149879707,0.0,171.84719117757723
14,177,NL0 14,147.69145589576627,0.0,32.135536513731616
14,177,NL0 9,458.6298218248879,0.0,458.6298218248879
14,178,NL0 0,878.0114817203674,0.0,185.15019073164513
14,178,NL0 15,445.2396873622045,0.0,95.81153386403405
15,176,NL0 25,261.80282880036805,0.0,63.72556600943614
15,177,NL0 0,892.7237149879707,0.0,88.44461118767606
15,177,NL0 14,147.69145589576627,0.0,71.70716311506946
15,177,NL0 25,266.62451185332304,0.0,212.62451185332293
15,178,NL0 25,262.23049616023735,0.0,89.55671630829292
16,176,NL0 25,261.80282880036805,0.0,93.21174600349487
16,177,NL0 0,892.7237149879707,0.0,32.27491964341763
16,177,NL0 15,452.70026194106146,0.0,127.8768546596451
16,177,NL0 25,266.62451185332304,0.0,212.62451185332284
16,178,NL0 25,262.23049616023735,0.0,119.03251860217887
17,176,NL0 25,261.80282880036805,0.0,63.72556600956628
17,177,NL0 0,892.7237149879707,0.0,88.44461118803011
17,177,NL0 14,147.69145589576627,0.0,71.70716311502288
17,177,NL0 25,266.62451185332304,0.0,212.62451185332296
17,178,NL0 25,262.23049616023735,0.0,89.55671630842349
18,176,NL0 25,261.80282880036805,0.0,93.21174600349221
18,177,NL0 0,892.7237149879707,0.0,32.2749196434105
18,177,NL0 15,452.70026194106146,0.0,127.87685465964488
18,177,NL0 25,266.62451185332304,0.0,212.62451185332293
18,178,NL0 25,262.23049616023735,0.0,119.0325186021762
19,176,NL0 25,261.80282880036805,0.0,93.21174600351705
19,177,NL0 0,892.7237149879707,0.0,32.27491964349181
19,177,NL0 15,452.70026194106146,0.0,127.87685465963186
19,177,NL0 25,266.62451185332304,0.0,212.62451185332284
19,178,NL0 25,262.23049616023735,0.0,119.03251860220104
20,176,NL0 25,261.80282880036805,0.0,63.72556600961892
20,177,NL0 0,892.7237149879707,0.0,88.44461118817267
20,177,NL0 14,147.69145589576627,0.0,71.70716311500438
20,177,NL0 25,266.62451185332304,0.0,212.62451185332296
20,178,NL0 25,262.23049616023735,0.0,89.5567163084763
21,176,NL0 25,261.80282880036805,0.0,63.725566009545815
21,177,NL0 0,892.7237149879707,0.0,88.44461118797415
21,177,NL0 14,147.69145589576627,0.0,71.70716311503024
21,177,NL0 25,266.62451185332304,0.0,212.62451185332293
21,178,NL0 25,262.23049616023735,0.0,89.55671630840278
22,176,NL0 25,261.80282880036805,0.0,93.21174600345674
22,177,NL0 0,892.7237149879707,0.0,32.27491964329167
22,177,NL0 15,452.70026194106146,0.0,127.87685465966652
22,177,NL0 25,266.62451185332304,0.0,212.62451185332284
22,178,NL0 25,262.23049616023735,0.0,119.03251860214073
23,176,NL0 25,261.80282880036805,0.0,93.21174600349158
23,177,NL0 0,892.7237149879707,0.0,32.274919643406434
23,177,NL0 15,452.70026194106146,0.0,127.87685465964731
23,177,NL0 25,266.62451185332304,0.0,212.62451185332282
23,178,NL0 25,262.23049616023735,0.0,119.03251860217557
24,176,NL0 25,261.80282880036805,0.0,63.72556600529085
24,177,NL0 0,892.7237149879707,0.0,88.4446111766654
24,177,NL0 14,147.69145589576627,0.0,71.70716311509388
24,177,NL0 25,266.62451185332304,0.0,212.6245118533228
24,178,NL0 25,262.23049616023735,0.0,89.55671629739486
25,176,NL0 25,261.80282880036805,0.0,93.21174600350736
