run_id,generator,type,bus,zone,cm_offer,lambda_c_z,mu_cm_bud
1,NL0 20 0 offwind-ac,legacy,NL0 20,1,0.0,5975.333557227275,59329.06935292875
1,NL0 27 0 offwind-ac,legacy,NL0 27,1,0.0,5975.333557227275,59329.06935292875
1,NL0 31 0 offwind-ac,legacy,NL0 31,2,0.0,5975.333557227275,59329.06935292875
1,NL0 32 0 offwind-ac,legacy,NL0 32,1,0.0,5975.333557227275,59329.06935292875
1,NL0 7 0 offwind-ac,legacy,NL0 7,3,0.0,5975.333557227275,59329.06935292875
1,NL0 0 0 onwind,legacy,NL0 0,1,0.0,5975.333557227275,59329.06935292875
1,NL0 1 0 onwind,legacy,NL0 1,3,0.0,5975.333557227275,59329.06935292875
1,NL0 10 0 onwind,legacy,NL0 10,1,0.0,5975.333557227275,59329.06935292875
1,NL0 11 0 onwind,legacy,NL0 11,3,0.0,5975.333557227275,59329.06935292875
1,NL0 12 0 onwind,legacy,NL0 12,2,0.0,5975.333557227275,59329.06935292875
1,NL0 13 0 onwind,legacy,NL0 13,3,0.0,5975.333557227275,59329.06935292875
1,NL0 14 0 onwind,legacy,NL0 14,2,0.0,5975.333557227275,59329.06935292875
1,NL0 15 0 onwind,legacy,NL0 15,2,0.0,5975.333557227275,59329.06935292875
1,NL0 17 0 onwind,legacy,NL0 17,1,0.0,5975.333557227275,59329.06935292875
1,NL0 19 0 onwind,legacy,NL0 19,2,0.0,5975.333557227275,59329.06935292875
1,NL0 2 0 onwind,legacy,NL0 2,2,0.0,5975.333557227275,59329.06935292875
1,NL0 20 0 onwind,legacy,NL0 20,1,0.0,5975.333557227275,59329.06935292875
1,NL0 21 0 onwind,legacy,NL0 21,1,0.0,5975.333557227275,59329.06935292875
1,NL0 22 0 onwind,legacy,NL0 22,3,0.0,5975.333557227275,59329.06935292875
1,NL0 23 0 onwind,legacy,NL0 23,1,0.0,5975.333557227275,59329.06935292875
1,NL0 24 0 onwind,legacy,NL0 24,1,0.0,5975.333557227275,59329.06935292875
1,NL0 27 0 onwind,legacy,NL0 27,1,0.0,5975.333557227275,59329.06935292875
1,NL0 3 0 onwind,legacy,NL0 3,1,0.0,5975.333557227275,59329.06935292875
1,NL0 30 0 onwind,legacy,NL0 30,1,0.0,5975.333557227275,59329.06935292875
1,NL0 31 0 onwind,legacy,NL0 31,2,0.0,5975.333557227275,59329.06935292875
1,NL0 4 0 onwind,legacy,NL0 4,2,0.0,5975.333557227275,59329.06935292875
1,NL0 5 0 onwind,legacy,NL0 5,3,0.0,5975.333557227275,59329.06935292875
1,NL0 6 0 onwind,legacy,NL0 6,3,0.0,5975.333557227275,59329.06935292875
1,NL0 7 0 onwind,legacy,NL0 7,3,0.0,5975.333557227275,59329.06935292875
1,NL0 8 0 onwind,legacy,NL0 8,1,0.0,5975.333557227275,59329.06935292875
1,NL0 9 0 onwind,legacy,NL0 9,3,0.0,5975.333557227275,59329.06935292875
2,NL0 0 Invest,investable,NL0 0,1,0.0,5975.333557223736,5975.333557223736
2,NL0 1 Invest,investable,NL0 1,3,0.0,5975.333557223511,5975.333557223103
2,NL0 10 Invest,investable,NL0 10,1,0.0,5975.333557223736,5975.333557223277
2,NL0 11 Invest,investable,NL0 11,3,0.0,5975.333557223511,5975.333557223103
2,NL0 12 Invest,investable,NL0 12,2,0.0,5975.3335572238875,5975.333557223725
2,NL0 13 Invest,investable,NL0 13,3,0.0,5975.333557223511,5975.333557223103
2,NL0 14 Invest,investable,NL0 14,2,0.0,5975.3335572238875,5975.333557228539
2,NL0 15 Invest,investable,NL0 15,2,502.46077521315465,5975.3335572238875,5975.33355722371
2,NL0 16 Invest,investable,NL0 16,1,0.0,5975.333557223736,5975.33355722327
