run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest
1,ptdf_pos,TIME_LIMIT,120.45299983024597,1.0,502.46077516242985,2.2682984762350354e9,42.995639634035975,0.0,OPTIMAL,169743.0441943444,2.5368946769472957e9,36802.86820783897,66470.08799325272,103272.95620109169,-2.503229393593503e6,2.539397906340889e9,5975.333557227275,7266.200000000001,5975.333557227275,7266.200000000001,-38.453297475133695,5975.333557227275,4921.96077516243,5975.333557227275,4921.96077516243,-2361.651456633191,5975.333557227275,4601.000000000027,5975.333557227275,4601.000000050703,2400.104754108325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.46077516242985,0.0,0.0,0.0,0.0,0.0
2,ptdf_neg,TIME_LIMIT,120.29800009727478,103.0016760444824,502.46077521315465,2.2682984762353363e9,42.99563963403596,0.0,OPTIMAL,113373.57465627854,2.281098199368159e9,33093.64797022237,40139.963343028074,73233.61131325045,-2.363510577184967e6,2.283461709945344e9,5975.333557223736,7266.2,5975.333557223736,7266.200000000181,-38.45329747531423,5975.3335572238875,4921.960775213154,5975.3335572238875,4921.960775212907,-2361.651456683667,5975.333557223511,4601.0,5975.333557223511,4601.000000000047,2400.1047541589815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.46077521315465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,ptdf_pos,TIME_LIMIT,120.4319999217987,1.0,502.4607751118283,2.2682984762273536e9,42.99563963403597,0.0,OPTIMAL,113131.10908193167,2.2811235274402666e9,33093.64797639841,40018.73055276664,73112.37852916503,-2.3381829312240537e6,2.2834617103714905e9,5975.333557199002,7266.2,5975.333557199002,7266.200000050558,-38.45329752569069,5975.333557199002,4921.960775162688,5975.333557199002,4921.960775213038,-2361.651456683798,5975.333557199002,4601.0,5975.333557199002,4600.999999949539,2400.104754209489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.4607751118283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,ptdf_neg,TIME_LIMIT,120.33200001716614,44.876512924136826,502.46077521304323,2.2682984762353363e9,42.99563963403596,0.0,OPTIMAL,124558.32450318763,2.536956529857416e9,36802.868202335056,43877.728150426294,80680.59635276133,-2.44137610370255e6,2.5393979059611187e9,5975.3335572253845,7266.2,5975.3335572253845,7266.199999999999,-38.453297475132786,5975.3335572253845,4921.960775213043,5975.3335572253845,4921.960775213044,-2361.651456683805,5975.3335572253845,4601.0,5975.3335572253845,4601.000000000091,2400.104754158938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.46077521304323,0.0,0.0,0.0,0.0,0.0
5,ptdf_pos,TIME_LIMIT,120.63499999046326,31.614092575840143,502.4607794545074,2.2682984762606235e9,42.99563963403596,0.0,OPTIMAL,184142.8117863974,2.2812420205415506e9,33093.64747730433,75524.58215454653,108618.22963185086,-2.219655392448065e6,2.2834616759339986e9,5975.3335571413445,7266.2,5975.333557227392,7266.200000000235,-38.453297475369254,5975.333557227392,4921.960775213135,5975.333557141839,4921.9607752128795,-2361.65145668364,5975.333557141512,4601.0,5975.333557141512,4601.00000000002,2400.104754159009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.4607794545074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,ptdf_neg,TIME_LIMIT,120.73600006103516,18.54699677557547,502.4607752132247,2.2682984762353363e9,42.99563963403597,0.0,OPTIMAL,90971.72717207998,2.5368849883031273e9,36802.86820231534,27084.42948488232,63887.29768719766,-2.5129176566308415e6,2.5393979059597583e9,5975.333557225574,7266.2,5975.333557225517,7266.200000000117,-38.45329747525102,5975.333557225574,4921.960775213224,5975.333557225517,4921.9607752130505,-2361.651456683811,5975.333557225454,4601.0,5975.333557225517,4600.999999999967,2400.104754159062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.4607752132247,0.0,0.0,0.0,0.0,0.0
7,ptdf_pos,TIME_LIMIT,120.69600009918213,8.402870484479676,502.4607752130496,2.2682984762353363e9,42.99563963403597,0.0,OPTIMAL,170850.48882208916,6.460237863834562e9,93715.18222761524,38567.65329723699,132282.83552485218,-6.109709870888319e6,6.466347573705451e9,5975.333557227161,7266.2,5975.333557227161,7266.20000000003,-38.45329747516371,5975.333557227161,4921.96077521305,5975.333557227161,4921.9607752130505,-2361.651456683811,5975.333557227161,4601.0,5975.333557227161,4601.000000000055,2400.1047541589746,0.0,0.0,0.0,0.0,0.0,0.0,502.4607752130496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ptdf_neg,TIME_LIMIT,120.72000002861023,1.1897610689231708,502.46077521306324,2.268298476235337e9,42.99563963403596,0.0,OPTIMAL,186451.90485091362,4.533185896138114e9,65761.65476566937,60345.12504262214,126106.7798082915,-4.36828269307264e6,4.537554178831186e9,5975.333557227199,7266.2,5975.333557227199,7266.200000000066,-38.45329747520009,5975.333557227199,4921.960775213063,5975.333557227199,4921.960775213064,-2361.651456683825,5975.333557227199,4601.0,5975.333557227199,4601.000000000004,2400.104754159025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502.46077521306324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,ptdf_pos,TIME_LIMIT,120.55599999427795,2.381748357938607,502.46077521304505,2.2682984762353363e9,42.99563963403597,0.0,OPTIMAL,168296.21955200052,6.460253596418409e9,93715.18222761524,37290.518662192655,131005.70088980786,-6.093977287042078e6,6.466347573705451e9,5975.333557227148,7266.2,5975.333557227148,7266.200000000033,-38.45329747516644,5975.333557227148,4921.960775213045,5975.333557227148,4921.960775213045,-2361.651456683806,5975.333557227148,4601.0,5975.333557227148,4601.000000000056,2400.1047541589724,0.0,0.0,0.0,0.0,0.0,0.0,502.46077521304505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,ptdf_neg,TIME_LIMIT,120.34000015258789,11.634134399705534,502.46077521310065,2.268298476235329e9,42.99563963403596,0.0,OPTIMAL,262568.5844233254,7.727524028077003e9,112053.79327164454,75257.39557584042,187311.18884748494,-4.187707666470485e6,7.731711735743473e9,5975.333557227232,7266.2,5975.333557227232,7266.199999999999,-38.453297475132786,5975.333557227232,4921.960775213135,5975.333557227232,4921.960775213136,-2361.651456683897,5975.333557227232,4601.0,5975.333557227232,4600.999999999999,2400.1047541590297,0.0,0.0,0.0,0.0,502.46077521310065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
