run_id,t,node,demand,ls,curtailment
3,1,NL0 10,107.14285714285717,0.0,92.14285714285718
3,2,NL0 10,160.71428571428575,0.0,130.98044047194256
3,3,NL0 1,150.0,0.0,67.03370877215245
3,3,NL0 10,187.50000000000003,0.0,135.46629122784756
5,1,NL0 10,107.14285714285717,0.0,92.14285714285718
5,2,NL0 10,160.71428571428575,0.0,130.98044047194256
5,3,NL0 1,150.0,0.0,67.03370877215245
5,3,NL0 10,187.50000000000003,0.0,135.46629122784756
6,1,NL0 10,107.14285714285717,0.0,92.14285714285718
6,2,NL0 10,160.71428571428575,0.0,130.98044047194256
6,3,NL0 1,150.0,0.0,67.03370877215245
6,3,NL0 10,187.50000000000003,0.0,135.46629122784756
