run_id,t,generator,bus,q,q_max,mu_g_up,type
4,3,NL0 10 coal,NL0 10,144.44444444444446,144.44444444444446,0.0,investable
4,3,NL0 0 0 solar,NL0 0,25.0,25.0,4.990000000000123,legacy
4,3,NL0 1 0 solar,NL0 1,0.0,0.0,300.0,legacy
4,3,NL0 10 0 solar,NL0 10,50.0,50.0,4.9900000000000375,legacy
5,1,NL0 0 coal,NL0 0,0.0,11.11111111111111,0.0,investable
5,1,NL0 1 coal,NL0 1,125.0,155.55555555555554,0.0,investable
5,1,NL0 10 coal,NL0 10,0.0,144.44444444444446,0.0,investable
5,1,NL0 0 0 solar,NL0 0,50.0,50.0,4.9900000000000375,legacy
5,1,NL0 1 0 solar,NL0 1,25.0,25.0,4.9900000000000375,legacy
5,1,NL0 10 0 solar,NL0 10,0.0,0.0,300.0,legacy
5,2,NL0 0 coal,NL0 0,0.0,11.11111111111111,0.0,investable
5,2,NL0 1 coal,NL0 1,80.55555555555556,155.55555555555554,0.0,investable
5,2,NL0 10 coal,NL0 10,144.44444444444446,144.44444444444446,0.0,investable
5,2,NL0 0 0 solar,NL0 0,0.0,0.0,300.0,legacy
5,2,NL0 1 0 solar,NL0 1,50.0,50.0,4.9900000000000375,legacy
5,2,NL0 10 0 solar,NL0 10,25.0,25.0,4.9900000000000375,legacy
5,3,NL0 0 coal,NL0 0,0.0,11.11111111111111,0.0,investable
5,3,NL0 1 coal,NL0 1,130.55555555555554,155.55555555555554,0.0,investable
5,3,NL0 10 coal,NL0 10,144.44444444444446,144.44444444444446,0.0,investable
5,3,NL0 0 0 solar,NL0 0,25.0,25.0,4.990000000000123,legacy
5,3,NL0 1 0 solar,NL0 1,0.0,0.0,300.0,legacy
5,3,NL0 10 0 solar,NL0 10,50.0,50.0,4.9900000000000375,legacy
6,1,NL0 0 coal,NL0 0,0.0,11.11111111111111,0.0,investable
6,1,NL0 1 coal,NL0 1,125.0,155.55555555555554,0.0,investable
6,1,NL0 10 coal,NL0 10,0.0,144.44444444444446,0.0,investable
6,1,NL0 0 0 solar,NL0 0,50.0,50.0,4.9900000000000375,legacy
