run_id,generator,bus,tech,zone,cap_max,c,vc,fc,mu_cap_up,mu_cm_bud_total,lambda_c_sys,energy_rent,cm_rent,total_rent,fixed_cost,profit
1,NL0 0 coal,NL0 0,coal,1,200.0,11.11111111111111,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,128.49987980835627,128.49987980835627,128.49987980835755,-1.2789769243681803e-12
1,NL0 1 coal,NL0 1,coal,2,200.0,155.55555555555554,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1798.9983173169876,1798.9983173169876,1798.9983173170053,-1.77351466845721e-11
1,NL0 10 coal,NL0 10,coal,3,200.0,144.44444444444446,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1670.4984375086317,1670.4984375086317,1670.498437508648,-1.6370904631912708e-11
2,NL0 0 coal,NL0 0,coal,1,200.0,11.11111111111111,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,128.49987980835627,128.49987980835627,128.49987980835755,-1.2789769243681803e-12
2,NL0 1 coal,NL0 1,coal,2,200.0,155.55555555555554,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1798.9983173169876,1798.9983173169876,1798.9983173170053,-1.77351466845721e-11
2,NL0 10 coal,NL0 10,coal,3,200.0,144.44444444444446,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1670.4984375086317,1670.4984375086317,1670.498437508648,-1.6370904631912708e-11
3,NL0 0 coal,NL0 0,coal,1,200.0,11.11111111111111,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,128.49987980835627,128.49987980835627,128.49987980835755,-1.2789769243681803e-12
3,NL0 1 coal,NL0 1,coal,2,200.0,155.55555555555554,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1798.9983173169876,1798.9983173169876,1798.9983173170053,-1.77351466845721e-11
3,NL0 10 coal,NL0 10,coal,3,200.0,144.44444444444446,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1670.4984375086317,1670.4984375086317,1670.498437508648,-1.6370904631912708e-11
4,NL0 0 coal,NL0 0,coal,1,200.0,11.11111111111111,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,128.49987980835627,128.49987980835627,128.49987980835755,-1.2789769243681803e-12
4,NL0 1 coal,NL0 1,coal,2,200.0,155.55555555555554,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1798.9983173169876,1798.9983173169876,1798.9983173170053,-1.77351466845721e-11
4,NL0 10 coal,NL0 10,coal,3,200.0,144.44444444444446,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1670.4984375086317,1670.4984375086317,1670.498437508648,-1.6370904631912708e-11
5,NL0 0 coal,NL0 0,coal,1,200.0,11.11111111111111,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,128.49987980835627,128.49987980835627,128.49987980835755,-1.2789769243681803e-12
5,NL0 1 coal,NL0 1,coal,2,200.0,155.55555555555554,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1798.9983173169876,1798.9983173169876,1798.9983173170053,-1.77351466845721e-11
5,NL0 10 coal,NL0 10,coal,3,200.0,144.44444444444446,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1670.4984375086317,1670.4984375086317,1670.498437508648,-1.6370904631912708e-11
6,NL0 0 coal,NL0 0,coal,1,200.0,11.11111111111111,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,128.49987980835627,128.49987980835627,128.49987980835755,-1.2789769243681803e-12
6,NL0 1 coal,NL0 1,coal,2,200.0,155.55555555555554,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1798.9983173169876,1798.9983173169876,1798.9983173170053,-1.77351466845721e-11
6,NL0 10 coal,NL0 10,coal,3,200.0,144.44444444444446,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1670.4984375086317,1670.4984375086317,1670.498437508648,-1.6370904631912708e-11
7,NL0 0 coal,NL0 0,coal,1,200.0,11.11111111111111,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,128.49987980835627,128.49987980835627,128.49987980835755,-1.2789769243681803e-12
7,NL0 1 coal,NL0 1,coal,2,200.0,155.55555555555554,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1798.9983173169876,1798.9983173169876,1798.9983173170053,-1.77351466845721e-11
7,NL0 10 coal,NL0 10,coal,3,200.0,144.44444444444446,5.0,11.564989182752178,0.0,11.564989182752065,0.0,0.0,1670.4984375086317,1670.4984375086317,1670.498437508648,-1.6370904631912708e-11
