run_id,weight_type,rd_cost_econ,curtailment,capacity_market_cost,cm_plus_redispatch_cost,grid_load_shedding_cost,total_cost,scenario,case_study,design,sigma,design_order,design_label
40,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
41,ptdf_pos,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
42,ptdf_neg,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
43,ptdf_pos,-171817802.7505712,3997380.687965678,901947890.1234603,730130087.372889,275819267469.6318,276549397557.00464,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
44,ptdf_neg,-165875217.78274786,3856826.974432274,901947890.1234603,736072672.3407124,266121061235.8269,266857133908.1676,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
45,ptdf_pos,-169037432.30841464,3934875.046426088,901947890.1234603,732910457.8150456,271506378203.4001,272239288661.21512,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
46,ptdf_neg,-145612653.67235613,3228816.8596255034,901947890.1234603,756335236.4511042,222788363314.15973,223544698550.61084,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
47,ptdf_pos,-154031030.77127206,3450151.04879607,901947890.1234603,747916859.3521882,238060422366.9288,238808339226.281,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
48,ptdf_neg,-141041645.42499804,3075652.263613895,901947890.1234603,760906244.6984622,212220006189.35876,212980912434.05722,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
49,ptdf_pos,-250304399.098222,5855418.143189471,901947890.1249557,651643491.0267336,404023851880.0735,404675495371.1002,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
50,ptdf_neg,-109036812.4964698,2299781.1788090263,901947890.1259867,792911077.6295168,158684901337.8228,159477812415.45233,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
51,ptdf_pos,-109632677.65752344,2299796.734717948,901947890.1259087,792315212.4683853,158685974695.5384,159478289908.00677,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
52,ptdf_neg,-251420902.92368007,5855040.252480352,901947890.1257279,650526987.2020478,403997777421.1443,404648304408.3463,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
53,ptdf_pos,-152081171.4855709,3378822.7363963923,901947890.1234603,749866718.6378894,233138768811.35107,233888635529.98895,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
54,ptdf_neg,-150999665.446849,3378919.5318531957,901947890.1257403,750948224.6788913,233145447697.8705,233896395922.5494,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
55,ptdf_pos,-252592024.5127467,5854613.642795684,901947890.1234603,649355865.6107136,403968341352.90216,404617697218.5129,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
56,ptdf_neg,-109608163.78038605,2299788.779902276,901947890.1234603,792339726.3430742,158685425813.25705,159477765539.60013,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
57,ptdf_pos,-152081171.4855709,3378822.7363963923,901947890.1234603,749866718.6378894,233138768811.35107,233888635529.98895,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
58,ptdf_neg,-152081171.4855709,3378822.7363963923,901947890.1234603,749866718.6378894,233138768811.35107,233888635529.98895,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
59,ptdf_pos,-152081171.4855709,3378822.7363963923,901947890.1234603,749866718.6378894,233138768811.35107,233888635529.98895,nl34_z1_sigma0,Case Study 1,Country-wide,,0,Country-wide
