scenario,case_study,design,zone,bus,min_mw,median_mw,mean_mw,max_mw,build_runs,runs,build_share
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 21,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 23,0.0,0.0,1.204844444213649e-08,9.638755553709193e-07,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 24,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 27,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 3,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 30,0.0,0.0,1.2048056796665213e-08,9.63844543733217e-07,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 33,0.0,0.0,4.295858649900581e-09,3.436686919920465e-07,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,NL0 8,0.0,0.0,7.2254309424479885e-09,5.780344753958391e-07,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 12,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 14,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 15,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 19,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 2,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 25,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 26,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 28,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 31,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,NL0 4,0.0,0.0,0.0,0.0,0,80,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,3,NL0 1,0.0,838.3923245892768,515.2321859072867,1000.0,43,80,0.5375
