scenario,case_study,design,runs,procured_min_mw,procured_median_mw,procured_max_mw,cost_min,cost_median,cost_max
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,80,16722.70760285112,16722.707602851122,16722.707602851122,76239924.39745602,91516369.77237931,91516369.77243404
cs2_nl34_z3_sigma0,Case Study 2,Split,80,16789.160775213077,17708.851456683893,18648.351456683893,238649479.12754458,238649479.12821132,238649479.12821266
nl34_z1_sigma0,Case Study 1,Country-wide,80,16722.70760285112,16722.70760285112,16722.70760285112,901947890.1234578,901947890.1234603,901947890.1259867
nl34_z3_sigma0,Case Study 1,Split,80,16789.160775213135,16789.160775213135,16789.160775213135,930705870.4653194,930706141.4849045,930706141.4849045
