line,total_overload_index,maximum_overload_mw,overloaded_run_hours,overload_during_shedding_index,shedding_associated_with_overload_mw,maximum_market_utilization,representative_timesteps_ever_overloaded,runs_with_overload,scenario,case_study,design,sigma,runs_analysed,rank_in_scenario,share_of_scenario_overload
6,8259.891591168274,429.7053025922037,50,0.0,0.0,1.180750183688741,15.0,13.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,13,0.0006717452651963837
15,4590.574425873843,254.0200131892807,45,3471.9690377138363,33988.758325895105,1.0828635404628468,18.0,5.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,14,0.00037333379028963815
20,2391.100037616705,318.7208338292053,31,0.6566755956528141,225.06002218768253,1.1340659491808254,15.0,16.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,15,0.00019445898425559543
40,1549.084528492057,232.9275922461784,13,1549.084528492057,21835.60735139784,1.09797809063722,12.0,4.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,16,0.0001259810962308685
3,1277.8796580019985,275.7198082661457,17,906.4261509653252,4318.408628793913,1.115978103342201,4.0,15.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,17,0.00010392504553830393
10,473.8155565658467,88.89150416936081,10,473.8155565658467,9646.291965793036,1.0373911041126445,5.0,2.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,18,3.853359976780022e-05
5,445.3783979177206,176.23606569606,4,0.0,0.0,1.0741315060693457,4.0,3.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,19,3.622091485339504e-05
17,197.64146411019237,52.16465080749049,6,0.0,0.0,1.0219424106675756,4.0,6.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,20,1.607342133454376e-05
2,175.82601288431897,175.82601288431897,1,0.0,0.0,1.0739590224611677,1.0,1.0,nl34_z3_sigma100,Case Study 1,Split,1.0,80,21,1.4299254457490304e-05
0,0.0,0.0,0,0.0,0.0,0.861807118601027,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,22,0.0
13,0.0,0.0,0,0.0,0.0,0.8523138408671733,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,23,0.0
22,0.0,0.0,0,0.0,0.0,0.4556632020185081,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,24,0.0
29,0.0,0.0,0,0.0,0.0,0.7578689243463109,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,25,0.0
28,0.0,0.0,0,0.0,0.0,0.6713537834076185,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,26,0.0
25,0.0,0.0,0,0.0,0.0,0.3540434432707555,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,27,0.0
16,0.0,0.0,0,0.0,0.0,0.7204038510980448,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,28,0.0
19,0.0,0.0,0,0.0,0.0,0.9655643432101916,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,29,0.0
18,0.0,0.0,0,0.0,0.0,0.4322065087617173,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,30,0.0
21,0.0,0.0,0,0.0,0.0,0.4981323921138406,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,31,0.0
30,0.0,0.0,0,0.0,0.0,0.4270502330412463,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,32,0.0
38,0.0,0.0,0,0.0,0.0,0.4299469061577824,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,33,0.0
37,0.0,0.0,0,0.0,0.0,0.4255601774220272,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,34,0.0
36,0.0,0.0,0,0.0,0.0,0.3523850865115711,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,35,0.0
35,0.0,0.0,0,0.0,0.0,0.7047701730231425,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,36,0.0
32,0.0,0.0,0,0.0,0.0,0.6470831322122569,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,37,0.0
31,0.0,0.0,0,0.0,0.0,0.4722074908122214,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,38,0.0
39,0.0,0.0,0,0.0,0.0,0.8882728522250753,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,39,0.0
9,0.0,0.0,0,0.0,0.0,0.7149709563865784,,,nl34_z3_sigma100,Case Study 1,Split,1.0,80,40,0.0
5,46154.553504093295,362.77425051448427,476,0.0,0.0,1.152596470237805,23.0,80.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,1,0.2435367824185671
20,41668.679298596406,302.26611240655075,385,0.0,0.0,1.1271444755528528,21.0,79.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,2,0.21986684549144958
7,38883.67654432117,382.8324624322089,257,38809.209960272245,75072.95314581714,1.5562982614511305,5.0,80.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,3,0.2051716408299445
4,30259.06849013277,365.4180712318098,238,0.0,0.0,1.153708560494579,16.0,78.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,4,0.15966347022328867
12,12675.62644780538,298.2006604540002,129,12675.62644780538,59854.932622332235,1.4333188150247689,4.0,77.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,5,0.06688356935279288
8,9679.049349036984,203.16988953780924,124,9679.049349036984,58005.514041235525,1.2952285070368486,3.0,76.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,6,0.051071982207041414
14,5822.969210120758,242.5268634041371,89,5822.969210120758,46183.83103677509,1.3524185791606116,3.0,53.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,7,0.030725184795242954
23,2691.421600262461,192.1132665269356,43,2691.421600262461,26367.424770334062,1.2791620007656916,3.0,27.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,8,0.014201419077786551
11,1520.9870496471508,179.6772540953848,30,1520.9870496471508,21935.917114247743,1.261091087836563,3.0,26.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,9,0.008025563331222032
34,161.76144769781354,74.89857788525171,5,161.76144769781354,2572.5531482707274,1.1088359863685953,2.0,3.0,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,10,0.0008535422726644086
15,0.0,0.0,0,0.0,0.0,0.5573850823245436,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,11,0.0
10,0.0,0.0,0,0.0,0.0,0.3421020106968779,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,12,0.0
0,0.0,0.0,0,0.0,0.0,0.5851755663469949,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,13,0.0
13,0.0,0.0,0,0.0,0.0,0.6868089974142912,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,14,0.0
1,0.0,0.0,0,0.0,0.0,0.7841268064760304,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,15,0.0
18,0.0,0.0,0,0.0,0.0,0.4975092484976994,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,16,0.0
22,0.0,0.0,0,0.0,0.0,0.4908316095392967,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,17,0.0
24,0.0,0.0,0,0.0,0.0,0.91532415275847,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,18,0.0
25,0.0,0.0,0,0.0,0.0,0.3592181284380693,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,19,0.0
16,0.0,0.0,0,0.0,0.0,0.5202974725668368,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,20,0.0
19,0.0,0.0,0,0.0,0.0,0.9243794429340896,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,21,0.0
2,0.0,0.0,0,0.0,0.0,0.5602132760035062,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,22,0.0
21,0.0,0.0,0,0.0,0.0,0.3762772011731569,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,23,0.0
17,0.0,0.0,0,0.0,0.0,0.92172723548714,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,24,0.0
3,0.0,0.0,0,0.0,0.0,0.4587319778357213,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,25,0.0
29,0.0,0.0,0,0.0,0.0,0.7122536603294003,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,26,0.0
28,0.0,0.0,0,0.0,0.0,0.6605865661435291,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,27,0.0
27,0.0,0.0,0,0.0,0.0,0.8996676059157958,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,28,0.0
26,0.0,0.0,0,0.0,0.0,0.683937983719688,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,29,0.0
30,0.0,0.0,0,0.0,0.0,0.2373905563520583,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,30,0.0
31,0.0,0.0,0,0.0,0.0,0.5427299824281491,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,31,0.0
32,0.0,0.0,0,0.0,0.0,0.2264527809269804,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,32,0.0
38,0.0,0.0,0,0.0,0.0,0.4299469061577824,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,33,0.0
37,0.0,0.0,0,0.0,0.0,0.4093519760432241,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,34,0.0
36,0.0,0.0,0,0.0,0.0,0.3523850865115711,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,35,0.0
35,0.0,0.0,0,0.0,0.0,0.704770173023142,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,36,0.0
40,0.0,0.0,0,0.0,0.0,0.5037676620129034,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,37,0.0
39,0.0,0.0,0,0.0,0.0,0.5645646136720495,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,38,0.0
6,0.0,0.0,0,0.0,0.0,0.7338544641262288,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,39,0.0
9,0.0,0.0,0,0.0,0.0,0.9037788711201598,,,cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,80,40,0.0
5,73170.88569193153,334.9862150672029,640,0.0,0.0,1.1409077792182951,20.0,80.0,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,1,0.5605555431268047
20,33616.62407033452,288.1761737896468,310,0.0,0.0,1.1212177183594807,16.0,80.0,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,2,0.2575339192035212
4,21994.150217851948,306.821001129832,161,0.0,0.0,1.1290604327645706,14.0,74.0,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,3,0.16849519729593795
29,1751.141968072467,126.75900977896208,21,0.0,0.0,1.0533195987192503,3.0,15.0,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,4,0.013415340373736172
0,0.0,0.0,0,0.0,0.0,0.593763949723225,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,5,0.0
1,0.0,0.0,0,0.0,0.0,0.7478484803662524,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,6,0.0
10,0.0,0.0,0,0.0,0.0,0.7111643298018976,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,7,0.0
11,0.0,0.0,0,0.0,0.0,0.4298296103285945,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,8,0.0
15,0.0,0.0,0,0.0,0.0,0.5639517896957102,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,9,0.0
14,0.0,0.0,0,0.0,0.0,0.6152341900051363,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,10,0.0
13,0.0,0.0,0,0.0,0.0,0.3330235164140505,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,11,0.0
12,0.0,0.0,0,0.0,0.0,0.4742917035238726,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,12,0.0
19,0.0,0.0,0,0.0,0.0,0.9410534721114284,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,13,0.0
2,0.0,0.0,0,0.0,0.0,0.5614336644720385,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,14,0.0
18,0.0,0.0,0,0.0,0.0,0.4449328650863619,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,15,0.0
16,0.0,0.0,0,0.0,0.0,0.5131534793919041,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,16,0.0
22,0.0,0.0,0,0.0,0.0,0.4983264035492068,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,17,0.0
23,0.0,0.0,0,0.0,0.0,0.4175734208707165,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,18,0.0
25,0.0,0.0,0,0.0,0.0,0.1218167733373878,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,19,0.0
24,0.0,0.0,0,0.0,0.0,0.3665574947311875,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,20,0.0
26,0.0,0.0,0,0.0,0.0,0.9285682374794284,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,21,0.0
27,0.0,0.0,0,0.0,0.0,0.9088254763674496,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,22,0.0
21,0.0,0.0,0,0.0,0.0,0.3437500125020948,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,23,0.0
17,0.0,0.0,0,0.0,0.0,0.9336011231791248,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,24,0.0
3,0.0,0.0,0,0.0,0.0,0.4915550242147993,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,25,0.0
28,0.0,0.0,0,0.0,0.0,0.667879072972087,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,26,0.0
30,0.0,0.0,0,0.0,0.0,0.2864508399348583,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,27,0.0
31,0.0,0.0,0,0.0,0.0,0.5535627605427202,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,28,0.0
35,0.0,0.0,0,0.0,0.0,0.704770173023142,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,29,0.0
36,0.0,0.0,0,0.0,0.0,0.3523850865115712,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,30,0.0
32,0.0,0.0,0,0.0,0.0,0.2264527809269804,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,31,0.0
34,0.0,0.0,0,0.0,0.0,0.6699065220905528,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,32,0.0
38,0.0,0.0,0,0.0,0.0,0.4299469061577824,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,33,0.0
37,0.0,0.0,0,0.0,0.0,0.3628394583395296,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,34,0.0
39,0.0,0.0,0,0.0,0.0,0.5861605210419735,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,35,0.0
40,0.0,0.0,0,0.0,0.0,0.7925694106029494,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,36,0.0
6,0.0,0.0,0,0.0,0.0,0.7361026493185773,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,37,0.0
7,0.0,0.0,0,0.0,0.0,0.5861211895244561,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,38,0.0
8,0.0,0.0,0,0.0,0.0,0.4872836327258485,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,39,0.0
9,0.0,0.0,0,0.0,0.0,0.3789359924608574,,,cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,80,40,0.0
5,49861.53286817993,358.6705520022874,519,0.0,0.0,1.1508703005689458,21.0,80.0,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,1,0.4351998754818269
20,33908.71892578564,338.3985157715797,363,0.0,0.0,1.142343121010441,20.0,80.0,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,2,0.29596102256350165
4,29479.35897553748,333.72468363567486,247,0.0,0.0,1.1403771317336069,17.0,78.0,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,3,0.25730082124341025
29,1321.9589327544618,126.75900977896208,16,0.0,0.0,1.0533195987192503,3.0,7.0,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,4,0.011538280711261076
0,0.0,0.0,0,0.0,0.0,0.5552364244626208,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,5,0.0
1,0.0,0.0,0,0.0,0.0,0.7541876645916569,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,6,0.0
10,0.0,0.0,0,0.0,0.0,0.5822636058153721,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,7,0.0
11,0.0,0.0,0,0.0,0.0,0.6632008740593824,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,8,0.0
15,0.0,0.0,0,0.0,0.0,0.555016585858833,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,9,0.0
14,0.0,0.0,0,0.0,0.0,0.6904852280017163,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,10,0.0
13,0.0,0.0,0,0.0,0.0,0.4360281935891799,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,11,0.0
12,0.0,0.0,0,0.0,0.0,0.8761691933435034,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,12,0.0
19,0.0,0.0,0,0.0,0.0,0.9182238453792568,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,13,0.0
2,0.0,0.0,0,0.0,0.0,0.5610328739383809,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,14,0.0
18,0.0,0.0,0,0.0,0.0,0.482569454900594,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,15,0.0
16,0.0,0.0,0,0.0,0.0,0.5088902878420317,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,16,0.0
22,0.0,0.0,0,0.0,0.0,0.4972756995516391,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,17,0.0
23,0.0,0.0,0,0.0,0.0,0.7525220157713282,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,18,0.0
25,0.0,0.0,0,0.0,0.0,0.2487356480838995,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,19,0.0
24,0.0,0.0,0,0.0,0.0,0.6093975663968955,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,20,0.0
26,0.0,0.0,0,0.0,0.0,0.8939880184421983,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,21,0.0
27,0.0,0.0,0,0.0,0.0,0.9031314339752308,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,22,0.0
21,0.0,0.0,0,0.0,0.0,0.3688918256715249,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,23,0.0
17,0.0,0.0,0,0.0,0.0,0.8851610348605621,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,24,0.0
3,0.0,0.0,0,0.0,0.0,0.4491632397117002,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,25,0.0
28,0.0,0.0,0,0.0,0.0,0.662465138013019,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,26,0.0
30,0.0,0.0,0,0.0,0.0,0.2631365938084651,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,27,0.0
31,0.0,0.0,0,0.0,0.0,0.5453928716991685,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,28,0.0
35,0.0,0.0,0,0.0,0.0,0.704770173023142,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,29,0.0
36,0.0,0.0,0,0.0,0.0,0.3523850865115711,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,30,0.0
32,0.0,0.0,0,0.0,0.0,0.2264527809269804,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,31,0.0
34,0.0,0.0,0,0.0,0.0,0.6670949713018689,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,32,0.0
38,0.0,0.0,0,0.0,0.0,0.4299469061577824,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,33,0.0
37,0.0,0.0,0,0.0,0.0,0.404922488322271,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,34,0.0
39,0.0,0.0,0,0.0,0.0,0.5671652146978883,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,35,0.0
40,0.0,0.0,0,0.0,0.0,0.7016538854652965,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,36,0.0
6,0.0,0.0,0,0.0,0.0,0.7360843479268975,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,37,0.0
7,0.0,0.0,0,0.0,0.0,0.999452355643992,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,38,0.0
8,0.0,0.0,0,0.0,0.0,0.8533614001926693,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,39,0.0
9,0.0,0.0,0,0.0,0.0,0.6437930423547286,,,cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,80,40,0.0
5,49542.31685969222,351.40214103609696,456,0.0,0.0,1.1478129340218288,22.0,80.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,1,0.29750161816330795
7,36228.136261305845,381.2270883692655,251,36193.05853660926,66981.26648199891,1.5539654739061026,5.0,78.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,2,0.21754996221317738
20,32785.34450312037,346.3084149258775,305,0.0,0.0,1.145670321574349,20.0,80.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,3,0.19687599732856775
4,23291.09480083707,367.5256358270072,190,0.0,0.0,1.1545950812924832,15.0,79.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,4,0.13986302682750804
12,9069.148308036101,303.3743096253163,107,9069.148308036101,48680.540070939955,1.4408367042368702,4.0,76.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,5,0.05446023658209126
8,6537.6167167018275,201.38133840745297,103,6537.6167167018275,46975.5700067056,1.2926295427849344,3.0,75.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,6,0.039258389099132034
14,4491.0924845266145,248.08473495801505,51,4491.0924845266145,29880.96046992004,1.3604947863431165,3.0,30.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,7,0.02696901086099185
11,2442.1048700722795,188.47321112916745,36,2442.1048700722795,23776.453679542738,1.2738725943331772,3.0,28.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,8,0.014664840011995993
23,1979.0710615648636,199.15672696111733,31,1979.0710615648636,20965.409640692662,1.289396934264386,3.0,25.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,9,0.0118843219412444
34,161.96452194193773,89.31832046963723,5,161.96452194193773,3043.984813645413,1.129789480435695,2.0,4.0,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,10,0.0009725969719832845
15,0.0,0.0,0,0.0,0.0,0.5608261499849039,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,11,0.0
10,0.0,0.0,0,0.0,0.0,0.3416805260482752,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,12,0.0
0,0.0,0.0,0,0.0,0.0,0.5942126880319626,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,13,0.0
13,0.0,0.0,0,0.0,0.0,0.6842628880603717,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,14,0.0
1,0.0,0.0,0,0.0,0.0,0.7931639281609986,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,15,0.0
18,0.0,0.0,0,0.0,0.0,0.4972522498677898,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,16,0.0
22,0.0,0.0,0,0.0,0.0,0.4868740975598785,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,17,0.0
24,0.0,0.0,0,0.0,0.0,0.9601606399091124,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,18,0.0
25,0.0,0.0,0,0.0,0.0,0.3754103998247612,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,19,0.0
16,0.0,0.0,0,0.0,0.0,0.5061612920215731,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,20,0.0
19,0.0,0.0,0,0.0,0.0,0.9395945920183986,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,21,0.0
2,0.0,0.0,0,0.0,0.0,0.5585335768133675,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,22,0.0
21,0.0,0.0,0,0.0,0.0,0.3843953239109333,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,23,0.0
17,0.0,0.0,0,0.0,0.0,0.8955208866065769,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,24,0.0
3,0.0,0.0,0,0.0,0.0,0.4648244183820753,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,25,0.0
29,0.0,0.0,0,0.0,0.0,0.7122536603294003,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,26,0.0
28,0.0,0.0,0,0.0,0.0,0.6624510780333832,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,27,0.0
27,0.0,0.0,0,0.0,0.0,0.904466487618264,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,28,0.0
26,0.0,0.0,0,0.0,0.0,0.6694378811704416,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,29,0.0
30,0.0,0.0,0,0.0,0.0,0.2327201583963757,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,30,0.0
31,0.0,0.0,0,0.0,0.0,0.5387724704487311,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,31,0.0
32,0.0,0.0,0,0.0,0.0,0.2264527809269804,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,32,0.0
38,0.0,0.0,0,0.0,0.0,0.4299469061577824,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,33,0.0
37,0.0,0.0,0,0.0,0.0,0.39379857368997,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,34,0.0
36,0.0,0.0,0,0.0,0.0,0.3523850865115711,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,35,0.0
35,0.0,0.0,0,0.0,0.0,0.704770173023142,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,36,0.0
40,0.0,0.0,0,0.0,0.0,0.5012631912633151,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,37,0.0
39,0.0,0.0,0,0.0,0.0,0.5807976092350422,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,38,0.0
6,0.0,0.0,0,0.0,0.0,0.7281361091573191,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,39,0.0
9,0.0,0.0,0,0.0,0.0,0.9068256145893464,,,cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,80,40,0.0
7,35506.270519777725,389.9980152087468,254,35399.448702505244,65313.425681662964,1.566710608739026,5.0,78.0,cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,80,1,0.22485613410665023
