case_study,line,side,rank,bus,ptdf
Case Study 2,5,negative,4,NL0 18,-0.3084707242207042
Case Study 2,5,negative,5,NL0 30,-0.3023790445882057
Case Study 2,7,positive,1,NL0 12,0.3803812325533692
Case Study 2,7,positive,2,NL0 28,0.2739639157957148
Case Study 2,7,positive,3,NL0 31,0.2725526290146338
Case Study 2,7,positive,4,NL0 19,0.2464833070490367
Case Study 2,7,positive,5,NL0 14,0.2363562655801369
Case Study 2,7,negative,1,NL0 25,-0.4537525936635447
Case Study 2,7,negative,2,NL0 15,-0.0352616015248068
Case Study 2,7,negative,3,NL0 11,-0.0303503610013602
Case Study 2,7,negative,4,NL0 1,-0.025849813378019
Case Study 2,7,negative,5,NL0 13,-0.0218264469094695
Case Study 2,8,positive,1,NL0 12,0.3496049747419678
Case Study 2,8,positive,2,NL0 31,0.2745496521811292
Case Study 2,8,positive,3,NL0 25,0.267485291662774
Case Study 2,8,positive,4,NL0 19,0.2564038049304286
Case Study 2,8,positive,5,NL0 2,0.2338244393894302
Case Study 2,8,negative,1,NL0 28,-0.4684373273035843
Case Study 2,8,negative,2,NL0 14,-0.4041338693026059
Case Study 2,8,negative,3,NL0 26,-0.256817863375879
Case Study 2,8,negative,4,NL0 4,-0.0127270730427268
Case Study 2,8,negative,5,NL0 20,-0.0095536449227136
