scenario,case_study,design,run_id,total_new_capacity_mw,largest_node_mw,active_nodes,node_hhi,largest_zone_share,largest_node_share
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,43,436.00760290016854,436.0076028023508,1,0.9999999995513025,0.9999999997756512,0.9999999997756512
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,44,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,45,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,46,436.00760310598974,203.01555244462764,5,0.30070343546418105,0.9999999974717318,0.4656238813231802
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,47,436.0076028996306,436.0076028511212,1,0.9999999997774836,1.0,0.9999999998887418
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,48,436.00760275544786,348.72508664702656,2,0.6797771493531768,1.0,0.799814233612396
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,49,436.00760285276397,436.00760285112233,1,0.9999999999924696,0.9999999999962348,0.9999999999962348
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,50,436.0076028546474,436.007602851128,1,0.9999999999838562,0.9999999999919281,0.9999999999919281
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,51,436.00760285584937,436.0076028511313,1,0.999999999978358,0.999999999989179,0.999999999989179
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,52,436.00760285298526,436.0076028511638,1,0.9999999999916449,0.9999999999958225,0.9999999999958225
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,53,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,54,436.0076028926421,203.0155529544057,5,0.3007034370750815,0.9999999997163754,0.4656238827202151
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,55,436.0076028511194,436.0076028511194,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,56,436.00760301833964,436.00760285111977,1,0.9999999992329498,0.9999999996164749,0.9999999996164749
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,57,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,58,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,59,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,60,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,61,436.00760285268575,436.0076028513562,1,0.9999999999939011,0.9999999999969506,0.9999999999969506
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,62,436.00760287423265,436.00760285112045,1,0.9999999998939826,0.9999999999469913,0.9999999999469913
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,63,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,64,436.0076028511148,203.0155529545691,5,0.30070343720797654,1.0,0.46562388276493794
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,65,436.00760285112256,436.00760285112256,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,66,436.0076028511247,436.0076028511247,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,67,436.00760286139155,436.0076028511217,1,0.9999999999528915,0.9999999999764457,0.9999999999764457
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,68,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,69,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,70,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,71,436.0076028512544,436.0076028512544,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,72,436.0076028511208,436.0076028511208,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,73,436.00760287305013,436.00760285113086,1,0.9999999998994547,0.9999999999497273,0.9999999999497273
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,74,436.0076028511328,436.0076028511328,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,75,436.00760295864524,436.0076028511256,1,0.9999999995067994,0.9999999999178,0.9999999997533997
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,76,436.00760285112256,436.00760285112256,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,77,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,78,436.00760285112256,436.00760285112256,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,79,436.0076028511221,436.0076028511221,1,1.0,1.0,1.0
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,80,436.0076028511203,436.0076028511203,1,1.0,1.0,1.0
cs2_nl34_z3_sigma0,Case Study 2,Split,1,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,2,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,3,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,4,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,5,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,6,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,7,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,8,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,9,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,10,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
cs2_nl34_z3_sigma0,Case Study 2,Split,11,2400.1047541590283,1000.0,3,0.37498181629213523,1.0,0.4166484809744855
cs2_nl34_z3_sigma0,Case Study 2,Split,12,2400.1047541590287,1000.0,3,0.3749818162921351,1.0,0.41664848097448537
