case_study,overprocurement_min_mw,overprocurement_median_mw,overprocurement_max_mw
Case Study 1,66.45317236201663,66.45317236201663,66.45317236201663
Case Study 2,66.45317236195478,986.1438538327711,1925.6438538327748
