scenario,case_study,design,sigma,metric,min,max
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,grid_related_load_shedding_mwh,33093.64719859672,112097.2822388938
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,redispatch_cost_excluding_load_shedding,12967.753331577873,118245.65340816697
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,redispatch_cost_excluding_load_shedding,12967.75333149964,154845.2900143331
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,redispatch_cost_excluding_load_shedding,-8837506.282643788,-2251343.753032456
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,redispatch_cost_excluding_load_shedding,-7516612.678615575,-2074005.0381764844
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,redispatch_cost_excluding_load_shedding,-9231887.659048308,-2073099.449951265
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,redispatch_volume_mwh,45278.63116041866,204911.06117397817
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,redispatch_volume_mwh,31937.62904323764,168982.4884608812
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,redispatch_volume_mwh,72280.69836815991,332269.5636726776
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,redispatch_volume_mwh,62298.07084259047,310861.9999734619
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,redispatch_volume_mwh,60110.04199825576,327554.88077919104
cs2_nl34_z3_sigma0,Case Study 2,Split,0.0,upward_redispatch_mwh,22639.31558020933,102455.53058698909
cs2_nl34_z3_sigma25,Case Study 2,Split,0.25,upward_redispatch_mwh,15968.81452161882,84491.2442304406
cs2_nl34_z3_sigma50,Case Study 2,Split,0.5,upward_redispatch_mwh,19533.954623843994,112554.2692129597
cs2_nl34_z3_sigma75,Case Study 2,Split,0.75,upward_redispatch_mwh,12747.601320145266,102058.2567265021
cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,upward_redispatch_mwh,13508.197014010198,107750.54375377228
