run_id,line,total_overload_index,positive_overload_index,negative_overload_index,maximum_overload_mw,overloaded_run_hours,maximum_market_utilization,overload_during_shedding_index,shedding_associated_with_overload_mw,rd_volume,curtailment,scenario,case_study,design,sigma
1,0,0.0,0.0,0.0,0.0,0,0.8871381758708686,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,1,5170.588513768851,0.0,5170.588513768852,630.799749215606,22,1.2653380580917253,5170.588513768851,65823.69381707638,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,10,1168.601159388741,1168.6011593887415,0.0,371.5758847718489,5,1.1562987680665329,1168.601159388741,16291.228506287254,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,11,60310.660085651216,60310.660085651216,0.0,1416.7590867675776,105,3.0587089502720968,44560.48578550963,99381.9113716821,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,12,6194.083761013379,0.0,6194.083761013379,521.1690226097497,27,1.7573167107043015,6194.083761013379,69850.46680214317,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,13,0.0,0.0,0.0,0.0,0,0.9006454201157679,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,14,54625.09984954082,0.0,54625.09984954082,1281.5793563144966,88,2.8622777266587183,42729.44677305306,99381.9113716821,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,15,0.0,0.0,0.0,0.0,0,0.9935825144001555,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,16,0.0,0.0,0.0,0.0,0,0.4145604576486903,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,17,0.0,0.0,0.0,0.0,0,0.6723867114080244,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,18,0.0,0.0,0.0,0.0,0,0.3780782439534792,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,19,0.0,0.0,0.0,0.0,0,0.8404318978635013,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,2,348.12814096876855,0.0,348.12814096876855,199.0513355991725,5,1.083728465196958,348.12814096876855,13628.499765679157,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,20,330.0044627881489,0.0,330.00446278814934,143.85348138495965,4,1.0605101752939552,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,21,0.0,0.0,0.0,0.0,0,0.4612982829979445,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,22,0.0,0.0,0.0,0.0,0,0.1890591628235798,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,23,1726.776396027945,1726.7763960279453,0.0,291.05494628579925,15,1.422935295447192,1519.603186338993,10072.34064295995,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,24,52.43775971777393,0.0,52.43775971777393,52.43775971777393,1,1.0761979127372336,52.43775971777393,887.625458895513,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,25,0.0,0.0,0.0,0.0,0,0.3248862309515147,0.0,0.0,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
1,26,124056.94313765071,124056.94313765071,0.0,3869.590047758139,61,2.6276948590419784,119501.03718922396,99381.9113716821,25965884.44901178,5855627.337925776,nl34_z1_sigma0,Case Study 1,Country-wide,
