scenario,case_study,design,max_congestion_cost_including_load_shedding,max_downward_redispatch_mwh,max_grid_related_load_shedding_cost,max_grid_related_load_shedding_mwh,max_redispatch_cost_excluding_load_shedding,max_redispatch_volume_mwh,max_upward_redispatch_mwh,median_congestion_cost_including_load_shedding,median_downward_redispatch_mwh,median_grid_related_load_shedding_cost,median_grid_related_load_shedding_mwh,median_redispatch_cost_excluding_load_shedding,median_redispatch_volume_mwh,median_upward_redispatch_mwh,min_congestion_cost_including_load_shedding,min_downward_redispatch_mwh,min_grid_related_load_shedding_cost,min_grid_related_load_shedding_mwh,min_redispatch_cost_excluding_load_shedding,min_redispatch_volume_mwh,min_upward_redispatch_mwh,runs,zero_grid_load_shedding_runs,nonzero_grid_load_shedding_runs
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,7728772965.635486,242594.7114607297,7734712474.483683,112097.28223889395,-2622646.8763118,373135.62964980747,130540.91818907773,3035235353.2875495,111805.40217274363,3038330261.090823,44033.771899867,-3096679.3911682484,174525.78550237342,59322.27187811189,2377744877.675468,56187.78880382796,2380367524.55178,34498.08006596782,-7929888.46901481,71556.74799172691,15368.959187898952,80,0,80
cs2_nl34_z3_sigma0,Case Study 2,Split,118245.65340816697,102455.53058698909,0.0,0.0,118245.65340816697,204911.06117397817,102455.53058698909,15238.687413925072,64133.822133861366,0.0,0.0,15238.687413925072,128267.64426772273,64133.822133861366,12967.753331577873,22639.31558020933,0.0,0.0,12967.753331577873,45278.63116041866,22639.31558020933,80,80,0
nl34_z1_sigma0,Case Study 1,Country-wide,403786018591.1682,18239974.94197548,404038286316.87854,5855627.337925776,-109036812.4964698,30625174.49014393,12385199.548168452,232986687639.8655,11781060.509497872,233138768811.35107,3378822.7363963923,-152081171.4855709,21262332.239093475,9481271.729595602,158575104547.00714,8215513.294514772,158684901083.1319,2299781.1751178536,-253367540.50750256,14131229.854311598,5206568.102984271,80,0,80
nl34_z3_sigma0,Case Study 1,Split,6274615211.624876,1231540.8320138487,6278974384.339857,90999.62875854866,740989.6942561409,2372082.035269148,1140541.2032552992,81721.32594262506,77826.00859222235,0.0,0.0,0.0,153668.25972576934,75880.03218189866,-4.6566128730773926e-09,0.0,0.0,0.0,-4359172.714981146,0.0,0.0,80,50,30
