scenario,case_study,design,sigma,run_id,t,line,market_flow,final_flow,Fmax,market_overload,market_utilization,final_utilization,market_overloaded,binding_after_redispatch
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,1,-2781.7028246557256,-1566.5174798014118,2377.3436564367385,404.3591682189872,1.1700886479429136,0.6589360673876545,True,False
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,11,1829.7592895555867,688.1784268632663,688.1784268632663,1141.5808626923204,2.658844302771409,1.0,True,True
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,12,-976.3194924922408,-688.1784268632663,688.1784268632663,288.1410656289745,1.4187011018963909,1.0,True,True
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,14,-1781.401061449527,-688.1784268632663,688.1784268632663,1093.222634586261,2.5885744044160117,1.0,True,True
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,26,6246.9337041948775,2377.343656436736,2377.3436564367385,3869.590047758139,2.6276948590419784,0.999999999999999,True,True
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,27,-6493.922105689304,-2377.3436564367385,2377.3436564367385,4116.578449252565,2.731587453966443,1.0,True,True
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,34,2660.749714739733,538.8984601637555,688.1784268632663,1972.5712878764664,3.866366062748426,0.7830795606599695,True,False
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,4,-2916.869856790376,-812.1972749647499,2377.3436564367385,539.5262003536373,1.2269449765467657,0.3416406680480116,True,False
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,40,-2739.9835259229417,-1843.05088455938,2377.3436564367385,362.6398694862032,1.152539944531933,0.7752563999610478,True,False
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,7,994.0255733028472,25.594201496047365,688.1784268632663,305.847146439581,1.4444300118991518,0.0371912290431804,True,False
nl34_z1_sigma0,Case Study 1,Country-wide,,1,177,8,104.6236612814773,688.1784268632663,688.1784268632663,0.0,0.1520298474893414,1.0,False,True
nl34_z3_sigma0,Case Study 1,Split,0.0,78,177,34,722.1902251813627,525.2880542304858,688.1784268632663,34.01179831809645,1.0494229359573548,0.7633021230042931,True,False
nl34_z3_sigma0,Case Study 1,Split,0.0,78,177,8,-1255.245146806128,-688.1784268632663,688.1784268632663,567.0667199428618,1.824011183447824,1.0,True,True
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,11,1300.7957567142116,688.1784268632663,688.1784268632663,612.6173298509453,1.8902012994555348,1.0,True,True
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,12,-447.3559596508675,-688.1784268632663,688.1784268632663,0.0,0.6500580985805188,1.0,False,True
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,14,-1374.434632898002,-688.1784268632663,688.1784268632663,686.2562060347358,1.9972067987697728,1.0,True,True
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,24,-717.2004221601366,-542.4563598077023,688.1784268632663,29.021995296870276,1.0421721957038863,0.7882495856201586,True,False
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,26,5078.464424596171,2377.3436564367385,2377.3436564367385,2701.1207681594324,2.136192809502344,1.0,True,True
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,27,-4325.452826090597,-2321.5506241092303,2377.3436564367385,1948.1091696538588,1.8194478591175856,0.9765313558363988,True,False
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,34,2131.786181898358,688.1784268632663,688.1784268632663,1443.6077550350917,3.097723059432552,1.0,True,True
nl34_z3_sigma100,Case Study 1,Split,1.0,39,177,4,-2471.92644864296,-1032.9033329224978,2377.3436564367385,94.58279220622173,1.0397850735421172,0.4344779225022335,True,False
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177,11,839.818884380607,591.369324906804,688.1784268632663,151.64045751734068,1.220350495740649,0.8593255786908047,True,False
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177,12,-986.3790873172665,-688.1784268632663,688.1784268632663,298.2006604540002,1.4333188150247689,1.0,True,True
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177,14,-811.9876182607987,-688.1784268632663,688.1784268632663,123.80919139753246,1.1799085623213412,1.0,True,True
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,,78,177,23,713.7474059144927,606.697558221417,688.1784268632663,25.568979051226396,1.0371545780180444,0.881599211103956,True,False
