bus,zone,q_market_mw,q_final_mw,q_max_mw,redispatch_up_mw,redispatch_down_mw,upward_headroom_before_mw,upward_headroom_after_mw,downward_headroom_before_mw,controllable_generators,generators_at_final_limit,scenario,case_study,design,sigma,run_id,t
NL0 17,1,107.0,107.0,107.0,0.0,0.0,0.0,0.0,107.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 18,1,112.0,112.0,112.0,0.0,0.0,0.0,0.0,112.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 19,2,608.0,608.0,608.0,0.0,0.0,0.0,0.0,608.0,4,4,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 2,2,272.5,272.5,272.5,0.0,0.0,0.0,0.0,272.5,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 21,1,85.0,85.0,85.0,0.0,0.0,0.0,0.0,85.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 22,3,600.0,600.0,600.0,0.0,0.0,0.0,0.0,600.0,3,3,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 23,1,964.0,964.0,964.0,0.0,0.0,0.0,0.0,964.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 24,1,684.0,684.0,684.0,0.0,0.0,0.0,0.0,684.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 25,2,54.0,54.0,54.0,0.0,0.0,0.0,0.0,54.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 26,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 27,1,1077.2,1077.2,1077.2,0.0,0.0,0.0,0.0,1077.2,4,4,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 28,2,144.0,128.3041687892362,144.0,0.0,15.695831210763805,0.0,15.6958312107638,144.0,2,1,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 3,1,2037.0,2037.0,2037.0,0.0,0.0,0.0,0.0,2037.0,4,4,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 30,1,60.0,60.0,60.0,0.0,0.0,0.0,0.0,60.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 31,2,3274.546827638026,2917.4663726923645,3341.0,0.0,357.0804549456615,66.45317236197388,423.53362730763547,3274.546827638026,2,1,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 33,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 5,3,49.6,49.6,49.6,0.0,0.0,0.0,0.0,49.6,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 6,3,1608.4,1608.4,1608.4,0.0,0.0,0.0,0.0,1608.4,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 7,3,1952.0,1952.0,1952.0,0.0,0.0,0.0,0.0,1952.0,4,4,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 8,1,640.0,640.0,640.0,0.0,0.0,0.0,0.0,640.0,4,4,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
NL0 9,3,20.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,2,2,cs2_nl34_z3_sigma100,Case Study 2,Split,1.0,75,177
