scenario,case_study,design,total_new_capacity_min_mw,total_new_capacity_median_mw,total_new_capacity_max_mw,active_nodes_min,active_nodes_median,active_nodes_max,largest_node_share_min,largest_node_share_median,largest_node_share_max,node_hhi_min,node_hhi_median,node_hhi_max,largest_zone_share_min,largest_zone_share_median,largest_zone_share_max,nodes_receiving_investment
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,436.00760275544786,436.0076028511222,436.00760901061756,1,1.0,5,0.4656238813231802,1.0,1.0,0.30070343546418105,1.0,1.0,0.9999999838553891,1.0,1.0,9
cs2_nl34_z3_sigma0,Case Study 2,Split,2400.1047541589955,2400.1047541590287,2400.104758206672,3,3.0,7,0.3301667888621507,0.41664848097448537,0.41664848097449114,0.1977820876726767,0.3749818162921351,0.37498181629214083,0.999999998554378,1.0,1.0,8
nl34_z1_sigma0,Case Study 1,Country-wide,14634.507602850284,14634.507602851118,14634.507804750308,15,15.0,18,0.0683316455422849,0.0683316464849954,0.06833164651481588,0.06019935329428977,0.06724881980370948,0.06724881980520153,0.683316455422849,0.683316464849954,0.6833164648499929,18
nl34_z3_sigma0,Case Study 1,Split,14700.960775213134,14700.960775213134,14700.962667887983,16,16.0,30,0.0680227562365251,0.06802276499411325,0.06802276499411325,0.04078325611498154,0.064775585508698,0.064775585508698,0.4490554021298851,0.44905545994351226,0.4490554599435123,32
