scenario,case_study,sigma,zone,bus,new_capacity_min_mw,new_capacity_max_mw,material_investment_runs,runs
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 18,0.0,1000.0,18,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 20,0.0,1000.0,40,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 21,0.0,1000.0,18,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 23,0.0,1000.0,20,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 24,0.0,1000.0,39,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 27,0.0,1000.0,39,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 3,0.0,1000.0,39,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 30,0.0,1000.0,18,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 33,0.0,1000.0,34,80
nl34_z3_sigma75,Case Study 1,0.75,1,NL0 8,0.0,1000.0,39,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 12,0.0,1000.0,69,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 14,0.0,1000.0,50,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 15,0.0,1000.0,46,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 19,0.0,1000.0,48,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 2,0.0,1000.0,48,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 25,0.0,1000.0,49,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 26,0.0,1000.0,48,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 28,0.0,1000.0,46,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 31,0.0,1000.0,70,80
nl34_z3_sigma75,Case Study 1,0.75,2,NL0 4,0.0,1000.0,46,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 1,0.0,1000.0,48,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 11,0.0,1000.0,49,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 13,0.0,1000.0,76,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 22,0.0,1000.0,50,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 5,0.0,1000.0,77,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 6,0.0,1000.0,76,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 7,0.0,1000.0,47,80
nl34_z3_sigma75,Case Study 1,0.75,3,NL0 9,0.0,1000.0,76,80
