scenario,case_study,design,market_zone,procured_min_mw,procured_median_mw,procured_max_mw,price_min,price_median,price_max,cost_median
cs2_nl34_z1_sigma0,Case Study 2,Country-wide,1,16722.70760285112,16722.707602851122,16722.707602851122,4559.065804897382,5472.5808730146255,5472.580873017899,91516369.77237931
cs2_nl34_z3_sigma0,Case Study 2,Split,1,7227.746702524866,7227.746702524866,7227.746702524866,0.0,0.0,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,2,2560.309318529181,3480.0,4419.5,0.0,0.0,0.0,0.0
cs2_nl34_z3_sigma0,Case Study 2,Split,3,7001.104754159029,7001.104754159029,7001.104754159029,34087.40298961733,34087.402989712566,34087.402989712755,238649479.12821132
nl34_z1_sigma0,Case Study 1,Country-wide,1,16722.70760285112,16722.70760285112,16722.70760285112,53935.517593435725,53935.51759343587,53935.51759358695,901947890.1234603
nl34_z3_sigma0,Case Study 1,Split,1,7227.746702524866,7227.746702524866,7227.746702524866,59329.06935281876,59329.06935281876,59329.06935292875,428815485.3787049
nl34_z3_sigma0,Case Study 1,Split,2,2560.309318529239,2560.309318529239,2560.309318529239,48541.9658340839,48541.9658340839,48541.96583421495,124282447.46473296
nl34_z3_sigma0,Case Study 1,Split,3,7001.104754159029,7001.104754159029,7001.104754159029,53935.47888230523,53935.51759344085,53935.51759344085,377608208.6414667
