run_id,sys_avail,sys_req,sys_slack,zone,req_z,net_import,zone_avail,zone_offers,zone_slack,lambda_c_z,nu_c_z
1,298.2142857142857,275.0,23.214285714285722,1,18.214285714285715,-7.5,18.214285714285715,18.214285714285715,0.0,22.5,22.5
1,298.2142857142857,275.0,23.214285714285722,2,138.75,11.25,138.75,138.75,0.0,22.5,22.5
1,298.2142857142857,275.0,23.214285714285722,3,141.25000000000003,-3.75,141.25,141.25,-2.842170943040401e-14,22.5,22.5
2,298.2142857142857,275.0,23.214285714285722,1,3.2142857142857135,7.5,3.2142857142857144,3.2142857142857144,8.881784197001252e-16,22.5,22.5
2,298.2142857142857,275.0,23.214285714285722,2,161.25,-11.25,161.25,161.25,0.0,22.5,22.5
2,298.2142857142857,275.0,23.214285714285722,3,133.75000000000003,3.75,133.75,133.75,-2.842170943040401e-14,22.5,22.5
3,298.2142857142857,275.0,23.214285714285722,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,0.0,22.5,22.5
3,298.2142857142857,275.0,23.214285714285722,2,161.25,-11.25,161.25,161.25,0.0,22.5,22.5
3,298.2142857142857,275.0,23.214285714285722,3,126.25000000000003,11.25,126.25,126.25,-2.842170943040401e-14,22.5,22.5
4,298.2142857142857,275.0,23.214285714285722,1,10.714285714285714,0.0,10.714285714285714,10.714285714285714,0.0,22.5,22.5
4,298.2142857142857,275.0,23.214285714285722,2,138.75,11.25,138.75,138.75,0.0,22.5,22.5
4,298.2142857142857,275.0,23.214285714285722,3,148.75000000000003,-11.25,148.75,148.75,-2.842170943040401e-14,22.5,22.5
5,298.2142857142857,275.0,23.214285714285722,1,18.214285714285715,-7.5,18.214285714285715,18.214285714285715,0.0,22.5,22.5
5,298.2142857142857,275.0,23.214285714285722,2,153.75,-3.75,153.75,153.75,0.0,22.5,22.5
5,298.2142857142857,275.0,23.214285714285722,3,126.25000000000003,11.25,126.25,126.25,-2.842170943040401e-14,22.5,22.5
6,298.2142857142857,275.0,23.214285714285722,1,3.2142857142857135,7.5,3.2142857142857144,3.2142857142857144,8.881784197001252e-16,22.5,22.5
6,298.2142857142857,275.0,23.214285714285722,2,146.25,3.75,146.25,146.25,0.0,22.5,22.5
6,298.2142857142857,275.0,23.214285714285722,3,148.75000000000003,-11.25,148.75,148.75,-2.842170943040401e-14,22.5,22.5
