case_study,ptdf_type,runs,reached_target_gap,median_gap,median_solve_time_seconds,share_reaching_target
1,dense,420,13,0.5713688463729671,220.60799992084503,0.030952380952380953
1,sparse,60,59,0.0,3.1634998321533203,0.9833333333333333
2,dense,420,4,22.190235647285576,120.57449996471405,0.009523809523809525
2,sparse,60,54,0.0,0.21549987792968744,0.9
