run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,c_NL0 0 Invest,c_NL0 1 Invest,c_NL0 10 Invest,c_NL0 11 Invest,c_NL0 12 Invest,c_NL0 13 Invest,c_NL0 14 Invest,c_NL0 15 Invest,c_NL0 16 Invest,c_NL0 17 Invest,c_NL0 18 Invest,c_NL0 19 Invest,c_NL0 2 Invest,c_NL0 20 Invest,c_NL0 21 Invest,c_NL0 22 Invest,c_NL0 23 Invest,c_NL0 24 Invest,c_NL0 25 Invest,c_NL0 26 Invest,c_NL0 27 Invest,c_NL0 28 Invest,c_NL0 3 Invest,c_NL0 30 Invest,c_NL0 31 Invest,c_NL0 33 Invest,c_NL0 4 Invest,c_NL0 5 Invest,c_NL0 6 Invest,c_NL0 7 Invest,c_NL0 8 Invest,c_NL0 9 Invest,case_study,design,sigma,source,source_file,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,line_idx,direction,ptdf_nonzero,ptdf_density,finite_gap,target_gap_reached,time_limit_reached,density_class
11,ptdf_pos,TIME_LIMIT,120.37399983406068,10.637201726502234,436.0076028510134,2267910990.0726647,43.05303149294538,0.0,OPTIMAL,224227.04071870603,2813528538.8174314,40818.82961593477,91704.10555138564,132522.9351673204,-2970704.682067275,2816499243.499499,5472.580873011287,16722.707602851122,5472.580873011287,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028510134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,13,positive,33,0.9705882352941176,10.637201726502234,False,True,dense PTDF row
12,ptdf_neg,TIME_LIMIT,120.64800000190736,9.127319113126504,436.0076028511203,2267910990.072668,43.15731403493141,0.0,OPTIMAL,165006.70064484328,6492312823.795642,94203.67044859313,35401.515098125084,129605.1855467182,-7740437.157283196,6500053260.952925,4559.065804915283,16722.707602851122,4559.065804915283,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,13,negative,33,0.9705882352941176,9.127319113126504,False,True,dense PTDF row
13,ptdf_pos,TIME_LIMIT,120.37800002098083,10.637201726499327,436.0076028511212,2267910990.072667,43.05303149294538,0.0,OPTIMAL,138191.1599050839,2813457364.0599785,40818.82961592899,48686.16514457746,89504.99476050645,-3041879.4391216,2816499243.4991,5472.5808730146255,16722.707602851122,5472.5808730146255,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,14,positive,33,0.9705882352941176,10.637201726499327,False,True,dense PTDF row
14,ptdf_neg,TIME_LIMIT,120.44000005722046,8.805214889302217,436.0076028511212,2267910990.0726643,43.05303149294538,0.0,OPTIMAL,198746.76188753836,4899647098.96364,71069.94998895201,63838.40594929317,134908.35593824516,-4179450.274048791,4903826549.237689,5472.5808730146455,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,14,negative,33,0.9705882352941176,8.805214889302217,False,True,dense PTDF row
15,ptdf_pos,TIME_LIMIT,120.44199991226196,20.683128113728028,436.00760285112347,2267910990.072668,43.05303149294537,0.0,OPTIMAL,196102.7095108817,2813457203.177451,40818.82961592894,77641.93994747635,118460.76956340532,-3042040.3216456054,2816499243.499097,5472.580873014627,16722.707602851122,5472.580873014627,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.00760285112347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,15,positive,33,0.9705882352941176,20.683128113728028,False,True,dense PTDF row
16,ptdf_neg,TIME_LIMIT,120.58599996566772,3.6405505172740056,436.0076028511203,2267910990.072667,43.05303149294538,0.0,OPTIMAL,110717.1242966539,3035231498.9784923,44033.77189986714,33341.67619839338,77375.44809826052,-3098762.112340372,3038330261.0908327,5472.58087301482,16722.707602851122,5472.58087301482,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,15,negative,33,0.9705882352941176,3.6405505172740056,False,True,dense PTDF row
17,ptdf_pos,TIME_LIMIT,120.44599986076356,50.71737258673073,436.0076028511222,2267910990.0726657,43.05303149294538,0.0,OPTIMAL,153791.18294278765,2813548770.160937,40818.82961592893,56486.17666342936,97305.00627935828,-2950473.338159346,2816499243.4990964,5472.580872989789,16722.707602851122,5472.580872989789,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,16,positive,33,0.9705882352941176,50.71737258673073,False,True,dense PTDF row
18,ptdf_neg,TIME_LIMIT,120.35799980163574,161.322704440252,436.0076028511221,2267910990.072669,43.05303149294538,0.0,OPTIMAL,257825.9127557189,6531670406.407479,94726.83637661186,81549.53818955354,176276.37456616538,-4481303.578739186,6536151709.986218,5472.580873014678,16722.707602851122,5472.580873014678,16722.70760285112,0.0,0.0,0.0,0.0,0.0,354.1563578909687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.8512449601534,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,16,negative,33,0.9705882352941176,161.322704440252,False,True,dense PTDF row
19,ptdf_pos,TIME_LIMIT,120.66700005531312,5.914602095551516,436.0076028511203,2267910990.072667,43.05303149294537,0.0,OPTIMAL,156012.99467234453,3035232015.493627,44033.77189986714,55989.6113862387,100023.38328610582,-3098245.597205596,3038330261.0908327,5472.580873014651,16722.707602851122,0.0,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511203,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,17,positive,33,0.9705882352941176,5.914602095551516,False,True,dense PTDF row
20,ptdf_neg,TIME_LIMIT,120.92300009727478,80.97732007908238,436.0076028511276,2267910990.072668,43.15731403493141,0.0,OPTIMAL,216526.6114500313,2813517364.3996983,40818.82961592903,87853.89091705116,128672.72053298017,-2981879.0994041124,2816499243.4991026,4559.065804908531,16722.707602851122,4559.065804908531,16722.70760285112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436.0076028511276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,z1,0.0,original,summary_runs_cs2_nl34_z1_sigma0.csv,,,,,,,,,,,17,negative,33,0.9705882352941176,80.97732007908238,False,True,dense PTDF row
