run_id,sys_avail,sys_req,sys_slack,zone,req_z,net_import,zone_avail,zone_offers,zone_slack,lambda_c_z,nu_c_z
1,16789.16077521318,16722.707602851122,66.45317236205665,1,7266.200000000314,-38.45329747544747,7266.2,7266.2,-3.1377567211166024e-10,5975.333557227215,5975.333557227234
1,16789.16077521318,16722.707602851122,66.45317236205665,2,4899.19967749053,-2338.890358961291,4899.199677490817,4899.199677490817,2.864908310584724e-10,5975.333557227215,5975.333557227215
1,16789.16077521318,16722.707602851122,66.45317236205665,3,4623.76109772229,2377.3436564367385,4623.761097723392,4623.761097723384,1.101398083847016e-9,11368.885316584405,11368.885316584405
2,16789.160775213128,16722.707602851122,66.45317236200572,1,7266.200000000001,-38.45329747513483,7266.2,7266.2,-9.094947017729282e-13,5975.333557227193,5975.333557227193
2,16789.160775213128,16722.707602851122,66.45317236200572,2,4899.199677490843,-2338.890358961604,4899.199677490847,4899.199677490847,3.637978807091713e-12,5975.333557227193,5975.333557227193
2,16789.160775213128,16722.707602851122,66.45317236200572,3,4623.76109772229,2377.3436564367385,4623.761097722221,4623.761097722222,-6.912159733474255e-11,11368.885316584294,11368.885316584294
3,16789.16077516407,16722.707602851122,66.45317231294757,1,7266.200000049058,-38.453297524191385,7266.2,7266.2,-4.905814421363175e-8,5975.333557227064,5975.333557227064
3,16789.16077516407,16722.707602851122,66.45317231294757,2,4899.199677441786,-2338.890358912547,4899.199677441786,4899.199677441787,0.0,5975.333557227064,5975.333557227064
3,16789.16077516407,16722.707602851122,66.45317231294757,3,4623.76109772229,2377.3436564367385,4623.7610973275605,4623.761097722279,-3.947297955164686e-7,11368.885316584192,11368.885316584281
4,16789.160775213193,16722.707602851122,66.4531723620712,1,7266.200000001134,-38.453297476267835,7266.2,7266.2,-1.1341398931108415e-9,5975.333557227144,5975.333557227144
4,16789.160775213193,16722.707602851122,66.4531723620712,2,4899.19967748971,-2338.8903589604706,4899.199677490911,4899.199677490912,1.2014425010420382e-9,5975.333557227144,5975.333557227144
4,16789.160775213193,16722.707602851122,66.4531723620712,3,4623.76109772229,2377.3436564367385,4623.761097729539,4623.761097729526,7.248672773130238e-9,11368.885316584263,11368.885316584263
5,16789.16077521304,16722.707602851122,66.4531723619184,1,7266.200000000115,-38.45329747524943,7266.2,7266.2,-1.1550582712516189e-10,5975.3335572271335,5975.33355722711
5,16789.16077521304,16722.707602851122,66.4531723619184,2,4899.199677490728,-2338.8903589614893,4899.199677490786,4899.199677490784,5.729816621169448e-11,5975.3335572271335,5975.333557227142
5,16789.16077521304,16722.707602851122,66.4531723619184,3,4623.76109772229,2377.3436564367385,4623.7610977223585,4623.761097722356,6.821210263296962e-11,11368.885316584285,11368.885316584285
6,16789.16077521303,16722.707602851122,66.45317236190749,1,7266.200000000001,-38.453297475134605,7266.2,7266.2,-9.094947017729282e-13,5975.333557225582,5975.333557138936
6,16789.16077521303,16722.707602851122,66.45317236190749,2,4899.199677490843,-2338.890358961604,4899.199677490844,4899.199677490845,9.094947017729282e-13,5975.333557225582,5975.333557139147
6,16789.16077521303,16722.707602851122,66.45317236190749,3,4623.76109772229,2377.3436564367385,4623.761097722284,4623.761097722284,-6.366462912410498e-12,11368.88531658279,11368.885316582535
7,16789.160775213,16722.707602851122,66.45317236187839,1,7266.200000000065,-38.453297475199406,7266.2,7266.2,-6.548361852765083e-11,5975.333557227057,5975.333557227057
7,16789.160775213,16722.707602851122,66.45317236187839,2,4899.199677490778,-2338.8903589615393,4899.199677490731,4899.199677490731,-4.729372449219227e-11,5975.333557227057,5975.333557227057
7,16789.160775213,16722.707602851122,66.45317236187839,3,4623.76109772229,2377.3436564367385,4623.761097722261,4623.76109772226,-2.9103830456733704e-11,11368.885316584252,11368.885316584252
8,16789.16077521287,16722.707602851122,66.45317236174742,1,7266.200000000489,-38.45329747562323,7266.2,7266.2,-4.893081495538354e-10,5975.3335572271735,5975.333557226872
8,16789.16077521287,16722.707602851122,66.45317236174742,2,4899.199677490355,-2338.8903589611155,4899.199677490674,4899.199677490672,3.192326403222978e-10,5975.3335572271735,5975.3335572271735
8,16789.16077521287,16722.707602851122,66.45317236174742,3,4623.76109772229,2377.3436564367385,4623.761097722358,4623.761097722356,6.730260793119669e-11,11368.885316584214,11368.885316584303
9,16789.16077521306,16722.707602851122,66.4531723619366,1,7266.200000000035,-38.45329747516939,7266.2,7266.2,-3.54702933691442e-11,5975.333557227128,5975.33355714155
9,16789.16077521306,16722.707602851122,66.4531723619366,2,4899.199677490808,-2338.8903589615693,4899.19967749085,4899.19967749085,4.18367562815547e-11,5975.333557227128,5975.333557227128
9,16789.16077521306,16722.707602851122,66.4531723619366,3,4623.76109772229,2377.3436564367385,4623.7610977222785,4623.7610977222785,-1.1823431123048067e-11,11368.885316584325,11368.885316584325
10,16789.160775213117,16722.707602851122,66.4531723619948,1,7266.200000000016,-38.45329747515052,7266.2,7266.2,-1.6370904631912708e-11,5975.3335572042915,5975.3335572042915
10,16789.160775213117,16722.707602851122,66.4531723619948,2,4899.1996774908275,-2338.890358961588,4899.1996774908275,4899.1996774908275,0.0,5975.3335572042915,5975.3335572042915
10,16789.160775213117,16722.707602851122,66.4531723619948,3,4623.76109772229,2377.3436564367385,4623.76109772229,4623.76109772229,0.0,11368.885316584241,11368.885316584241
11,16789.160775213048,16722.707602851122,66.45317236192568,1,7266.200000000064,-38.45329747519827,7266.2,7266.2,-6.45741238258779e-11,5975.333557227107,5975.333557227107
11,16789.160775213048,16722.707602851122,66.45317236192568,2,4899.199677490779,-2338.89035896154,4899.199677490766,4899.199677490766,-1.3642420526593924e-11,5975.333557227107,5975.333557227107
11,16789.160775213048,16722.707602851122,66.45317236192568,3,4623.76109772229,2377.3436564367385,4623.761097722258,4623.7610977222585,-3.2741809263825417e-11,11368.8853165843,11368.8853165843
12,16789.160775213124,16722.707602851122,66.45317236200208,1,7266.200000000001,-38.453297475134605,7266.2,7266.2,-9.094947017729282e-13,5975.333557227182,5975.333557225694
12,16789.160775213124,16722.707602851122,66.45317236200208,2,4899.199677490843,-2338.890358961604,4899.199677490841,4899.199677490842,-1.8189894035458565e-12,5975.3335572249,5975.333557225362
12,16789.160775213124,16722.707602851122,66.45317236200208,3,4623.76109772229,2377.3436564367385,4623.7610977245995,4623.761097724592,2.309207047801465e-9,11368.885316582677,11368.885316582942
13,16789.16077521313,16722.707602851122,66.45317236200935,1,7266.200000000001,-38.45329747513438,7266.2,7266.2,-9.094947017729282e-13,5975.33355722711,5975.33355722711
13,16789.16077521313,16722.707602851122,66.45317236200935,2,4899.199677490843,-2338.890358961604,4899.199677490862,4899.199677490861,1.9099388737231493e-11,5975.33355722711,5975.33355722711
13,16789.16077521313,16722.707602851122,66.45317236200935,3,4623.76109772229,2377.3436564367385,4623.76109772222,4623.761097722284,-7.003109203651547e-11,11368.885316583772,11368.885316583772
14,16789.160775213106,16722.707602851122,66.45317236198389,1,7266.200000000021,-38.453297475154386,7266.2,7266.2,-2.091837814077735e-11,5975.333557227125,5975.333557227125
14,16789.160775213106,16722.707602851122,66.45317236198389,2,4899.199677490823,-2338.890358961584,4899.199677490801,4899.199677490801,-2.1827872842550278e-11,5975.333557227125,5975.333557227125
14,16789.160775213106,16722.707602851122,66.45317236198389,3,4623.76109772229,2377.3436564367385,4623.761097722325,4623.761097722323,3.456079866737127e-11,11368.885316584248,11368.885316584248
15,16789.160775213288,16722.707602851122,66.45317236216579,1,7266.20000000018,-38.453297475314,7266.2,7266.2,-1.800799509510398e-10,5975.333557227112,5975.333557227112
15,16789.160775213288,16722.707602851122,66.45317236216579,2,4899.199677490664,-2338.8903589614247,4899.199677491003,4899.199677491003,3.3924152376130223e-10,5975.333557227112,5975.333557227112
15,16789.160775213288,16722.707602851122,66.45317236216579,3,4623.76109772229,2377.3436564367385,4623.761097722236,4623.761097722237,-5.4569682106375694e-11,11368.885316584214,11368.885316584214
16,16789.160775213262,16722.707602851122,66.45317236214032,1,7266.200000000201,-38.45329747533492,7266.2,7266.2,-2.0099832909181714e-10,5975.333557227006,5975.333557227006
16,16789.160775213262,16722.707602851122,66.45317236214032,2,4899.199677490643,-2338.8903589614038,4899.1996774909785,4899.1996774909785,3.356035449542105e-10,5975.333557227006,5975.333557227006
16,16789.160775213262,16722.707602851122,66.45317236214032,3,4623.76109772229,2377.3436564367385,4623.761097722284,4623.761097722284,-6.366462912410498e-12,11368.88531658416,11368.88531658416
17,16789.1607752131,16722.707602851122,66.45317236197661,1,7266.199999999938,-38.453297475072304,7266.2,7266.2,6.184563972055912e-11,5975.333557227163,5975.333557227251
17,16789.1607752131,16722.707602851122,66.45317236197661,2,4899.199677490906,-2338.890358961666,4899.199677490896,4899.199677490897,-1.000444171950221e-11,5975.33355722699,5975.333557227205
17,16789.1607752131,16722.707602851122,66.45317236197661,3,4623.76109772229,2377.3436564367385,4623.761097722269,4623.761097722284,-2.091837814077735e-11,11368.885316584214,11368.885316584214
18,16789.160775213175,16722.707602851122,66.45317236205301,1,7266.199999999961,-38.45329747509459,7266.2,7266.2,3.9108272176235914e-11,5975.333557227096,5975.333557227096
18,16789.160775213175,16722.707602851122,66.45317236205301,2,4899.199677490883,-2338.890358961644,4899.199677490891,4899.199677490892,8.185452315956354e-12,5975.333557227096,5975.333557225775
18,16789.160775213175,16722.707602851122,66.45317236205301,3,4623.76109772229,2377.3436564367385,4623.761097722301,4623.761097722301,1.0913936421275139e-11,11368.885316584347,11368.885316584347
19,16789.16077521302,16722.707602851122,66.45317236189658,1,7266.200000000042,-38.45329747517553,7266.2,7266.2,-4.18367562815547e-11,5975.333557227168,5975.333557227168
19,16789.16077521302,16722.707602851122,66.45317236189658,2,4899.199677490802,-2338.890358961563,4899.199677490795,4899.199677490796,-7.275957614183426e-12,5975.333557227168,5975.333557227168
19,16789.16077521302,16722.707602851122,66.45317236189658,3,4623.76109772229,2377.3436564367385,4623.761097723104,4623.7610977231,8.139977580867708e-10,11368.885316584368,11368.885316584368
20,16789.16077521294,16722.707602851122,66.45317236181654,1,7266.200000000173,-38.453297475306044,7266.2,7266.2,-1.7280399333685637e-10,5975.333557226077,5975.333557226077
20,16789.16077521294,16722.707602851122,66.45317236181654,2,4899.199677490671,-2338.8903589614324,4899.199677490645,4899.199677490645,-2.637534635141492e-11,5975.333557226077,5975.333557226077
20,16789.16077521294,16722.707602851122,66.45317236181654,3,4623.76109772229,2377.3436564367385,4623.761097722292,4623.761097722291,1.8189894035458565e-12,11368.885316571077,11368.885316571077
21,16789.16077521307,16722.707602851122,66.45317236194751,1,7266.200000000078,-38.453297475212366,7266.2,7266.2,-7.821654435247183e-11,5975.3335572266315,5975.333557226705
21,16789.16077521307,16722.707602851122,66.45317236194751,2,4899.199677490766,-2338.890358961526,4899.199677490829,4899.199677490828,6.366462912410498e-11,5975.333557226634,5975.33355722665
