run_id,t,node,demand,ls,curtailment
1,1,NL0 1,88.88888888888889,0.0,5.0
1,2,NL0 1,133.33333333333331,0.0,55.000000000000014
1,3,NL0 1,155.55555555555554,0.0,130.0
2,3,NL0 1,155.55555555555554,0.0,26.1111111111111
3,1,NL0 1,88.88888888888889,0.0,5.0
3,2,NL0 1,133.33333333333331,0.0,55.000000000000014
3,3,NL0 1,155.55555555555554,0.0,130.0
4,3,NL0 1,155.55555555555554,0.0,26.1111111111111
5,1,NL0 1,88.88888888888889,0.0,5.0
5,2,NL0 1,133.33333333333331,0.0,55.000000000000014
5,3,NL0 1,155.55555555555554,0.0,130.0
6,3,NL0 1,155.55555555555554,0.0,26.111111111111086
7,3,NL0 1,155.55555555555554,0.0,26.1111111111111
