run_id,generator,bus,tech,zone,cap_max,c,vc,fc,mu_cap_up,mu_cm_bud_total,lambda_c_sys,energy_rent,cm_rent,total_rent,fixed_cost,profit
1,NL0 0 coal,NL0 0,coal,1,200.0,110.0,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,1272.1488101027396,-1272.1488101027396
1,NL0 1 coal,NL0 1,coal,2,200.0,85.55555555555556,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,989.449074524353,-989.449074524353
1,NL0 10 coal,NL0 10,coal,3,200.0,79.44444444444444,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,918.7741406297564,-918.7741406297564
2,NL0 0 coal,NL0 0,coal,1,200.0,6.111111111111111,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,70.67493389459665,-70.67493389459665
2,NL0 1 coal,NL0 1,coal,2,200.0,85.55555555555556,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,989.449074524353,-989.449074524353
2,NL0 10 coal,NL0 10,coal,3,200.0,183.33333333333334,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,2120.2480168378993,-2120.2480168378993
3,NL0 0 coal,NL0 0,coal,1,200.0,110.0,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,1272.1488101027396,-1272.1488101027396
3,NL0 1 coal,NL0 1,coal,2,200.0,85.55555555555556,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,989.449074524353,-989.449074524353
3,NL0 10 coal,NL0 10,coal,3,200.0,79.44444444444444,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,918.7741406297564,-918.7741406297564
4,NL0 0 coal,NL0 0,coal,1,200.0,6.111111111111111,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,70.67493389459665,-70.67493389459665
4,NL0 1 coal,NL0 1,coal,2,200.0,85.55555555555556,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,989.449074524353,-989.449074524353
4,NL0 10 coal,NL0 10,coal,3,200.0,183.33333333333334,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,2120.2480168378993,-2120.2480168378993
5,NL0 0 coal,NL0 0,coal,1,200.0,110.0,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,1272.1488101027396,-1272.1488101027396
5,NL0 1 coal,NL0 1,coal,2,200.0,85.55555555555556,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,989.449074524353,-989.449074524353
5,NL0 10 coal,NL0 10,coal,3,200.0,79.44444444444444,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,918.7741406297564,-918.7741406297564
6,NL0 0 coal,NL0 0,coal,1,200.0,6.111111111111111,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,70.67493389459665,-70.67493389459665
6,NL0 1 coal,NL0 1,coal,2,200.0,189.44444444444446,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,2190.9229507324962,-2190.9229507324962
6,NL0 10 coal,NL0 10,coal,3,200.0,79.44444444444444,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,918.7741406297564,-918.7741406297564
7,NL0 0 coal,NL0 0,coal,1,200.0,6.111111111111111,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,70.67493389459665,-70.67493389459665
7,NL0 1 coal,NL0 1,coal,2,200.0,85.55555555555556,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,989.449074524353,-989.449074524353
7,NL0 10 coal,NL0 10,coal,3,200.0,183.33333333333334,5.0,11.564989182752178,0.0,0.0,11.564989182752178,0.0,0.0,0.0,2120.2480168378993,-2120.2480168378993
