name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,country,substation_lv,substation_off
NL0 0,380.0,,4.21880684,51.42343326,AC,,,1.0,0.0,inf,Slack,,0,NL,1.0,1.0
NL0 1,380.0,,6.50555851,52.11553596,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 2,380.0,,4.850579076,52.3545737,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 3,380.0,,6.754783997999999,53.217513245999996,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 4,380.0,,5.53256486,51.44676101,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 5,380.0,,4.18800434,52.048779535,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 6,380.0,,4.7373049400000005,51.80943340666666,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 7,380.0,,5.91831504,51.14840834,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 8,380.0,,5.78848683,51.78267223,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
NL0 9,380.0,,5.88545821,52.84978110166667,AC,,,1.0,0.0,inf,PQ,,0,NL,1.0,1.0
