snapshot,NL0 0,NL0 1,NL0 2,NL0 3,NL0 4,NL0 5,NL0 6,NL0 7,NL0 8,NL0 9
2013-01-01 00:00:00,721.7220001220703,697.6703872680664,2224.256134033203,908.2979354858398,771.3768920898438,1722.6731185913086,987.5874328613281,775.1224822998047,942.1893844604492,849.1042251586914
2013-01-01 01:00:00,684.3422470092773,661.5363235473633,2109.0564575195312,861.2549591064453,731.4253921508789,1633.4516525268555,936.4378509521484,734.9769821166992,893.3910827636719,805.1270446777344
2013-01-01 02:00:00,648.1199722290039,626.5211715698242,1997.4239807128906,815.6686782836914,692.7110061645508,1546.9929809570312,886.8721389770508,696.0746154785156,846.1038436889648,762.5116195678711
2013-01-01 03:00:00,625.5831832885742,604.7354202270508,1927.9684295654297,787.3058013916016,668.6236724853516,1493.2000732421875,856.033317565918,671.8703155517578,816.6826477050781,735.9971313476562
2013-01-01 04:00:00,621.293701171875,600.5888900756836,1914.748794555664,781.9074172973633,664.0390701293945,1482.9615325927734,850.163703918457,667.2634582519531,811.0828399658203,730.950569152832
2013-01-01 05:00:00,632.7323150634766,611.6463088989258,1950.0011596679688,796.303092956543,676.2646713256836,1510.2642822265625,865.8160247802734,679.5484161376953,826.0156555175781,744.4080810546875
2013-01-01 06:00:00,653.8392791748047,632.0498809814453,2015.0501556396484,822.8665161132812,698.8238067626953,1560.6443405151367,894.6983032226562,702.2170944213867,853.5702514648438,769.2403793334961
2013-01-01 07:00:00,678.3505935668945,655.7443466186523,2090.5909271240234,853.7143783569336,725.0215072631836,1619.1502227783203,928.239013671875,728.5420074462891,885.5691375732422,798.077880859375
2013-01-01 08:00:00,706.1981658935547,682.6638870239258,2176.413642883301,888.7609558105469,754.7850189208984,1685.619400024414,966.3449783325195,758.4500350952148,921.9234237670898,830.8404769897461
2013-01-01 09:00:00,757.1272277832031,731.8957290649414,2333.370590209961,952.8559494018555,809.2180252075195,1807.1816177368164,1036.0351028442383,813.1473541259766,988.4099960327148,890.7583999633789
2013-01-01 10:00:00,799.0007247924805,772.3737716674805,2462.419403076172,1005.5543594360352,853.9724426269531,1907.129165649414,1093.3338088989258,858.1190872192383,1043.0747604370117,940.0224609375
2013-01-01 11:00:00,816.4990768432617,789.2889862060547,2516.347122192383,1027.5763092041016,872.674690246582,1948.8958587646484,1117.2781448364258,876.9121475219727,1065.9184036254883,960.609245300293
2013-01-01 12:00:00,814.592643737793,787.4460830688477,2510.471748352051,1025.1770324707031,870.637092590332,1944.3453979492188,1114.6694259643555,874.8646545410156,1063.4296035766602,958.3663101196289
2013-01-01 13:00:00,805.2647247314453,778.4290237426758,2481.724281311035,1013.4377059936523,860.6674118041992,1922.080665588379,1101.9053268432617,864.846565246582,1051.2522506713867,947.3920516967773
2013-01-01 14:00:00,795.7325439453125,769.2145156860352,2452.3473052978516,1001.4413223266602,850.4794158935547,1899.3283767700195,1088.861717224121,854.6090927124023,1038.808235168457,936.1774749755859
2013-01-01 15:00:00,816.4309921264648,789.2231750488281,2516.13729095459,1027.490623474121,872.601921081543,1948.7333450317383,1117.1849899291992,876.8390274047852,1065.8295211791992,960.5291213989258
2013-01-01 16:00:00,924.2126770019531,893.4130020141602,2848.306869506836,1163.1354904174805,987.7990570068359,2205.996696472168,1264.670913696289,992.5955200195312,1206.5357208251953,1087.3340377807617
2013-01-01 17:00:00,946.4090347290039,914.8696594238281,2916.7132415771484,1191.069938659668,1011.5225296020508,2258.9770278930664,1295.0438766479492,1016.434196472168,1235.5124969482422,1113.447998046875
2013-01-01 18:00:00,935.8555526733398,904.6678771972656,2884.1887435913086,1177.788215637207,1000.2429656982422,2233.786994934082,1280.6027526855469,1005.099853515625,1221.7351989746094,1101.0318603515625
2013-01-01 19:00:00,907.5313720703125,877.2876052856445,2796.8971786499023,1142.1418075561523,969.9700622558594,2166.180206298828,1241.8446044921875,974.6799545288086,1184.7587127685547,1067.7085266113281
2013-01-01 20:00:00,863.8876190185547,835.0982894897461,2662.3926315307617,1087.2154998779297,923.3235931396484,2062.007225036621,1182.1235046386719,927.8069839477539,1127.7829132080078,1016.3617401123047
2013-01-01 21:00:00,814.3202896118164,787.1828155517578,2509.632392883301,1024.8342819213867,870.3460083007812,1943.6953430175781,1114.2967529296875,874.5721588134766,1063.0740661621094,958.0459060668945
2013-01-01 22:00:00,755.5612258911133,730.3819122314453,2328.544364929199,950.8851165771484,807.5442810058594,1803.4437408447266,1033.8922271728516,811.4654846191406,986.3656234741211,888.9160079956055
2013-01-01 23:00:00,694.3510360717773,671.2115631103516,2139.9022674560547,873.8511657714844,742.1227874755859,1657.3415603637695,950.1336364746094,745.7263259887695,906.4572982788086,816.9023590087891
2013-01-02 00:00:00,650.434928894043,628.7589797973633,2004.5583877563477,818.5820922851562,695.1852340698242,1552.5185241699219,890.0398712158203,698.5608520507812,849.1259613037109,765.2351531982422
2013-01-02 01:00:00,630.7577896118164,609.7375946044922,1943.9159240722656,793.8181228637695,674.154296875,1505.5513076782227,863.1141357421875,677.4277954101562,823.4379653930664,742.0850524902344
2013-01-02 02:00:00,625.106575012207,604.2746963500977,1926.4995956420898,786.7059707641602,668.1142730712891,1492.0624542236328,855.3811416625977,671.3584442138672,816.0604476928711,735.4364166259766
2013-01-02 03:00:00,630.6897048950195,609.6717681884766,1943.7060928344727,793.7324447631836,674.0815277099609,1505.3887939453125,863.0209732055664,677.3546752929688,823.3490753173828,742.0049591064453
2013-01-02 04:00:00,661.7373657226562,639.6847610473633,2039.3910751342773,832.8063812255859,707.2652893066406,1579.4962310791016,905.5058670043945,710.6995620727539,863.8810043334961,778.5324478149414
2013-01-02 05:00:00,747.3227005004883,722.4179382324219,2303.154281616211,940.5168075561523,798.7389450073242,1783.7792739868164,1022.6188278198242,802.6173934936523,975.6104431152344,879.2234039306641
2013-01-02 06:00:00,866.3387451171875,837.4677352905273,2669.9467010498047,1090.3002853393555,925.943359375,2067.8578186035156,1185.4775848388672,930.4394760131836,1130.9828033447266,1019.245491027832
2013-01-02 07:00:00,979.4312210083008,946.7913665771484,3018.4834518432617,1232.6288528442383,1046.816665649414,2337.79744720459,1340.2306671142578,1051.8997039794922,1278.6221008300781,1152.2985229492188
2013-01-02 08:00:00,1034.9901962280273,1000.4988250732422,3189.709197998047,1302.5506591796875,1106.198127746582,2470.4107666015625,1416.2562713623047,1111.5695114135742,1351.1529083251953,1217.6635284423828
2013-01-02 09:00:00,1068.0804748535156,1032.4863586425781,3291.689254760742,1344.1952590942383,1141.5650329589844,2549.3937072753906,1461.5362167358398,1147.1081466674805,1394.3514022827148,1256.5941543579102
2013-01-02 10:00:00,1079.4509963989258,1043.4779510498047,3326.731773376465,1358.505241394043,1153.7178573608398,2576.5339431762695,1477.0953750610352,1159.3199844360352,1409.1953353881836,1269.971549987793
2013-01-02 11:00:00,1081.3574295043945,1045.3208618164062,3332.6071701049805,1360.9045181274414,1155.7554550170898,2581.0843963623047,1479.7040939331055,1161.3674774169922,1411.6841278076172,1272.214469909668
2013-01-02 12:00:00,1080.4723052978516,1044.4652252197266,3329.87931060791,1359.7905654907227,1154.8094329833984,2578.9716873168945,1478.4929122924805,1160.4168548583984,1410.5286178588867,1271.1731185913086
2013-01-02 13:00:00,1077.2041244506836,1041.3059616088867,3319.807197570801,1355.6775207519531,1151.31640625,2571.1708984375,1474.0208129882812,1156.9068603515625,1406.262092590332,1267.3281173706055
2013-01-02 14:00:00,1072.8465576171875,1037.093605041504,3306.377731323242,1350.193458557129,1146.659034729004,2560.769844055176,1468.0580139160156,1152.2268753051758,1400.5734100341797,1262.2014541625977
2013-01-02 15:00:00,1099.4685668945312,1062.8284301757812,3388.4234008789062,1383.697654724121,1175.1126556396484,2624.313751220703,1504.4869537353516,1180.8186645507812,1435.327751159668,1293.5221786499023
2013-01-02 16:00:00,1171.708854675293,1132.6612854003906,3611.058853149414,1474.613136291504,1252.323112487793,2796.74356842041,1603.3388671875,1258.4040298461914,1529.6355743408203,1378.512710571289
2013-01-02 17:00:00,1122.2777099609375,1084.8774490356445,3458.718292236328,1412.4032974243164,1199.4910736083984,2678.756721496582,1535.6984405517578,1205.3154525756836,1465.1044921875,1320.357078552246
2013-01-02 18:00:00,1084.2170867919922,1048.0852127075195,3341.4202575683594,1364.5034255981445,1158.8118591308594,2587.9100952148438,1483.617172241211,1164.4387130737305,1415.417335510254,1275.5788345336914
2013-01-02 19:00:00,1029.1347198486328,994.8384857177734,3171.6633529663086,1295.1814422607422,1099.9397888183594,2456.434371948242,1408.2437591552734,1105.2807846069336,1343.5087280273438,1210.7745742797852
2013-01-02 20:00:00,966.9032211303711,934.6808624267578,2979.8737258911133,1216.862174987793,1033.4267272949219,2307.8944396972656,1323.0876388549805,1038.4447479248047,1262.2671127319336,1137.5593566894531
2013-01-02 21:00:00,894.7991027832031,864.9796447753906,2757.6579360961914,1126.118064880371,956.3618087768555,2135.7896575927734,1224.4220581054688,961.0056228637695,1168.137062072754,1052.7290344238281
2013-01-02 22:00:00,831.7505569458008,804.0322113037109,2563.350273132324,1046.770523071289,888.9754867553711,1985.2995147705078,1138.1479263305664,893.2920989990234,1085.8288192749023,978.5525741577148
2013-01-02 23:00:00,760.5315780639648,735.1866226196289,2343.8623657226562,957.1403732299805,812.8565979003906,1815.3074340820312,1040.6935348510742,816.803596496582,992.8542785644531,894.7636032104492
2013-01-03 00:00:00,707.2875595092773,683.7169799804688,2179.771011352539,890.131965637207,755.9493560791016,1688.2196731567383,967.8356781005859,759.6200332641602,923.3455963134766,832.1221466064453
2013-01-03 01:00:00,678.8952865600586,656.2708892822266,2092.2696228027344,854.3998794555664,725.6036834716797,1620.4503555297852,928.9843597412109,729.1270065307617,886.2802200317383,798.7187118530273
2013-01-03 02:00:00,670.1120681762695,647.7803726196289,2065.2008361816406,843.346061706543,716.2161712646484,1599.4857559204102,916.9656066894531,719.6939086914062,874.8139572143555,788.3852691650391
2013-01-03 03:00:00,672.2908477783203,649.8865432739258,2071.915573120117,846.0880966186523,718.5448532104492,1604.6862716674805,919.9469985961914,722.0339050292969,877.6582946777344,790.948600769043
2013-01-03 04:00:00,694.2148590087891,671.0799331665039,2139.4826049804688,873.6797866821289,741.9772491455078,1657.0165328979492,949.9473037719727,745.580078125,906.2795257568359,816.7421417236328
2013-01-03 05:00:00,777.4171524047852,751.5094833374023,2395.901565551758,978.39111328125,830.9039077758789,1855.6114807128906,1063.7993545532227,834.9385375976562,1014.8979644775391,914.6294403076172
2013-01-03 06:00:00,903.8546752929688,873.7334289550781,2785.5660552978516,1137.5146255493164,966.0404052734375,2157.4043197631836,1236.813491821289,970.7312164306641,1179.9588775634766,1063.3828964233398
2013-01-03 07:00:00,1017.4918441772461,983.583610534668,3135.781478881836,1280.5287170410156,1087.4958801269531,2428.644073486328,1392.3119277954102,1092.7764434814453,1328.3092575073242,1197.076759338379
2013-01-03 08:00:00,1075.842384338379,1039.989601135254,3315.6104888916016,1353.9637451171875,1149.8609771728516,2567.920570373535,1472.1574401855469,1155.4443664550781,1404.4843826293945,1265.7260360717773
2013-01-03 09:00:00,1101.9197006225586,1065.197883605957,3395.9774856567383,1386.7824401855469,1177.732421875,2630.164321899414,1507.8410186767578,1183.4511489868164,1438.5276412963867,1296.4059295654297
2013-01-03 10:00:00,1112.813621520996,1075.7287521362305,3429.5511627197266,1400.4925918579102,1189.375846862793,2656.166946411133,1522.7480010986328,1195.1511154174805,1452.749366760254,1309.2225952148438
2013-01-03 11:00:00,1103.2133560180664,1066.4484176635742,3399.9643630981445,1388.4105224609375,1179.1150817871094,2633.2521362304688,1509.6112213134766,1184.8405227661133,1440.2164764404297,1297.9279098510742
2013-01-03 12:00:00,1101.3750076293945,1064.6713409423828,3394.2987899780273,1386.0969314575195,1177.1502532958984,2628.8641967773438,1507.0956726074219,1182.8661575317383,1437.8165588378906,1295.7651062011719
2013-01-03 13:00:00,1093.7492599487305,1057.2997283935547,3370.7972259521484,1376.4998168945312,1168.999855041504,2610.662368774414,1496.660789489746,1174.6761779785156,1427.861343383789,1286.7934341430664
2013-01-03 14:00:00,1087.2809982299805,1051.0470123291016,3350.8628540039062,1368.3594055175781,1162.086570739746,2595.223320007324,1487.8097686767578,1167.7293319702148,1419.4171905517578,1279.1835327148438
2013-01-03 15:00:00,1113.9030075073242,1076.781837463379,3432.9085235595703,1401.8636016845703,1190.5401916503906,2658.7671966552734,1524.2387008666992,1196.3211135864258,1454.1715469360352,1310.504264831543
2013-01-03 16:00:00,1172.3216400146484,1133.253646850586,3612.9473724365234,1475.3843231201172,1252.9780578613281,2798.2062225341797,1604.1773834228516,1259.062156677246,1530.435546875,1379.2336502075195
2013-01-03 17:00:00,1131.673713684082,1093.9603271484375,3487.6755905151367,1424.2283020019531,1209.5335235595703,2701.183967590332,1548.5557098388672,1215.4066696166992,1477.370735168457,1331.4114532470703
2013-01-03 18:00:00,1098.6515274047852,1062.0386199951172,3385.905387878418,1382.6693878173828,1174.2393951416016,2622.3635482788086,1503.3689270019531,1179.941162109375,1434.2611236572266,1292.5609283447266
2013-01-03 19:00:00,1045.4075088500977,1010.5689697265625,3221.814033508301,1315.661003112793,1117.3321533203125,2495.275764465332,1430.5110702514648,1122.7575988769531,1364.7524337768555,1229.9194717407227
2013-01-03 20:00:00,972.4182662963867,940.0121231079102,2996.870391845703,1223.8029403686523,1039.3212127685547,2321.058265686035,1330.6343002319336,1044.3678512573242,1269.4668655395508,1144.0477905273438
2013-01-03 21:00:00,896.8417129516602,866.9541854858398,2763.9530029296875,1128.6887130737305,958.5449523925781,2140.665138244629,1227.2171249389648,963.1993713378906,1170.8036422729492,1055.1321563720703
2013-01-03 22:00:00,829.4356002807617,801.7943954467773,2556.2158737182617,1043.8571166992188,886.5012588500977,1979.7739639282227,1134.9801864624023,890.8058547973633,1082.8067016601562,975.8290252685547
2013-01-03 23:00:00,755.2888793945312,730.1186447143555,2327.705032348633,950.542366027832,807.2531967163086,1802.7936782836914,1033.5195541381836,811.1729888916016,986.0100784301758,888.5955963134766
2013-01-04 00:00:00,701.8405990600586,678.4515380859375,2162.984176635742,883.2769012451172,750.1276473999023,1675.218360900879,960.3821792602539,753.7700500488281,916.234733581543,825.7138061523438
2013-01-04 01:00:00,678.3505935668945,655.7443466186523,2090.5909271240234,853.7143783569336,725.0215072631836,1619.1502227783203,928.239013671875,728.5420074462891,885.5691375732422,798.077880859375
2013-01-04 02:00:00,668.7503280639648,646.4640121459961,2061.0041275024414,841.6323013305664,714.7607421875,1596.2354202270508,915.1022338867188,718.2314147949219,873.0362396240234,786.7831878662109
2013-01-04 03:00:00,671.1333694458008,648.7676391601562,2068.348373413086,844.6313934326172,717.3077392578125,1601.9234924316406,918.3631362915039,720.7907791137695,876.1472396850586,789.5868301391602
2013-01-04 04:00:00,698.3681640625,675.0948257446289,2152.282569885254,878.9067840576172,746.4163055419922,1666.9300231933594,955.6305847167969,750.0406875610352,911.7015533447266,821.6284942626953
2013-01-04 05:00:00,776.940544128418,751.0487518310547,2394.4327087402344,977.7912902832031,830.3945083618164,1854.473876953125,1063.1471786499023,834.4266586303711,1014.275764465332,914.0687103271484
2013-01-04 06:00:00,893.8458862304688,864.0581893920898,2754.720245361328,1124.9184341430664,955.3430099487305,2133.514419555664,1223.1177139282227,959.9818801879883,1166.8926696777344,1051.6075897216797
2013-01-04 07:00:00,1020.6238479614258,986.6112289428711,3145.4339141845703,1284.4703903198242,1090.8433685302734,2436.1198196411133,1396.5976867675781,1096.1401824951172,1332.3980102539062,1200.7615356445312
2013-01-04 08:00:00,1079.9956893920898,1044.004493713379,3328.4104537963867,1359.1907501220703,1154.300033569336,2577.834083557129,1477.840721130371,1159.9049758911133,1409.9064178466797,1270.6123809814453
2013-01-04 09:00:00,1107.1623992919922,1070.2658615112305,3412.1348190307617,1393.3804626464844,1183.335823059082,2642.678077697754,1515.0150146484375,1189.0817565917969,1445.3718490600586,1302.573959350586
2013-01-04 10:00:00,1118.4648361206055,1081.191650390625,3446.9675064086914,1407.604736328125,1195.415870666504,2669.6557998657227,1530.4810028076172,1201.2204666137695,1460.1268920898438,1315.8712463378906
2013-01-04 11:00:00,1111.7923126220703,1074.7414855957031,3426.403633117676,1399.2072677612305,1188.284278869629,2653.7291946411133,1521.350471496582,1194.0542449951172,1451.4160842895508,1308.0210342407227
2013-01-04 12:00:00,1110.0220489501953,1073.0302124023438,3420.947914123535,1396.9793548583984,1186.392219543457,2649.503761291504,1518.928092956543,1192.1529998779297,1449.1050491333008,1305.9383239746094
2013-01-04 13:00:00,1096.404655456543,1059.8666305541992,3378.980812072754,1379.841667175293,1171.8379364013672,2617.0005111694336,1500.2943649291992,1177.5280456542969,1431.327896118164,1289.9174880981445
2013-01-04 14:00:00,1088.9150848388672,1052.6266479492188,3355.8989028930664,1370.4159317016602,1163.8330841064453,2599.1237030029297,1490.0458145141602,1169.4843215942383,1421.5504608154297,1281.1060409545898
2013-01-04 15:00:00,1115.3328399658203,1078.1640167236328,3437.315071105957,1403.6630630493164,1192.0683898925781,2662.180061340332,1526.1952438354492,1197.8567276000977,1456.0381393432617,1312.1864547729492
