name,bus,control,type,p_nom,p_nom_mod,p_nom_extendable,p_nom_min,p_nom_max,p_nom_set,p_min_pu,p_max_pu,p_set,p_init,e_sum_min,e_sum_max,q_set,sign,carrier,marginal_cost,marginal_cost_quadratic,active,build_year,lifetime,capital_cost,overnight_cost,discount_rate,fom_cost,efficiency,committable,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,weight,p_nom_opt
NL0 2 biomass,NL0 2,PQ,,20.0,0.0,False,20.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 4 CCGT,NL0 4,PQ,,1191.0,0.0,True,1191.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,CCGT,57.18819694474584,0.0,True,0,inf,126431.64689898514,,,0.0,0.46568090924444017,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 4 waste,NL0 4,PQ,,150.0,0.0,False,150.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 5 CCGT,NL0 5,PQ,,1398.0,0.0,True,1398.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,CCGT,43.6729395310492,0.0,True,0,inf,126431.64689898516,,,0.0,0.5937768240343347,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 5 nuclear,NL0 5,PQ,,515.0,0.0,False,515.0,inf,,0.0,0.637,,,-inf,inf,0.0,1.0,nuclear,27.322803680981593,0.0,True,0,inf,947758.9752212986,,,0.0,0.326,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 5 waste,NL0 5,PQ,,39.0,0.0,False,39.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 6 CCGT,NL0 6,PQ,,1608.4,0.0,True,1608.4,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,CCGT,43.27286666666667,0.0,True,0,inf,126431.64689898514,,,0.0,0.6,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 8 CCGT,NL0 8,PQ,,547.0,0.0,True,547.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,CCGT,56.066089167664806,0.0,True,0,inf,126431.64689898514,,,0.0,0.45959780621572205,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 8 biomass,NL0 8,PQ,,536.0,0.0,False,536.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,biomass,19.979914529914527,0.0,True,0,inf,371372.75285668863,,,0.0,0.468,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 8 waste,NL0 8,PQ,,157.0,0.0,False,157.0,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,waste,34.1135,0.0,True,0,inf,1026674.8901905594,,,0.0,0.2165,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 9 CCGT,NL0 9,PQ,,49.6,0.0,True,49.6,inf,,0.0,1.0,,,-inf,inf,0.0,1.0,CCGT,43.27286666666667,0.0,True,0,inf,126431.64689898514,,,0.0,0.6,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 1 0 offwind-ac,NL0 1,PQ,,600.0,0.0,True,600.0,600.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,282141.64743231016,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 18 0 offwind-ac,NL0 18,PQ,,4583.0,0.0,True,4583.0,4583.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,277155.9775695738,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 19 0 offwind-ac,NL0 19,PQ,,608.0,0.0,True,608.0,1170.0737601551186,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,287981.15223317913,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 5 0 offwind-ac,NL0 5,PQ,,752.0,0.0,True,752.0,752.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,280154.9626587513,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 7 0 offwind-ac,NL0 7,PQ,,578.0,0.0,True,578.0,578.0,,0.0,1.0,,,-inf,inf,0.0,1.0,offwind-ac,0.015,0.0,True,0,30.0,277227.84117059154,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 0 0 solar,NL0 0,PQ,,109.3,0.0,True,109.3,4918.639982631583,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 1 0 solar,NL0 1,PQ,,1229.5,0.0,True,1229.5,9873.745481791757,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 10 0 solar,NL0 10,PQ,,436.4,0.0,True,436.4,7469.920283220107,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 11 0 solar,NL0 11,PQ,,866.5,0.0,True,866.5,11266.469016092522,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 12 0 solar,NL0 12,PQ,,473.2,0.0,True,473.2,8048.308891450761,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 13 0 solar,NL0 13,PQ,,84.5,0.0,True,84.5,3447.766885929043,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
NL0 14 0 solar,NL0 14,PQ,,291.5,0.0,True,291.5,5956.048319696379,,0.0,1.0,,,-inf,inf,0.0,1.0,solar,0.01,0.0,True,0,40.0,36897.489084132285,,,0.0,1.0,False,0.0,0.0,0.0,0,0,1,0,,,,,1.0,0.0
