Line,NL0 0,NL0 1,NL0 10,NL0 11,NL0 12,NL0 13,NL0 14,NL0 15,NL0 16,NL0 17,NL0 18,NL0 19,NL0 2,NL0 3,NL0 4,NL0 5,NL0 6,NL0 7,NL0 8,NL0 9
18,0.0,0.23468149620541986,0.36002926911651073,0.23150795384470266,0.561993321299843,-0.019946368379263682,0.4666644164508548,0.04330641370098755,0.22032830721184976,-0.005537051779350155,0.054765820677495816,-0.010870418693582346,0.6470132376959612,0.24366323977021645,0.07444537875852511,-0.02943322295050656,-0.22552344017726964,0.20251011714200778,-0.029433222950506557,-0.12574450103437657
19,0.0,0.49133411978279923,0.5747735334768236,0.42492504744039733,0.39338462566152965,0.017914326515452755,0.4790018716360242,-0.038894560678991025,0.19098143566020476,0.004972963078901534,-0.04918653736102439,0.009762991745352704,0.3170261370546539,0.6792847409998659,-0.06686123495208508,0.026434705120840476,0.2025481765604956,-0.1818793422534037,0.026434705120840476,0.11293424478183954
2,0.0,-0.3559790550826195,-0.2976749875128934,-0.35745519162607364,-0.20373374331141128,-0.009277822674840194,-0.24807488141528275,-0.250437155409817,-0.36265527502244854,-0.0025754956277467224,-0.5810548461829023,-0.005056249595047737,-0.16418771201616258,-0.35180130089094924,-0.43051103280958797,-0.013690523412157953,-0.10489962118416858,-0.3709432001580565,-0.013690523412157953,-0.05848860107015989
20,0.0,-0.765318503794576,-0.6399707308834859,-0.7684920461552933,-0.4380066787001546,-0.01994636837926358,-0.5333355835491421,0.04330641370098826,-0.7796716927881464,-0.005537051779350126,0.054765820677496725,-0.01087041869358229,-0.352986762304037,-0.7563367602297797,0.07444537875852635,-0.029433222950506408,-0.22552344017726852,-0.7974898828579888,-0.029433222950506408,-0.12574450103437593
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
23,0.0,0.23468149620541986,0.36002926911651073,0.23150795384470266,0.5619933212998429,-0.019946368379263682,0.4666644164508548,0.04330641370098755,0.22032830721184976,-0.005537051779350155,0.054765820677495816,-0.010870418693582346,0.6470132376959611,0.24366323977021645,0.07444537875852511,-0.02943322295050656,0.7744765598227303,0.20251011714200778,-0.029433222950506557,-0.12574450103437657
24,0.0,-0.23468149620541995,-0.36002926911651073,-0.23150795384470274,-0.561993321299843,0.019946368379263658,-0.4666644164508548,-0.04330641370098755,-0.22032830721184982,0.005537051779350148,-0.054765820677495816,0.010870418693582334,-0.6470132376959612,-0.24366323977021648,-0.07444537875852511,0.029433222950506526,-0.7744765598227304,-0.2025101171420078,0.029433222950506526,-0.8742554989656235
3,0.0,-0.2091113757351617,-0.32080166944214167,-0.20628361206510862,-0.500760385761802,-0.5860710205971826,-0.4158182034312044,-0.03858788994272834,-0.19632206279331368,-0.16269154994634583,-0.04879871779542469,-0.31939836149269374,-0.576516812961835,-0.21711449819561782,-0.0663340562465736,-0.8648170276450381,-0.6900921526314446,-0.18044528384456415,-0.8648170276450382,-0.7789995082216016
4,0.0,0.5594819538154735,0.0251620322171661,-0.2533419991003935,0.01722131595857895,0.0007842408090782959,0.02096940764353148,-0.0017026987706921146,-0.15873978350369183,0.00021770288629885826,-0.0021532537001878425,0.000427397398322268,0.013878547653368194,0.029737250485903168,-0.0029270042024504795,0.00115723996176086,0.008867011870422077,-0.00796218615309976,0.00115723996176086,0.004943956080289059
5,0.0,0.4405180461845256,-0.025162032217166643,0.2533419991003927,-0.017221315958579318,-0.0007842408090783129,-0.02096940764353193,0.0017026987706919932,0.1587397835036911,-0.00021770288629886295,0.0021532537001876886,-0.0004273973983222772,-0.013878547653368491,-0.029737250485903814,0.0029270042024502705,-0.0011572399617608851,-0.008867011870422268,0.007962186153099193,-0.0011572399617608851,-0.004943956080289166
6,0.0,0.23468149620541986,0.36002926911651084,0.23150795384470266,-0.4380066787001569,-0.019946368379263692,-0.533335583549145,0.04330641370098755,0.22032830721184976,-0.0055370517793501585,0.054765820677495816,-0.010870418693582353,-0.3529867623040389,0.24366323977021648,0.07444537875852511,-0.029433222950506578,-0.22552344017726977,0.20251011714200778,-0.029433222950506578,-0.12574450103437665
7,0.0,-0.23468149620542025,0.6399707308834888,-0.23150795384470305,0.4380066787001565,0.01994636837926367,0.5333355835491446,-0.04330641370098761,-0.2203283072118501,0.0055370517793501516,-0.0547658206774959,0.01087041869358234,0.35298676230403864,-0.24366323977021684,-0.07444537875852522,0.029433222950506543,0.22552344017726958,-0.2025101171420081,0.029433222950506543,0.1257445010343765
8,0.0,0.2739843840117779,0.06519719740666316,0.34356699871489704,0.04462205303862554,0.0020320418638108515,0.05433371191311866,-0.0044118530219970096,-0.41130974287205724,0.000564088700448599,-0.005579283316472046,0.0011074269482296009,0.03596062524938364,0.07705201922991484,-0.0075841438064408765,0.00299851782966597,0.02297526361677329,-0.020630774888606436,0.00299851782966597,0.012810256252536558
9,0.0,0.2854975698036958,-0.040035165189496916,0.4030910021847096,-0.02740073708004649,-0.001247801054732551,-0.03336430426958706,0.0027091542513049275,0.25256995936836557,-0.00034638581414973954,0.003426029616284244,-0.0006800295499073305,-0.022082077596015368,-0.0473147687440115,0.0046571396039904525,-0.0018412778679051038,-0.014108251746351165,0.012668588735506825,-0.0018412778679051038,-0.007866300172247473
