Line,NL0 0,NL0 1,NL0 10,NL0 11,NL0 12,NL0 13,NL0 14,NL0 15,NL0 16,NL0 17,NL0 18,NL0 19,NL0 2,NL0 20,NL0 21,NL0 22,NL0 23,NL0 24,NL0 25,NL0 26,NL0 27,NL0 28,NL0 29,NL0 3,NL0 30,NL0 31,NL0 32,NL0 33,NL0 4,NL0 5,NL0 6,NL0 7,NL0 8,NL0 9
0,0.0,-0.38909631948488355,-0.23644692208229942,-0.32587942293118277,-0.25085356780241236,-0.4456104957866323,-0.2457122210190736,-0.2568937327207623,-0.7207057781048615,-0.39415072523027767,-0.650311651518203,-0.2527993863898176,-0.25327078979870543,-0.21147073990973664,-0.6381142892991898,-0.6824400848678813,-0.6668430354559206,-0.14988646669367098,-0.2525680313231003,-0.24263661345820117,-0.32509410813981204,-0.247054724166467,-0.6668430354559207,-0.6835519224051416,-0.655669789203514,-0.2524205442901312,-0.6668430354559207,-0.6668430354559207,-0.23754057874313175,-0.6307300016587201,-0.5715776955784642,-0.6824400848678814,-0.7098089316702711,-0.4960131575184708
1,0.0,-0.6109036805151157,-0.7635530779177001,-0.6741205770688169,-0.7491464321975879,-0.5543895042133667,-0.7542877789809267,-0.7431062672792377,-0.27929422189513836,-0.6058492747697218,-0.3496883484817963,-0.7472006136101826,-0.7467292102012949,-0.7885292600902633,-0.36188571070080966,-0.31755991513211856,-0.33315696454407917,-0.8501135333063287,-0.7474319686769001,-0.7573633865417989,-0.6749058918601875,-0.7529452758335334,-0.3331569645440792,-0.3164480775948584,-0.34433021079648535,-0.7475794557098691,-0.3331569645440792,-0.3331569645440792,-0.7624594212568683,-0.36926999834127977,-0.4284223044215355,-0.31755991513211856,-0.2901910683297289,-0.5039868424815285
10,0.0,0.41360743407326106,0.015441453450728183,0.31151433071760337,0.1903501673439469,0.5048758758471007,0.18204706995774733,0.200104824957841,-0.05085474964301472,-0.00614857682363174,-0.0412176242610923,0.19349259712119113,0.19425389733631493,0.1267482612448466,-0.03954777601191134,-0.11265252187785253,-0.043480810516388156,0.027291788161104693,0.19311896668335146,0.177080070030333,0.0033054402886191596,0.18421516614807043,-0.043480810516388156,-0.045768297361242744,-0.04195116620827987,0.1928807802217978,-0.04348081051638816,-0.04348081051638816,0.16885015006854479,-0.19616251932162132,-0.2916914495222216,-0.1126525218778525,-0.049362945135313,-0.4137255672146027
11,0.0,0.04419931528181615,-0.0011638989119848967,0.05189457870348705,0.34960497474196883,0.037319960276919965,0.5958661306973952,0.06029206556910717,0.003833174640434089,0.0004634487224999456,0.003106776715363545,0.2564038049304295,0.2338244393894311,-0.009553644922713156,0.002980911972993059,0.008491179153851993,0.0032773642852813234,-0.0020571173981899405,0.26748529166277496,-0.25681786337587814,-0.00024914742435547303,0.5315626726964169,0.003277364285281324,0.0034497835111269737,0.0031620674091412536,0.27454965218113014,0.0032773642852813242,0.003277364285281324,-0.012727073042726227,0.014785741739868715,0.02198623088283382,0.008491179153851993,0.0037207299376767564,0.031184547431235762
12,0.0,-0.04419931528181558,0.0011638989119850446,-0.0518945787034864,-0.3496049747419678,-0.03731996027691948,0.4041338693026059,-0.060292065569106414,-0.003833174640433992,-0.00046344872249981484,-0.0031067767153634416,-0.2564038049304286,-0.23382443938943015,0.009553644922713697,-0.0029809119729929546,-0.00849117915385184,-0.003277364285281222,0.0020571173981900974,-0.26748529166277396,0.2568178633758791,0.00024914742435561116,-0.5315626726964157,-0.003277364285281222,-0.0034497835111268744,-0.003162067409141151,-0.27454965218112914,-0.0032773642852812223,-0.0032773642852812223,0.012727073042726932,-0.014785741739868486,-0.021986230882833503,-0.00849117915385184,-0.0037207299376766593,-0.031184547431235346
13,0.0,0.018349501903796906,-0.00048319674558581344,0.0215442177021265,-0.2700137927046626,0.015493513367450275,-0.1677776037224684,0.02503046404430002,0.0015913559953081007,0.00019240237459793746,0.0012897893302136348,-0.49711288802053405,-0.5521310116936152,-0.0039662294445011355,0.0012375361377145577,0.0035251430266655774,0.0013606093625831894,-0.0008540195560439006,-0.1862673020007702,-0.10661884336664135,-0.00010343443350622305,-0.19447341150786898,0.0013606093625831896,0.001432189813382788,0.0013127434570879423,-0.45289771880423646,0.0013606093625831896,0.0013606093625831896,-0.005283689340847088,0.00613835292413204,0.009127661432525705,0.0035251430266655774,0.001544674179669965,0.012946375046989029
14,0.0,0.025849813378018765,-0.0006807021663992066,0.03035036100135999,-0.38038123255336964,0.021826446909469284,-0.23635626558013736,0.03526160152480649,0.0022418186451259084,0.00027104634790189907,0.001816987385149824,-0.24648330704903706,-0.2140445489169543,-0.005587415478212472,0.0017433758352784147,0.00496603612718629,0.0019167549226980487,-0.0012030978421461707,-0.5462474063364559,-0.15019902000923763,-0.00014571299084936536,-0.2739639157957153,0.0019167549226980487,0.0020175936977441028,0.001849323952053226,-0.2725526290146342,0.001916754922698049,0.0019167549226980492,-0.0074433837018797275,0.008647388815736486,0.012858569450307855,0.00496603612718629,0.0021760557580067104,0.018238172384246392
15,0.0,0.5421932506449221,-0.014277554538743365,0.6365910905789092,0.46004485791408456,0.45780416387597844,0.2220867993448577,0.7396031094730517,0.04702157500258049,0.0056851281011317005,0.03811084754572864,0.5501035979483793,0.5719216632742539,-0.11719461632213364,0.03656686403891816,0.10416134272400022,0.04020344623110672,-0.025234670762914822,0.5393957416538738,0.07973779334554523,-0.003056292864263772,0.2842221611555131,0.040203446231106714,0.04231851385011565,0.0387890987991385,0.5325695675970721,0.04020344623110672,0.04020344623110672,-0.1561230770258188,0.18137677758175216,0.26970521863938707,0.10416134272400025,0.045642215197636116,0.382541019783366
16,0.0,0.02140323765503493,-0.19298316896722392,-0.01254367611375425,-0.05283189608865489,0.05175084998997326,-0.05559275379322731,-0.049588381003122135,0.19947458108336402,-0.3495435127648958,-0.4748894698777133,-0.05178700873420777,-0.05153386927712869,-0.07398012599753762,-0.5917381758123984,0.17892624259421927,-0.31652155509851554,-0.10705033548818271,-0.05191124435677041,-0.05724432782402271,-0.28098760290492436,-0.05487184148871111,-0.31652155509851554,-0.1564531909253194,-0.4235594000227325,-0.05199044358772222,-0.3165215550985156,-0.3165215550985156,-0.0599808533490975,0.15115838571774087,0.11939412104799871,0.17892624259421927,0.09508460054592595,0.07881663310817348
17,0.0,-0.4136074340732612,-0.01544145345072825,-0.3115143307176035,-0.19035016734394694,-0.5048758758471009,-0.18204706995774741,-0.20010482495784104,0.05085474964301453,0.006148576823631636,0.04121762426109215,-0.19349259712119124,-0.19425389733631504,-0.1267482612448467,0.03954777601191117,-0.887347478122148,0.04348081051638801,-0.027291788161104738,-0.19311896668335155,-0.17708007003033308,-0.003305440288619245,-0.18421516614807049,0.043480810516388003,0.045768297361242584,0.041951166208279725,-0.1928807802217979,0.04348081051638801,0.04348081051638801,-0.16885015006854487,-0.8038374806783791,-0.7083085504777791,-0.8873474781221481,0.049362945135312836,-0.5862744327853976
