name,bus,carrier,p_nom,marginal_cost
NL0 0 CCGT,NL0 0,CCGT,1000,48.01673062576757
NL0 1 CCGT,NL0 1,CCGT,1000,48.01673062576757
NL0 10 CCGT,NL0 10,CCGT,1000,48.01673062576757
NL0 11 CCGT,NL0 11,CCGT,1000,48.01673062576757
NL0 12 CCGT,NL0 12,CCGT,1000,48.01673062576757
NL0 13 CCGT,NL0 13,CCGT,1000,48.01673062576757
NL0 14 CCGT,NL0 14,CCGT,1000,48.01673062576757
NL0 15 CCGT,NL0 15,CCGT,1000,48.01673062576757
NL0 16 CCGT,NL0 16,CCGT,1000,48.01673062576757
NL0 17 CCGT,NL0 17,CCGT,1000,48.01673062576757
NL0 18 CCGT,NL0 18,CCGT,1000,48.01673062576757
NL0 2 CCGT,NL0 2,CCGT,1000,48.01673062576757
NL0 3 CCGT,NL0 3,CCGT,1000,48.01673062576757
NL0 4 CCGT,NL0 4,CCGT,1000,48.01673062576757
NL0 5 CCGT,NL0 5,CCGT,1000,48.01673062576757
NL0 6 CCGT,NL0 6,CCGT,1000,48.01673062576757
NL0 7 CCGT,NL0 7,CCGT,1000,48.01673062576757
NL0 8 CCGT,NL0 8,CCGT,1000,48.01673062576757
NL0 9 CCGT,NL0 9,CCGT,1000,48.01673062576757
