name,bus,p_nom,carrier,marginal_cost
NL0 0 CCGT,NL0 0,353.0,CCGT,43.27286666666667
NL0 1 CCGT,NL0 1,4136.5,CCGT,78.59724995982143
NL0 1 biomass,NL0 1,49.0,biomass,19.979914529914527
NL0 1 coal,NL0 1,1600.0,coal,22.97802808988764
NL0 1 waste,NL0 1,36.0,waste,34.1135
NL0 10 CCGT,NL0 10,72.0,CCGT,43.27286666666667
NL0 10 biomass,NL0 10,20.0,biomass,19.979914529914527
NL0 10 waste,NL0 10,50.0,waste,34.1135
NL0 11 waste,NL0 11,54.0,waste,34.1135
NL0 12 CCGT,NL0 12,50.0,CCGT,43.27286666666667
NL0 12 biomass,NL0 12,77.0,biomass,19.979914529914527
NL0 13 CCGT,NL0 13,1907.0,CCGT,51.41762846054192
NL0 13 biomass,NL0 13,22.0,biomass,19.979914529914527
NL0 13 waste,NL0 13,108.0,waste,34.1135
NL0 14 biomass,NL0 14,71.0,biomass,19.979914529914527
NL0 14 waste,NL0 14,31.0,waste,34.1135
NL0 15 CCGT,NL0 15,575.0,CCGT,43.272866666666665
NL0 16 CCGT,NL0 16,144.0,CCGT,43.27286666666667
NL0 17 CCGT,NL0 17,112.0,CCGT,43.27286666666667
NL0 17 biomass,NL0 17,60.0,biomass,19.979914529914527
NL0 18 CCGT,NL0 18,1091.0,CCGT,43.27286666666667
NL0 18 biomass,NL0 18,22.0,biomass,19.979914529914527
NL0 18 waste,NL0 18,71.2,waste,34.1135
NL0 19 CCGT,NL0 19,964.0,CCGT,43.8530553226903
NL0 19 coal,NL0 19,3106.0,coal,22.97802808988764
NL0 2 biomass,NL0 2,20.0,biomass,19.979914529914527
NL0 4 CCGT,NL0 4,1191.0,CCGT,57.18819694474584
NL0 4 waste,NL0 4,150.0,waste,34.1135
NL0 5 CCGT,NL0 5,1398.0,CCGT,43.6729395310492
NL0 5 nuclear,NL0 5,515.0,nuclear,27.322803680981593
NL0 5 waste,NL0 5,39.0,waste,34.1135
NL0 6 CCGT,NL0 6,1608.4,CCGT,43.27286666666667
NL0 8 CCGT,NL0 8,547.0,CCGT,56.066089167664806
NL0 8 biomass,NL0 8,536.0,biomass,19.979914529914527
NL0 8 waste,NL0 8,157.0,waste,34.1135
NL0 9 CCGT,NL0 9,49.6,CCGT,43.27286666666667
