tech,fixed_om_eur_MW_hour
coal,3.854996394250726
CCGT,2.3746951708869513
OCGT,0.9281073059360729
nuclear,14.464150062266501
solar,0.1
onwind,3.3554387640099628
offwind-ac, 4.709961178047599
waste, -0.1
biomass, -0.1
