line_idx,name,bus0,bus1,x,s_nom
0,0,NL0 0,NL0 6,6.874548630159409,2377.3436564367385
1,1,NL0 1,NL0 8,7.567404351127332,2377.3436564367385
2,10,NL0 5,NL0 6,2.8362443092001874,4754.687312873477
3,11,NL0 7,NL0 8,8.7450554613687,2377.3436564367385
4,2,NL0 1,NL0 9,11.29255042086315,2377.3436564367385
5,3,NL0 2,NL0 5,6.952542392021886,2377.3436564367385
6,4,NL0 2,NL0 6,7.51640874103394,2377.3436564367385
7,5,NL0 2,NL0 9,10.94378309945346,2377.3436564367385
8,7,NL0 3,NL0 9,3.3180292075604205,3753.700510163271
9,8,NL0 4,NL0 6,5.585332534150312,3566.015484655108
10,9,NL0 4,NL0 7,5.247236349394107,2377.3436564367385
