snapshot,NL0 0 0 offwind-ac,NL0 2 0 offwind-ac,NL0 3 0 offwind-ac,NL0 5 0 offwind-ac,NL0 9 0 offwind-ac,NL0 0 0 onwind,NL0 1 0 onwind,NL0 2 0 onwind,NL0 3 0 onwind,NL0 4 0 onwind,NL0 5 0 onwind,NL0 6 0 onwind,NL0 7 0 onwind,NL0 8 0 onwind,NL0 9 0 onwind,NL0 0 0 solar,NL0 1 0 solar,NL0 2 0 solar,NL0 3 0 solar,NL0 4 0 solar,NL0 5 0 solar,NL0 6 0 solar,NL0 7 0 solar,NL0 8 0 solar,NL0 9 0 solar
2013-01-01 00:00:00,0.8855,0.8855,0.8855,0.8854999999999998,0.8855000000000002,0.9988997608079669,0.9974128336320249,0.9979414514233328,0.9992418620828312,0.9984591342014921,0.9979418089606912,0.99856549209992,0.9979078024574333,0.9978470465534389,0.9985802485948068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 01:00:00,0.8855,0.8855,0.8855,0.8854999999999998,0.8855000000000002,0.997506209344872,0.9962211277551327,0.9863393548204583,0.9843031230609497,0.9978372624997189,0.9901285243935765,0.9943016824871361,0.9978251173918271,0.9955526598722818,0.984691567671006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 02:00:00,0.8855,0.8855,0.8855,0.8854999999999998,0.8844571485993383,0.9760746850969908,0.9869668668777559,0.935219793016976,0.9648963118164625,0.9949699114036642,0.9706605893444332,0.9806291781085807,0.9962655551779946,0.9859092426552886,0.9498045072154112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 03:00:00,0.8855,0.8728218613887422,0.8850875714955302,0.8854999999999998,0.8680209241923478,0.8708144808798781,0.9524092538982248,0.7403309092916709,0.9225801108000665,0.9575697988182739,0.8658196519955643,0.892630212161836,0.9832638973402266,0.935761174123785,0.8518181182525841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 04:00:00,0.8648078683930797,0.5443607165487447,0.8296735303731974,0.6639679965784957,0.6278445603031101,0.7111869099564797,0.8436074497016844,0.4818022040790698,0.7300880065779323,0.8614072632034359,0.6401572491731148,0.752050112566422,0.9348010190837281,0.8311588919937926,0.5910943660267816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 05:00:00,0.6592937320627226,0.3615852109451472,0.5711862202056693,0.4058700105481944,0.4208592513377719,0.5523761301720875,0.7686621271977413,0.3195346824003409,0.5358332503305528,0.8075185488333398,0.4391436592439905,0.6504067763434717,0.9064068784841076,0.7472208896361635,0.4175461020016194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 06:00:00,0.6158552767136558,0.42933949188329945,0.401971095506702,0.44566225230538264,0.3535368515297546,0.4202126548588507,0.658794148622094,0.26113866353691056,0.3361198821131308,0.7406424932443209,0.2939347543085293,0.5361238758407721,0.8673983393358224,0.6534966687289296,0.28381694401679547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 07:00:00,0.8229927020315456,0.7393169035514312,0.3798083955851338,0.7759710283358582,0.3868056306640462,0.3316697429373591,0.5993581504061046,0.32444161926845866,0.24454167295733403,0.6986411626149129,0.2818505676614998,0.4744721650288295,0.809658688618654,0.5856650922080668,0.24944737058344868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-01 08:00:00,0.8735556412443164,0.8779161941332676,0.441396442725613,0.8786149168514281,0.48367432269676885,0.3845262777766562,0.5020029606222246,0.4748807975857582,0.21467300413397822,0.6015286173046893,0.49098906438630235,0.34083929532669494,0.7169037912782801,0.46077012348798596,0.26490104298671097,0.0,0.026290479343473297,0.0,0.0,0.023232262256935993,0.0,0.0,0.04258405759874329,0.013498387041707853,0.0
2013-01-01 09:00:00,0.8732570499546901,0.8746911215312174,0.46911705816923505,0.8568795337925859,0.5376363226349864,0.49378746830165593,0.39332751168805186,0.5368004195597548,0.21925508500431334,0.4743308406111796,0.5424701457235563,0.3660200912569956,0.6253566048970446,0.3681273033405668,0.3343427482398651,0.07399636004118634,0.03792671596901467,0.0928223632705942,0.04371787834804292,0.025001335049511984,0.09095957626342943,0.09941051585920975,0.052852727289922304,0.04509740222274869,0.09935788422220246
