snapshot,NL0 1 0 offwind-ac,NL0 18 0 offwind-ac,NL0 19 0 offwind-ac,NL0 5 0 offwind-ac,NL0 7 0 offwind-ac,NL0 0 0 solar,NL0 1 0 solar,NL0 10 0 solar,NL0 11 0 solar,NL0 12 0 solar,NL0 13 0 solar,NL0 14 0 solar,NL0 15 0 solar,NL0 16 0 solar,NL0 17 0 solar,NL0 18 0 solar,NL0 19 0 solar,NL0 2 0 solar,NL0 3 0 solar,NL0 4 0 solar,NL0 5 0 solar,NL0 6 0 solar,NL0 7 0 solar,NL0 8 0 solar,NL0 9 0 solar,NL0 0 0 onwind,NL0 1 0 onwind,NL0 10 0 onwind,NL0 11 0 onwind,NL0 12 0 onwind,NL0 13 0 onwind,NL0 14 0 onwind,NL0 15 0 onwind,NL0 16 0 onwind,NL0 17 0 onwind,NL0 18 0 onwind,NL0 19 0 onwind,NL0 2 0 onwind,NL0 3 0 onwind,NL0 4 0 onwind,NL0 5 0 onwind,NL0 6 0 onwind,NL0 7 0 onwind,NL0 8 0 onwind,NL0 9 0 onwind
2013-01-01 00:00:00,0.8855000000000002,0.8855000000000002,0.8855000000000002,0.8855,0.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9974508845431719,0.9997623652567258,0.9974800410539556,0.9988650344237161,0.9981953339885091,0.9979993724247787,0.997320484924908,0.9974651004313675,0.9986433250267862,0.9975377871524972,0.9979142792928226,0.9983680183926743,0.9973055998574029,0.9981878582257931,0.9982082052252069,0.9988997608079669,0.9979078024574333,0.9987705805129179,0.998704040561334,0.9984591342014921
2013-01-01 01:00:00,0.8855000000000002,0.8855000000000002,0.8855000000000002,0.8855,0.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9850367341027765,0.9910641939828385,0.9966222093830086,0.9793999513983471,0.995285035736817,0.990996506306731,0.9956645097853623,0.9863171228174247,0.9753114173737045,0.9865759631700912,0.9853013754036547,0.993985783526347,0.9959815148455847,0.994218636503743,0.9868977054583329,0.997506209344872,0.9978251173918271,0.993345352532819,0.9954295091577618,0.9978372624997189
2013-01-01 02:00:00,0.8855000000000002,0.8855000000000002,0.8855000000000002,0.8855,0.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9605287801749054,0.9817295987593581,0.988086284402337,0.9526926174706204,0.9824530735622421,0.9723958164218967,0.9854059030427135,0.9547151248337702,0.9227866299644769,0.9707917977385512,0.9200347544963352,0.9775764659131615,0.9913490383492946,0.9809086751437227,0.933149061861089,0.9760746850969908,0.9962655551779946,0.9719710866102521,0.9828606439878019,0.9949699114036642
2013-01-01 03:00:00,0.8841273837922379,0.8726048228725405,0.8855000000000002,0.8855,0.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8318016398992121,0.9585835055986198,0.9551655510357198,0.8964423718764726,0.913519661364037,0.8726680157686381,0.9485585254552681,0.8395143871127994,0.8174378100601272,0.8725043367581402,0.6794649243084905,0.8908162397884823,0.9706763856542986,0.908641619082267,0.7210325051962656,0.8708144808798781,0.9832638973402266,0.8671289951927025,0.8980749230421052,0.9575697988182739
2013-01-01 04:00:00,0.8445241522018889,0.5431899995796502,0.6664181545128874,0.8648078683930797,0.6789236740162065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5686214184681742,0.8147478164047659,0.8384113523263421,0.6686035290431384,0.798695669692825,0.6755927941687296,0.8508540188355561,0.6451528799174034,0.5110475810616478,0.6250494214732907,0.4038050156516392,0.6862135094047288,0.88208069247515,0.7393862896619762,0.43766463412480616,0.7111869099564797,0.9348010190837281,0.6145725563893808,0.7639638354740992,0.8614072632034359
2013-01-01 05:00:00,0.6109164739343625,0.3611793695852491,0.41118560450295805,0.6592937320627226,0.43244400781021586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37496529461114037,0.6198138502915178,0.7611159931651977,0.4747675327334365,0.6886412978427685,0.49440724571246064,0.779178327833118,0.4826851934219969,0.3245517210588386,0.3928737708506658,0.24667026603552747,0.4650294378031306,0.8391284528885994,0.6138411619821903,0.2725247169235995,0.5523761301720875,0.9064068784841076,0.4268834279358078,0.669544283568939,0.8075185488333398
2013-01-01 06:00:00,0.41240607098754295,0.4319543277846077,0.46866292257750797,0.6158552767136558,0.3223154721809466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.258976259394974,0.3911447982364967,0.6374694752972268,0.29612487367942003,0.5742639064263931,0.335695594993277,0.6885316582174007,0.35251696663720705,0.23446985739103446,0.2355479280091374,0.23017125669762759,0.30582734076216517,0.7778150399122192,0.43094469096371846,0.22910786460225316,0.4202126548588507,0.8673983393358224,0.25684655686581,0.5592976625818388,0.7406424932443209
2013-01-01 07:00:00,0.37731559168872575,0.7465883897211759,0.8066374648061765,0.8229927020315456,0.37836226421662333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2890448902955459,0.2756816373390904,0.5723740904052155,0.22197357968929424,0.484087712059559,0.27755602516324385,0.6369951336760946,0.2958046203802447,0.2526892525076367,0.25484811313321604,0.36343997423591723,0.28260173523206744,0.7451121487299197,0.3142596958457636,0.3177013744025626,0.3316697429373591,0.809658688618654,0.19599086346531652,0.49905702444294947,0.6986411626149129
2013-01-01 08:00:00,0.43272781980887853,0.884222363253236,0.8819622319793902,0.8735556412443164,0.531273556420175,0.0,0.0,0.024528247216490575,0.0,0.0,0.0,0.028461332427977472,0.0,0.0,0.0,0.0,0.0,0.030771434440492365,0.0,0.0,0.0,0.04258405759874329,0.0,0.0,0.023232262256935993,0.46522995084093677,0.22933270034175884,0.47485733494577,0.20411417237656548,0.34699454829944215,0.4015637192969821,0.5398646794315605,0.30226279402319794,0.31079983823998636,0.5930689734180143,0.6029495163239837,0.5711210491340409,0.6394223774820014,0.21604852830848795,0.49596800505154637,0.3845262777766562,0.7169037912782801,0.2249265327180473,0.3471054628787297,0.6015286173046893
2013-01-01 09:00:00,0.45768299520425215,0.8787507629970619,0.8645648942737455,0.8732570499546901,0.683929271120532,0.10441431952248852,0.035829392415401264,0.0390927937290619,0.050594478315915466,0.05219839155069708,0.11459368038611958,0.036466779895048713,0.10871543736787379,0.1266527063354605,0.08163032347298134,0.08927482037836607,0.06843758235551017,0.03366079756107781,0.058856249437692014,0.083280696724347,0.07399636004118634,0.052852727289922304,0.0920188068941151,0.08955717456574033,0.025001335049511984,0.5470458678288289,0.20678735547997876,0.3810715125436465,0.2283973493280853,0.27594496535383545,0.504041864184077,0.4103916253562796,0.4342896579483227,0.3740179178777615,0.5661413905132214,0.609607111847864,0.5725372614602068,0.5126784204307026,0.20132544953624365,0.5511611649714893,0.49378746830165593,0.6253566048970446,0.36767043973343677,0.3518255833453652,0.4743308406111796
