name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt,v_nom,i_nom,dc
0,NL0 0,NL0 15,Al/St 240/40 4-bundle 380.0,4.257969811615361,0.5192642068649999,0.0,0.0003001656030050049,3396.205223481055,0.0,False,0.0,inf,,0.7,2414.8254586605112,,,0.0,True,0,inf,34.617638348943416,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
1,NL0 0,NL0 17,Al/St 240/40 4-bundle 380.0,2.6724919349740266,0.3259137704647987,0.0,0.00018840008642932786,3396.205223481055,0.0,False,0.0,inf,,0.7,1515.6522354417382,,,0.0,True,0,inf,21.727574869280023,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
10,NL0 12,NL0 14,Al/St 240/40 4-bundle 380.0,5.013215203212258,0.6113677855173094,0.0,0.0003533955242550243,3396.205223481055,0.0,False,0.0,inf,,0.7,2843.1484514460494,,,0.0,True,0,inf,40.7578462913475,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
11,NL0 12,NL0 2,Al/St 240/40 4-bundle 380.0,4.471079764611169,0.545253523962265,0.0,0.0003151885444565299,3396.205223481055,0.0,False,0.0,inf,,0.7,2535.6867452987212,,,0.0,True,0,inf,36.3502407182883,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
12,NL0 13,NL0 19,Al/St 240/40 4-bundle 380.0,4.380562671938769,0.5342150338165003,0.0,0.0003088075017288122,3396.205223481055,0.0,False,0.0,inf,,0.7,2484.3521503032566,,,0.0,True,0,inf,35.61433558776668,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
13,NL0 13,NL0 8,Al/St 240/40 4-bundle 380.0,4.578888430206018,0.5584009853421272,0.0,0.0003227890102783575,3396.205223481055,0.0,False,0.0,inf,,0.7,2596.8282449023854,,,0.0,True,0,inf,37.22673235614181,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
14,NL0 15,NL0 4,Al/St 240/40 4-bundle 380.0,3.061642880322759,0.3733711433544718,0.0,0.00021582590676593193,3396.205223481055,0.0,False,0.0,inf,,0.7,1736.3521131688847,,,0.0,True,0,inf,24.89140955696478,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
15,NL0 16,NL0 7,Al/St 240/40 4-bundle 380.0,9.197854095397249,1.8334594324564095,0.0,0.0004800031917791296,983.1120383760948,0.0,False,0.0,inf,,0.7,4263.2257115654065,,,0.0,True,0,inf,61.11530974364974,AC,1.0,0.5789473684210527,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
16,NL0 17,NL0 19,Al/St 240/40 4-bundle 380.0,2.574182188019138,0.313924663441282,0.0,0.0001814635984802233,3396.205223481055,0.0,False,0.0,inf,,0.7,1459.8979122962894,,,0.0,True,0,inf,20.928310894272123,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
17,NL0 18,NL0 4,Al/St 240/40 4-bundle 380.0,2.2249735569078877,0.2713382249826034,0.0,0.0001568483452184526,3396.205223481055,0.0,False,0.0,inf,,0.7,1261.8508653325337,,,0.0,True,0,inf,18.089214998840227,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
18,NL0 2,NL0 6,Al/St 240/40 4-bundle 380.0,6.703119744741761,0.817453308056829,0.0,0.00047253068898985056,3396.205223481055,0.0,False,0.0,inf,,0.7,3801.54516838575,,,0.0,True,0,inf,54.496905908615474,AC,1.0,2.0000000000000004,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
19,NL0 3,NL0 7,Al/St 240/40 4-bundle 380.0,2.409671762635925,0.35601935794436984,0.0,0.0005883024618901324,4379.31726185715,0.0,False,0.0,inf,,0.7,2483.487177188961,,,0.0,True,0,inf,35.60193579864534,AC,1.0,2.578947368421053,-inf,inf,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380,2.58,0.0
