name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network,country,substation_lv,substation_off
NL0 0,380.0,,4.98756893,52.16052091,AC,,,1.0,0.0,inf,Slack,,0,NL,True,True
NL0 1,380.0,,6.25193754,51.98221861,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 10,380.0,,4.87640842,52.4290162,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 11,380.0,,6.75917948,52.24885331,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 12,380.0,,6.47479954,53.21338489,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 13,380.0,,5.66399939,51.926845,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 14,380.0,,5.87562842,53.18957798,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 15,380.0,,6.18917739,52.53025564,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 16,380.0,,4.630595,51.91440465,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 17,380.0,,4.69525623,52.37367475,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 18,380.0,,4.30711456,52.01573276,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 19,380.0,,6.95667312,53.30334244,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 2,380.0,,6.95026217,53.12390651,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 20,380.0,,5.5387836,52.57654337,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 21,380.0,,4.53038246,52.03622434,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 22,380.0,,4.83333596,51.70020262,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 23,380.0,,4.02207272,51.95581331,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 24,380.0,,5.01454686,52.33675991,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 25,380.0,,6.52394173,53.0093498,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 26,380.0,,5.87136747,52.97330069,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 27,380.0,,4.67911494,52.47289673,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 28,380.0,,6.02868874,53.2121044,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 29,380.0,,4.0846915,52.2576722,AC,,,1.0,0.0,inf,PQ,,0,NL,False,True
NL0 3,380.0,,4.26598883,51.83941083,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 30,380.0,,4.22400186,51.98249831,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 31,380.0,,6.86824343,53.43758259,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 32,380.0,,4.043,52.31933,AC,,,1.0,0.0,inf,PQ,,0,NL,False,True
NL0 33,380.0,,4.02678279,51.98355453,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 4,380.0,,5.80910364,52.61690453,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 5,380.0,,5.53256486,51.44676101,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 6,380.0,,5.91831504,51.14840834,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 7,380.0,,4.21880684,51.42343326,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 8,380.0,,4.74798386,51.81369295,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
NL0 9,380.0,,5.91297427,51.63849946,AC,,,1.0,0.0,inf,PQ,,0,NL,True,True
