Line,NL0 0,NL0 1,NL0 2,NL0 3,NL0 4,NL0 5,NL0 6,NL0 7,NL0 8,NL0 9
0,0.0,-0.9999999999999982,-0.9999999999999988,-0.9999999999999981,-0.9999999999999984,-0.9999999999999989,-0.9999999999999989,-0.9999999999999981,-0.9999999999999983,-0.9999999999999982
1,0.0,0.49387510395077616,0.07927388479171334,0.28332307352600555,-0.10413972591082644,0.022969149443272552,6.856900768630351e-17,-0.2019755757683065,-0.36502901497780527,0.28332307352600555
10,0.0,0.21983233910378355,0.3999119133639542,0.3112843615445583,0.04523247071880304,0.8261279489798433,-3.428450384315175e-16,0.08772689035763603,0.1585481821378662,0.3112843615445583
11,0.0,-0.4938751039507762,-0.07927388479171334,-0.28332307352600555,0.10413972591082644,-0.022969149443272552,-6.856900768630351e-17,0.2019755757683065,-0.6349709850221947,-0.28332307352600555
2,0.0,0.506124896049224,-0.07927388479171321,-0.28332307352600533,0.1041397259108266,-0.022969149443272437,3.4284503843151755e-17,0.2019755757683067,0.3650290149778055,-0.28332307352600533
3,0.0,0.21983233910378375,0.3999119133639545,0.31128436154455846,0.045232470718803285,-0.17387205102015652,-1.0285351152945526e-16,0.08772689035763627,0.15854818213786645,0.31128436154455846
4,0.0,0.28629255694543954,0.5208142018443318,0.40539256492943543,0.05890725519202286,0.15090290157688366,-2.5713377882363815e-16,0.1142486854106699,0.20648083283993848,0.40539256492943543
5,0.0,-0.5061248960492235,0.07927388479171352,-0.7166769264739942,-0.1041397259108263,0.02296914944327268,1.82850687163476e-16,-0.20197557576830633,-0.3650290149778051,-0.7166769264739942
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.4938751039507753,0.07927388479171271,0.2833230735260047,0.8958602740891725,0.02296914944327196,-5.028393896995591e-16,0.7980244242316924,0.6349709850221937,0.2833230735260047
9,0.0,-0.4938751039507759,-0.07927388479171309,-0.2833230735260053,0.10413972591082685,-0.0229691494432723,1.82850687163476e-16,-0.798024424231693,-0.6349709850221944,-0.2833230735260053
