run_id,t,line,market_flow,final_flow,Fmax,market_utilization,final_utilization,market_overload,market_violated,final_feasible
1,1,0,28.82381991306427,28.82381991306427,100.0,0.2882381991306427,0.2882381991306427,0.0,false,true
1,1,1,-31.89046580122144,-31.89046580122144,100.0,0.3189046580122144,0.3189046580122144,0.0,false,true
1,1,2,14.033322944078606,14.033322944078606,100.0,0.14033322944078605,0.14033322944078605,0.0,false,true
1,2,0,-8.597449732689856,-8.597449732689856,100.0,0.08597449732689856,0.08597449732689856,0.0,false,true
1,2,1,11.581121695881588,11.581121695881588,100.0,0.11581121695881588,0.11581121695881588,0.0,false,true
1,2,2,-2.1168359815958366,-2.1168359815958366,100.0,0.021168359815958368,0.021168359815958368,0.0,false,true
1,3,0,3.8266105746654366,3.8266105746654366,100.0,0.038266105746654365,0.038266105746654365,0.0,false,true
1,3,1,2.5766105746654366,2.5766105746654366,100.0,0.025766105746654368,0.025766105746654368,0.0,false,true
1,3,2,8.673389425334593,8.673389425334593,100.0,0.08673389425334593,0.08673389425334593,0.0,false,true
2,1,0,28.82381991306427,28.82381991306427,100.0,0.2882381991306427,0.2882381991306427,0.0,false,true
2,1,1,-31.89046580122144,-31.89046580122144,100.0,0.3189046580122144,0.3189046580122144,0.0,false,true
2,1,2,14.033322944078606,14.033322944078606,100.0,0.14033322944078605,0.14033322944078605,0.0,false,true
2,2,0,-8.597449732689856,-8.597449732689856,100.0,0.08597449732689856,0.08597449732689856,0.0,false,true
2,2,1,11.581121695881588,11.581121695881588,100.0,0.11581121695881588,0.11581121695881588,0.0,false,true
2,2,2,-2.1168359815958366,-2.1168359815958366,100.0,0.021168359815958368,0.021168359815958368,0.0,false,true
2,3,0,3.8266105746654366,3.8266105746654366,100.0,0.038266105746654365,0.038266105746654365,0.0,false,true
2,3,1,2.5766105746654366,2.5766105746654366,100.0,0.025766105746654368,0.025766105746654368,0.0,false,true
2,3,2,8.673389425334593,8.673389425334593,100.0,0.08673389425334593,0.08673389425334593,0.0,false,true
3,1,0,28.82381991306427,28.82381991306427,100.0,0.2882381991306427,0.2882381991306427,0.0,false,true
3,1,1,-31.89046580122144,-31.89046580122144,100.0,0.3189046580122144,0.3189046580122144,0.0,false,true
3,1,2,14.033322944078606,14.033322944078606,100.0,0.14033322944078605,0.14033322944078605,0.0,false,true
3,2,0,-8.597449732689856,-8.597449732689856,100.0,0.08597449732689856,0.08597449732689856,0.0,false,true
3,2,1,11.581121695881588,11.581121695881588,100.0,0.11581121695881588,0.11581121695881588,0.0,false,true
3,2,2,-2.1168359815958366,-2.1168359815958366,100.0,0.021168359815958368,0.021168359815958368,0.0,false,true
3,3,0,3.8266105746654366,3.8266105746654366,100.0,0.038266105746654365,0.038266105746654365,0.0,false,true
3,3,1,2.5766105746654366,2.5766105746654366,100.0,0.025766105746654368,0.025766105746654368,0.0,false,true
3,3,2,8.673389425334593,8.673389425334593,100.0,0.08673389425334593,0.08673389425334593,0.0,false,true
4,1,0,28.82381991306427,28.82381991306427,100.0,0.2882381991306427,0.2882381991306427,0.0,false,true
4,1,1,-31.89046580122144,-31.89046580122144,100.0,0.3189046580122144,0.3189046580122144,0.0,false,true
4,1,2,14.033322944078606,14.033322944078606,100.0,0.14033322944078605,0.14033322944078605,0.0,false,true
4,2,0,-8.597449732689856,-8.597449732689856,100.0,0.08597449732689856,0.08597449732689856,0.0,false,true
4,2,1,11.581121695881588,11.581121695881588,100.0,0.11581121695881588,0.11581121695881588,0.0,false,true
4,2,2,-2.1168359815958366,-2.1168359815958366,100.0,0.021168359815958368,0.021168359815958368,0.0,false,true
4,3,0,3.8266105746654366,3.8266105746654366,100.0,0.038266105746654365,0.038266105746654365,0.0,false,true
4,3,1,2.5766105746654366,2.5766105746654366,100.0,0.025766105746654368,0.025766105746654368,0.0,false,true
4,3,2,8.673389425334593,8.673389425334593,100.0,0.08673389425334593,0.08673389425334593,0.0,false,true
5,1,0,28.82381991306427,28.82381991306427,100.0,0.2882381991306427,0.2882381991306427,0.0,false,true
5,1,1,-31.89046580122144,-31.89046580122144,100.0,0.3189046580122144,0.3189046580122144,0.0,false,true
5,1,2,14.033322944078606,14.033322944078606,100.0,0.14033322944078605,0.14033322944078605,0.0,false,true
5,2,0,-8.597449732689856,-8.597449732689856,100.0,0.08597449732689856,0.08597449732689856,0.0,false,true
5,2,1,11.581121695881588,11.581121695881588,100.0,0.11581121695881588,0.11581121695881588,0.0,false,true
5,2,2,-2.1168359815958366,-2.1168359815958366,100.0,0.021168359815958368,0.021168359815958368,0.0,false,true
5,3,0,3.8266105746654366,3.8266105746654366,100.0,0.038266105746654365,0.038266105746654365,0.0,false,true
5,3,1,2.5766105746654366,2.5766105746654366,100.0,0.025766105746654368,0.025766105746654368,0.0,false,true
5,3,2,8.673389425334593,8.673389425334593,100.0,0.08673389425334593,0.08673389425334593,0.0,false,true
6,1,0,28.82381991306427,28.82381991306427,100.0,0.2882381991306427,0.2882381991306427,0.0,false,true
6,1,1,-31.89046580122144,-31.89046580122144,100.0,0.3189046580122144,0.3189046580122144,0.0,false,true
6,1,2,14.033322944078606,14.033322944078606,100.0,0.14033322944078605,0.14033322944078605,0.0,false,true
6,2,0,-8.597449732689856,-8.597449732689856,100.0,0.08597449732689856,0.08597449732689856,0.0,false,true
6,2,1,11.581121695881588,11.581121695881588,100.0,0.11581121695881588,0.11581121695881588,0.0,false,true
6,2,2,-2.1168359815958366,-2.1168359815958366,100.0,0.021168359815958368,0.021168359815958368,0.0,false,true
6,3,0,3.8266105746654366,3.8266105746654366,100.0,0.038266105746654365,0.038266105746654365,0.0,false,true
6,3,1,2.5766105746654366,2.5766105746654366,100.0,0.025766105746654368,0.025766105746654368,0.0,false,true
6,3,2,8.673389425334593,8.673389425334593,100.0,0.08673389425334593,0.08673389425334593,0.0,false,true
