run_id,t,node,demand,ls,curtailment
1,1,NL0 1,88.88888888888889,0.0,62.5
1,2,NL0 1,88.88888888888889,0.0,57.5
1,3,NL0 1,88.88888888888889,0.0,57.5
5,1,NL0 1,88.88888888888889,0.0,30.0
5,2,NL0 1,88.88888888888889,0.0,25.0
5,3,NL0 1,88.88888888888889,0.0,25.0
6,1,NL0 1,88.88888888888889,0.0,27.5
6,2,NL0 1,88.88888888888889,0.0,22.5
6,3,NL0 1,88.88888888888889,0.0,22.5
7,1,NL0 1,88.88888888888889,0.0,62.5
7,2,NL0 1,88.88888888888889,0.0,57.5
7,3,NL0 1,88.88888888888889,0.0,57.5
8,1,NL0 1,88.88888888888889,0.0,62.5
8,2,NL0 1,88.88888888888889,0.0,57.5
8,3,NL0 1,88.88888888888889,0.0,57.5
