run_id,generator,bus,tech,zone,cap_max,c,vc,fc,mu_cap_up,mu_cm_bud,energy_rent,cm_rent,total_rent,fixed_cost,profit
1,NL0 0 coal,NL0 0,coal,1,200.0,67.5,5.0,11.564989182752178,0.0,11.564989182752178,0.0,780.636769835772,780.636769835772,780.636769835772,0.0
1,NL0 1 coal,NL0 1,coal,2,200.0,53.888888888888886,5.0,11.564989182752178,0.0,11.564989182752178,0.0,623.2244170705341,623.2244170705341,623.2244170705341,0.0
1,NL0 10 coal,NL0 10,coal,3,200.0,78.61111111111111,5.0,11.564989182752178,0.0,11.564989182752178,0.0,909.1366496441296,909.1366496441296,909.1366496441296,0.0
2,NL0 0 coal,NL0 0,coal,1,200.0,0.0,5.0,11.564989182752178,0.0,11.564989182752178,0.0,0.0,0.0,0.0,0.0
2,NL0 1 coal,NL0 1,coal,2,200.0,121.38888888888889,5.0,11.564989182752178,0.0,11.564989182752178,0.0,1403.861186906306,1403.861186906306,1403.861186906306,0.0
2,NL0 10 coal,NL0 10,coal,3,200.0,78.61111111111111,5.0,11.564989182752178,0.0,11.564989182752178,0.0,909.1366496441296,909.1366496441296,909.1366496441296,0.0
3,NL0 0 coal,NL0 0,coal,1,200.0,0.0,5.0,11.564989182752178,0.0,11.564989182752178,0.0,0.0,0.0,0.0,0.0
3,NL0 1 coal,NL0 1,coal,2,200.0,53.888888888888886,5.0,11.564989182752178,0.0,11.564989182752178,0.0,623.2244170705341,623.2244170705341,623.2244170705341,0.0
3,NL0 10 coal,NL0 10,coal,3,200.0,146.11111111111111,5.0,11.564989182752178,0.0,11.564989182752178,0.0,1689.7734194799016,1689.7734194799016,1689.7734194799016,0.0
4,NL0 0 coal,NL0 0,coal,1,200.0,0.0,5.0,11.564989182752178,0.0,11.564989182752178,0.0,0.0,0.0,0.0,0.0
4,NL0 1 coal,NL0 1,coal,2,200.0,88.88888888888889,5.0,11.564989182752178,0.0,11.564989182752178,0.0,1027.9990384668604,1027.9990384668604,1027.9990384668604,0.0
4,NL0 10 coal,NL0 10,coal,3,200.0,111.11111111111111,5.0,11.564989182752178,0.0,11.564989182752178,0.0,1284.9987980835754,1284.9987980835754,1284.9987980835754,0.0
5,NL0 0 coal,NL0 0,coal,1,200.0,35.0,5.0,11.564989182752178,0.0,11.564989182752178,0.0,404.77462139632627,404.77462139632627,404.77462139632627,0.0
5,NL0 1 coal,NL0 1,coal,2,200.0,53.888888888888886,5.0,11.564989182752178,0.0,11.564989182752178,0.0,623.2244170705341,623.2244170705341,623.2244170705341,0.0
5,NL0 10 coal,NL0 10,coal,3,200.0,111.11111111111111,5.0,11.564989182752178,0.0,11.564989182752178,0.0,1284.9987980835754,1284.9987980835754,1284.9987980835754,0.0
6,NL0 0 coal,NL0 0,coal,1,200.0,32.5,5.0,11.564989182752178,0.0,11.564989182752178,0.0,375.8621484394458,375.8621484394458,375.8621484394458,0.0
6,NL0 1 coal,NL0 1,coal,2,200.0,88.88888888888889,5.0,11.564989182752178,0.0,11.564989182752178,0.0,1027.9990384668604,1027.9990384668604,1027.9990384668604,0.0
6,NL0 10 coal,NL0 10,coal,3,200.0,78.61111111111111,5.0,11.564989182752178,0.0,11.564989182752178,0.0,909.1366496441296,909.1366496441296,909.1366496441296,0.0
