run_id,t,generator,bus,q_market,r_up,r_down,q_final,q_max,up_cost,down_compensation,lambda_e,vc
3,3,NL0 1 0 solar,NL0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
3,3,NL0 10 0 solar,NL0 10,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.01
4,1,NL0 0 coal,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
4,1,NL0 1 coal,NL0 1,88.88888888888889,0.0,0.0,88.88888888888889,88.88888888888889,0.0,0.0,5.0,5.0
4,1,NL0 10 coal,NL0 10,106.11111111111111,0.0,0.0,106.11111111111111,111.11111111111111,0.0,0.0,5.0,5.0
4,1,NL0 0 0 solar,NL0 0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.01
4,1,NL0 1 0 solar,NL0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,1,NL0 10 0 solar,NL0 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,2,NL0 0 coal,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
4,2,NL0 1 coal,NL0 1,88.88888888888889,0.0,0.0,88.88888888888889,88.88888888888889,0.0,0.0,5.0,5.0
4,2,NL0 10 coal,NL0 10,106.11111111111111,0.0,0.0,106.11111111111111,111.11111111111111,0.0,0.0,5.0,5.0
4,2,NL0 0 0 solar,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,2,NL0 1 0 solar,NL0 1,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.01
4,2,NL0 10 0 solar,NL0 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,3,NL0 0 coal,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
4,3,NL0 1 coal,NL0 1,88.88888888888889,0.0,0.0,88.88888888888889,88.88888888888889,0.0,0.0,5.0,5.0
4,3,NL0 10 coal,NL0 10,106.11111111111111,0.0,0.0,106.11111111111111,111.11111111111111,0.0,0.0,5.0,5.0
4,3,NL0 0 0 solar,NL0 0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,3,NL0 1 0 solar,NL0 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.01
4,3,NL0 10 0 solar,NL0 10,5.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.01
