run_id,weight_type,mpec_status,solve_time,gap,total_cap,market_cost,lambda_e_avg,ls_total,rd_status,rd_volume,rd_cost,curtailment,rd_up_vol,rd_down_vol,rd_cost_econ,curt_cost,lambda_c_z1,c_dem_z1,nu_c_z1,req_z1,net_import_z1,lambda_c_z2,c_dem_z2,nu_c_z2,req_z2,net_import_z2,lambda_c_z3,c_dem_z3,nu_c_z3,req_z3,net_import_z3,c_NL0 0 CCGT,c_NL0 1 coal,c_NL0 10 nuclear
1,ptdf_pos,OPTIMAL,0.36999988555908203,0.0,198.21428571428572,9360.017857142857,6.333333333333333,0.0,OPTIMAL,275.6793139843785,496.60285582599533,0.0,137.83965699218925,137.83965699218925,496.60285582599533,0.0,20.5,13.214285714285714,20.5,13.214285714285714,-2.5,26.0,151.25,26.0,151.25,-1.25,30.5,133.75,30.5,133.75000000000003,3.75,13.214285714285714,151.25,33.75
2,ptdf_neg,OPTIMAL,0.0409998893737793,0.0,198.21428571428572,9360.017857142857,6.333333333333333,0.0,OPTIMAL,275.6793139843785,496.60285582599533,0.0,137.83965699218925,137.83965699218925,496.60285582599533,0.0,20.5,13.214285714285714,20.5,13.214285714285714,-2.5,26.0,151.25,26.0,151.25,-1.25,30.5,133.75,30.5,133.75000000000003,3.75,13.214285714285714,151.25,33.75
3,ptdf_pos,OPTIMAL,0.015000104904174805,0.0,198.21428571428572,9360.017857142857,6.333333333333333,0.0,OPTIMAL,275.6793139843785,496.60285582599533,0.0,137.83965699218925,137.83965699218925,496.60285582599533,0.0,20.5,13.214285714285714,20.5,13.214285714285714,-2.5,26.0,151.25,26.0,151.25,-1.25,30.5,133.75,30.5,133.75000000000003,3.75,13.214285714285714,151.25,33.75
4,ptdf_neg,OPTIMAL,0.012000083923339844,0.0,198.21428571428572,9360.017857142857,6.333333333333333,0.0,OPTIMAL,275.6793139843785,496.60285582599533,0.0,137.83965699218925,137.83965699218925,496.60285582599533,0.0,20.5,13.214285714285714,20.5,13.214285714285714,-2.5,26.0,151.25,26.0,151.25,-1.25,30.5,133.75,30.5,133.75000000000003,3.75,13.214285714285714,151.25,33.75
5,ptdf_pos,OPTIMAL,0.01699995994567871,0.0,198.21428571428572,9360.017857142857,6.333333333333333,0.0,OPTIMAL,275.6793139843785,496.60285582599533,0.0,137.83965699218925,137.83965699218925,496.60285582599533,0.0,20.5,13.214285714285714,20.5,13.214285714285714,-2.5,26.0,151.25,26.0,151.25,-1.25,30.5,133.75,30.5,133.75000000000003,3.75,13.214285714285714,151.25,33.75
6,ptdf_neg,OPTIMAL,0.04200005531311035,0.0,198.21428571428572,9360.017857142857,6.333333333333333,0.0,OPTIMAL,275.6793139843785,496.60285582599533,0.0,137.83965699218925,137.83965699218925,496.60285582599533,0.0,20.5,13.214285714285714,20.5,13.214285714285714,-2.5,26.0,151.25,26.0,151.25,-1.25,30.5,133.75,30.5,133.75000000000003,3.75,13.214285714285714,151.25,33.75
