run_id,zone_a,zone_b,bound,f_ab,phi_lo,phi_hi,at_bound
1,1,2,594.3359141091846,555.8826166340373,0.0,0.0,interior
1,1,3,594.3359141091846,-594.3359141091846,18839.934474476802,0.0,lower
1,2,3,594.3359141091846,-594.3359141091846,18839.934474476802,0.0,lower
2,1,2,594.3359141091846,555.8826166339582,0.0,0.0,interior
2,1,3,594.3359141091846,-594.3359141091846,18839.93447447772,0.0,lower
2,2,3,594.3359141091846,-594.3359141091846,18839.93447447772,0.0,lower
3,1,2,594.3359141091846,555.8826166340505,0.0,0.0,interior
3,1,3,594.3359141091846,-594.3359141091846,18839.934474477945,0.0,lower
3,2,3,594.3359141091846,-594.3359141091846,18839.93447447771,0.0,lower
4,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
4,1,3,594.3359141091846,-594.3359141091846,18839.93447447774,0.0,lower
4,2,3,594.3359141091846,-594.3359141091846,18839.93447447774,0.0,lower
5,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
5,1,3,594.3359141091846,-594.3359141091846,18839.93447447774,0.0,lower
5,2,3,594.3359141091846,-594.3359141091846,18839.93447447774,0.0,lower
6,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
6,1,3,594.3359141091846,-594.3359141091846,18839.934474477777,0.0,lower
6,2,3,594.3359141091846,-594.3359141091846,18839.934474477777,0.0,lower
7,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
7,1,3,594.3359141091846,-594.3359141091846,18839.934474477548,0.0,lower
7,2,3,594.3359141091846,-594.3359141091846,18839.934474477548,0.0,lower
8,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
8,1,3,594.3359141091846,-594.3359141091846,18839.93447447771,0.0,lower
8,2,3,594.3359141091846,-594.3359141091846,18839.93447447771,0.0,lower
9,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
9,1,3,594.3359141091846,-594.3359141091846,18839.934474476802,0.0,lower
9,2,3,594.3359141091846,-594.3359141091846,18839.934474476802,0.0,lower
10,1,2,594.3359141091846,555.8826166340082,0.0,0.0,interior
10,1,3,594.3359141091846,-594.3359141091846,18839.934474477726,0.0,lower
10,2,3,594.3359141091846,-594.3359141091846,18839.934474477726,0.0,lower
11,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
11,1,3,594.3359141091846,-594.3359141091846,18839.934474477697,0.0,lower
11,2,3,594.3359141091846,-594.3359141091846,18839.934474477697,0.0,lower
12,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
12,1,3,594.3359141091846,-594.3359141091846,18839.934474477697,0.0,lower
12,2,3,594.3359141091846,-594.3359141091846,18839.934474477697,0.0,lower
13,1,2,594.3359141091846,555.8826166339045,0.0,0.0,interior
13,1,3,594.3359141091846,-594.3359141091846,18839.934474477614,0.0,lower
13,2,3,594.3359141091846,-594.3359141091846,18839.934474477614,0.0,lower
14,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
14,1,3,594.3359141091846,-594.3359141091846,18839.93447447665,0.0,lower
14,2,3,594.3359141091846,-594.3359141091846,18839.93447447665,0.0,lower
15,1,2,594.3359141091846,555.8826166339045,0.0,0.0,interior
15,1,3,594.3359141091846,-594.3359141091846,18839.934474477734,0.0,lower
15,2,3,594.3359141091846,-594.3359141091846,18839.934474477734,0.0,lower
16,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
16,1,3,594.3359141091846,-594.3359141091846,18839.934474477715,0.0,lower
16,2,3,594.3359141091846,-594.3359141091846,18839.934474477715,0.0,lower
17,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
17,1,3,594.3359141091846,-594.3359141091846,18839.934474476337,0.0,lower
17,2,3,594.3359141091846,-594.3359141091846,18839.934474476337,0.0,lower
18,1,2,594.3359141091846,555.8826166339647,0.0,0.0,interior
18,1,3,594.3359141091846,-594.3359141091846,18839.934474477715,0.0,lower
18,2,3,594.3359141091846,-594.3359141091846,18839.934474477715,0.0,lower
19,1,2,594.3359141091846,555.8826166339087,0.0,0.0,interior
19,1,3,594.3359141091846,-594.3359141091846,18839.93447438154,0.0,lower
19,2,3,594.3359141091846,-594.3359141091846,18839.93447438154,0.0,lower
20,1,2,594.3359141091846,594.3359141091846,0.0,0.0,upper
20,1,3,594.3359141091846,-594.3359141091846,18839.93447439348,0.0,lower
20,2,3,594.3359141091846,-594.3359141091846,18839.93447439348,0.0,lower
21,1,2,594.3359141091846,555.8826166340492,0.0,0.0,interior
21,1,3,594.3359141091846,-594.3359141091846,18839.934474475544,0.0,lower
21,2,3,594.3359141091846,-594.3359141091846,18839.934474475544,0.0,lower
22,1,2,594.3359141091846,555.8826166339054,0.0,0.0,interior
